"（これは、
みんなからプロデューサ－さんへの贈り物……）","(This is a gift from everyone to Producer...)","","(This is a gift from
everyone to Producer...)","","(This is a gift from
everyone to Producer......)"
"（それは、とある日のこと……）","(And then, one day...)","","(And then, one day...)","",""
"Present from Luminous","Present from Luminous","","Present from Luminous","",""
"おはようございまーす！
えへへ、こういうのってなんだか緊張するね","Good morning! Hehe, this is kind of nerve-wracking","","Good morning! Hehe, this
is kind of nerve-wracking","",""
"はい、ドキドキしますっ！","Yes, my heart is racing!","","Yes, my heart is racing!","",""
"お疲れさまです、音無さん。
今日はカメラマン役、よろしくお願いします★","Good work, Otonashi-san. I'm looking forward to playing the cameraman today! ★","","Good work, Otonashi-san. I'm looking
forward to playing the cameraman today! ★","",""
"ええ、任せて！
バッチリ、記録しておくわね！","Yes, leave it to me! I'll make sure you record everything","","Yes, leave it to me! I'll make
sure you record everything","",""
"（実はこの日、とある目的のために
みんながスケジュールを調整して集まりました）","(Actually, on this day for a certain purpose. We all adjusted our schedules and got together to meet up with each other.)","","(Actually, on this day for a certain purpose. We all adjusted
our schedules and got together to meet up with each other.)","",""
"それじゃ、そろそろ本題に入りましょう","Well then, let's get down to business","","Well then, let's get down to business","",""
"うん！　いつも頑張ってくれてる
プロデューサーさんのお誕生会についてだよね！","Yeah! It's about Producer who always works so hard at his birthday party, right?","","Yeah! It's about Producer who always works
so hard at his birthday party, right?","",""
"スターリットシーズンが終わって、
このような機会でみんなと会えて嬉しいよ","Now that the Starlit season is over, I'm glad to have a chance like this with everyone","","Now that the Starlit season is over, I'm glad
to have a chance like this with everyone","",""
"去年は、できなかったからね。
今年こそは、って思ってたんだよね★","I couldn't do it last year. So this is what you thought, right? ★","","I couldn't do it last year. So this
is what you thought, right? ★","",""
"にひひっ♪　まさか私たちが、こんなこと
考えてるなんて、夢にも思ってないはずよ","Nihihe♪ You never dreamed that we'd be thinking about something like this, did you?""","","Nihihe♪ You never dreamed that we'd be thinking
about something like this, did you?","",""
"Ｐちゃんにはナイショで、
ハピハピサプライズバースデーパーティー☆","Keep it a secret from P-chan, Happihapi Surprise Birthday Party☆","","Keep it a secret from P-chan,
Happihapi Surprise Birthday Party☆","",""
"サプライズパーティー！
すっごくいいと思います！","Surprise party! I think it's really good","","Surprise party! I think
it's really good","",""
"でも、どんなことをしたらいいのか……。
お祝いしたい気持ちばかり先立ってしまって……","But I don't know what to do... My desire for celebration precedes me","","But I don't know what to do... My
desire for celebration precedes me","",""
"そうだね。お祝いの気持ちと、日頃の感謝も込めた、
特別なプレゼントを用意するのはどうかな","You're right. How about we prepare a special present to celebrate and thank you for everything?","","You're right. How about we prepare a special
present to celebrate and thank you for everything?","","We should prepare something special. I know!
How about a gift to express our gratitude? "
"とてもいいと思います。でも、プロデューサーが
喜ぶものって、なんでしょうか…？","I think it's very nice. But what would make a producer happy...?","","I think it's very nice. But what
would make a producer happy...?","",""
"あの方はなにを差し上げても、
喜んでくれそうなので……難しい問題です","No matter what you give him, he'll be happy... It is a difficult problem","","No matter what you give him, he'll
be happy... It is a difficult problem","",""
"でもミキ、プロデューサーのそういう優しいところ、
すっごく素敵だって思うな♪","But Miki, don't you think that kind side of Producer is wonderful? ♪","","But Miki, don't you think that kind
side of Producer is wonderful? ♪","",""
"じゃあ！　みんなでお菓子を持ってきて、
超絶オススメスイーツぱーちーってのは？","Then! What about the super-recommendable sweets Pachi, where everyone brought them?","","Then! What about the super-recommendable
sweets Pachi, where everyone brought them?","",""
