"（ルミナスが解散して、しばらく。
アイドルたちは目まぐるしく活動していた）","(A while after Luminous disbanded... The idols were active at a dizzying pace.)","(Luminous has been disbanded for some time now.
(The idols were working at a dizzying pace.)","(A while after Luminous disbanded... The
idols were active at a dizzying pace.)",""
"（そんなある日、『大切な話がある』と、
社長室に呼び出された）","(And then one day, he called me to the CEO's office saying something important.)","(Then one day, he said, ""I have something important to tell you,
(Called to the president's office)","(And then one day, he called me to the
CEO's office saying something important.)",""
"お疲れ様です、社長","Good work, President","Good work, Mr. President.","Good work, President",""
"やあ、待っていたよ！","Hey, I've been waiting for you!","Hey, I've been waiting for you!","Hey, I've been waiting for you!",""
"改めて、スターリットシーズン。
最高の盛り上がりだったね！","Once again, it's the Starlit season. It was a great time!","Once again, a starlit season.
That was a great turnout!","Once again, it's the Starlit
season. It was a great time!",""
"アイドル諸君にとっても、
いい経験になったみたいでなによりだ","I'm glad it was a good experience for you idols, too","For the idols, too,
Glad you had a good experience.","I'm glad it was a good experience
for you idols, too",""
"はい、俺もそう思います！
ファンも今まで以上に増えました","Yes, I think so too! More fans than ever","Yes, I agree!
We have more fans than ever.","Yes, I think so too!
More fans than ever",""
"うむ！
これも君とアイドルたち、皆が頑張った証だね","Yes! This is proof that you and the idols all worked hard","Mm!
This is also a testament to the hard work you and your idols have all put in.","Yes! This is proof that you
and the idols all worked hard",""
"しかーし！　これで終わりではない！","But this isn't the end!","But this is not the end of the story!","But this isn't the end!",""
"と言いますと？","What do you mean by that?","What do you mean?","What do you mean by that?",""
"実はスターリットドームに、新たなステージ……
『スターリットレインボー』が建造されたそうなんだ","Actually, there's a new stage at the Starlit Dome... It looks like they built 'Starrit Rainbow.'","In fact, the Starlit Dome has a new stage: ......
I heard that the ""Starlit Rainbow"" was built.","Actually, there's a new stage at the Starlit
Dome... It looks like they built 'Starrit Rainbow.'",""
"それで今度、完成披露ライブが行われることに
なったのだが、その記念すべき最初のステージを……","And so, it was decided that the completion concert would be held next time. The first stage to celebrate..","So now we're going to have a live show to celebrate the completion of the project.
The first stage of the commemorative event was held at ......","And so, it was decided that the completion concert would
be held next time. The first stage to celebrate..",""
