"地球に迫った彗星による、世紀の天体ショーが
近づいています","A star show of the century by a comet that's closing in on Earth is approaching","The celestial show of the century, caused by a comet approaching the earth
We are getting close.","A star show of the century by a comet that's
closing in on Earth is approaching",""
"この彗星は以前より観測されていましたが、
近々地球に最接近します","This comet has been observed more than before, but it will soon be the closest to Earth","This comet has been observed for some time,
It will soon make its closest approach to the earth.","This comet has been observed more than
before, but it will soon be the closest to Earth",""
"彗星の到来に合わせて、日本各地で
さまざまなイベントが企画されています","Various events have been planned all over Japan to coincide with the comet's arrival","Around Japan, in conjunction with the comet's arrival
Various events are planned","Various events have been planned all over
Japan to coincide with the comet's arrival",""
"……","……","","……","......"
"非周期彗星でＳＮＳでは
『フォーチュン彗星』と呼ばれ","It was a nonperiodic comet, and on social media they called it the Fortune Comet","A non-periodic comet and a social networking site.
It is called ""Comet Fortune.","It was a nonperiodic comet, and on social
media they called it the Fortune Comet",""
"幸運の星とも不幸を呼ぶ星とも
噂されています","It's rumored to be a lucky star or one that brings misfortune","It can be a lucky star or an unlucky star.
Rumors.","It's rumored to be a lucky star
or one that brings misfortune",""
"さてと、そろそろ時間か……","Now then, it's almost time..","Well, it's about time. ......","Now then, it's almost time..",""
"俺の部屋に青い封筒が届いた。差出人は『ルミナス』
となっているが、どういうことだろう……","A blue envelope arrived in my room. The sender was “Luminous,” but I wonder what that means..","I received a blue envelope in my room from ""Luminous.""
but what does it mean: ......","A blue envelope arrived in my room. The sender
was “Luminous, but I wonder what that means..",""
"中には一連の招待状が入っていた","Inside was a series of invitations","Inside were a series of invitations.","Inside was a series of invitations",""
"『特別な宴に、貴方をご招待します。
指定された日に事務所へお越しください』","“I'll invite you to a special banquet. Please come with me at the office on your designated day,” I said","We invite you to a special banquet.
Please come to the office on the designated date.","“I'll invite you to a special banquet. Please come with
me at the office on your designated day, I said",""
"『そこに、ささやかな謎を用意しました。
懐かしい顔ぶれと謎解きを楽しんでください』","“There, I've prepared a small mystery. Please enjoy the nostalgic faces and riddles you can find out about it all by yourself.”","There, I have prepared a little mystery for you.
Enjoy solving riddles with old faces.""","“There, I've prepared a small mystery. Please enjoy the nostalgic
faces and riddles you can find out about it all by yourself.",""
"『そして、謎が解けたら
２番目の引き出しを開けてください』","“And once you've solved the mystery, please open a second drawer.”","'And when the mystery is solved
Open the second drawer.","“And once you've solved the
mystery, please open a second drawer.",""
"……一体、何なんだろう？","...I wonder what it is?","What in the world is ......?","...I wonder what it is?",""
"ともあれ、ルミナスの名前がある以上、
無視するわけにもいかない","In any case, with Luminous's name on the list of things she could not ignore","Anyway, as long as the name Luminous is there,
I can't just ignore it.","In any case, with Luminous's name on the
list of things she could not ignore",""
"俺は事務所に向かうため、部屋を出た","I left my room to head for the office","I left my room to go to the office.","I left my room to head for the office",""
"事務所か……。
いつも通りに思えるけど、何があるんだろうな……","The office, huh...? It seems like it's the same as always. I wonder what could be there for them to find out","Office or .......
Seems like business as usual, but I wonder what's in store: ......","The office, huh...? It seems like it's the same as
always. I wonder what could be there for them to find out",""
"ガチャ","Gacha","method of selling random in-game items in mobile games (similar to how capsule toys are sold)","Gacha","Gacha"
