"（ルミナスが解散した後も、それぞれが精力的に
活動している。そんな、ある日……）","(Even after Luminous disbanded, each of them was energetically active. Then one day...)","(Even after Luminous disbanded, each of them continued to work energetically
(......) one such day.","(Even after Luminous disbanded, each of them
was energetically active. Then one day...)",""
"……プロデューサーさん！
おはようございま～す！","...Producer! Good morning~","...... Producer!
Good morning!","...Producer!
Good morning~",""
"おはようございます、青羽さん。
どうかしたんですか？","Good morning, Aoba-san. Is something wrong?","Good morning, Mr. Aoba.
Is something wrong?","Good morning, Aoba-san.
Is something wrong?",""
"聞いてください！
ビッグニュースです～！","Please listen to me! I've got big news for you","Listen!
Big news~!","Please listen to me!
I've got big news for you",""
"なんとっ！　『ＬＯＶＥフラッグシアター』の
ステージで大規模イベントが開催されるんです！","Oh, my! There's going to be a big event at the Love Flag Theater stage","What a surprise! ""LOVE Flag Theatre"".
There's a big event on stage!","Oh, my! There's going to be a big
event at the Love Flag Theater stage",""
"大規模イベントですか！
それは面白そうですね","A large-scale event?! That sounds interesting","Is it a large-scale event?
That sounds interesting.","A large-scale event?!
That sounds interesting",""
"はい♪　詳細はこちらの資料に
載っているので、ご確認くださいね","Yes♪ The details are in the documents, so please check them out","Yes...Â More details in this document.
Please check the listing.","Yes♪ The details are in the
documents, so please check them out",""
"ありがとうございます。ええと……ラストステージ
であるＬＯＶＥフラッグシアターに立つには……","Thank you very much. Let's see... The final stage To stand at the Love Flag Theater, we need to-","Thank you, um ...... last stage
To stand in the LOVE Flag Theater, which is ......","Thank you very much. Let's see... The final stage
To stand at the Love Flag Theater, we need to-",""
"イベント『アンダー・ＬＯＶＥフラッグ』を
勝ち抜かなければならない、ですか","Must win the Under Love Flag event, huh?","The event ""Under LOVE Flag"".
You have to win through, is that right?","Must win the Under
Love Flag event, huh?",""
"はい。すでにたくさんの
アイドルがエントリーしてるそうなんですよ","Yes. It seems a lot of idols have already entered the contest","Yes, we already have a lot of
I hear the idol is entering.","Yes. It seems a lot of idols
have already entered the contest",""
"厳しい戦いになりそうですけど、
大注目のイベントですね！","This is going to be a tough battle, but it's gonna attract lots of attention!","It's going to be a tough fight, though,
This is a very high-profile event!","This is going to be a tough battle, but
it's gonna attract lots of attention!",""
"……青羽さん。アンダー・ＬＯＶＥフラッグに
参加したいと思います！","...Aoba-san. I'd like to participate in the Under Love Flag!","...... Aoba. under LOVE the flag.
I would like to participate!","...Aoba-san. I'd like to participate
in the Under Love Flag!",""
"分かりました。では、エントリーしておきますね。
メンバーは、どうしますか？","Understood. Then I'll enter it, okay? What are the members going to do about this one?","Okay, I'll make an entry then.
What should members do?","Understood. Then I'll enter it, okay? What
are the members going to do about this one?",""
"今回のライブはユニット単位での参加なんですね。
『スターリットシーズン』を思い出すな……","This concert is going to be performed by a single unit, huh. It reminds me of the 'Starlit Season'..","I see that you are participating in this show as a unit unit.
Reminds me of The Starlit Season: ......","This concert is going to be performed by a single
unit, huh. It reminds me of the 'Starlit Season'..",""
"うぉっほん！
話は聞いたようだね","Ahem! Looks like you heard the news","Wow!
I see you've been listening.","Ahem! Looks like you
heard the news",""
"社長！　いつの間に……","President! When did you...?","Mr. President! When did you get ......","President! When did you...?",""
"壁に耳あり障子に目あり、
７６５プロの事務所に高木あり、だよ！","There's ears on the wall, shoji with eyes and Takagi in  Pro Office!","There are ears on the wall and eyes on the shoji,
There's Takagi in the office of 765 Pro, you know!","There's ears on the wall, shoji with
eyes and Takagi in  Pro Office!",""
"それで、ユニットの件だが……ルミナスのように
事務所を横断して結成するというのはどうかね？","So, about the unit...why don't we form it across offices like Luminous?","So, about the unit, like ...... luminous.
How about forming a cross-firm?","So, about the unit...why don't we
form it across offices like Luminous?",""
"ええっ、いいんですか？","Whaaat? Are you sure that's okay","Eh, are you sure?","Whaaat? Are you sure that's okay",""
"他の事務所には私から声をかけておこう。
きっと、快い返事をくれるはずだ","I'll go talk to the other offices. They should be happy with your answer, no?","I will speak to the other offices myself.
I'm sure you'll get a pleasant response.","I'll go talk to the other offices. They
should be happy with your answer, no?",""
"様々なアイドルが集うことが、互いの成長に繋がる。
そのことを、ルミナスが示してくれたのだからね","Gathering all sorts of idols will lead to mutual growth. Luminous has shown us that, right?","The gathering of various idols leads to mutual growth.
That's what Luminous has shown us.","Gathering all sorts of idols will lead to
mutual growth. Luminous has shown us that, right?",""
"よし、折角の機会だ
新ユニットのための新曲も手配しておこう","All right, now's my chance. I can arrange a new song for the brand-new unit too!","Okay, this is an opportunity.
We'll also arrange new music for the new unit.","All right, now's my chance. I can
arrange a new song for the brand-new unit too!",""
"わぁ、それなら、
新しい衣装も用意しないといけませんね♪","Wow, then I'll have to prepare a new outfit. ♪","Wow, then,
I'll have to get you a new outfit too... ♪","Wow, then I'll have to
prepare a new outfit. ♪",""
"ありがとうございます！
よろしくお願いします！","Thank you very much! I look forward to working with them","Thank you very much!","Thank you very much! I look
forward to working with them","Thank you very much!
I look forward to working with you again!"
"あとは新ユニットに、
どのメンバーを選ぶかだな……","All that's left is to choose a new unit..","The rest is for new units,
Which member would you choose? ......","All that's left is to
choose a new unit..",""
"うむ。君がどのようなユニットを結成するのか、
楽しみにしているよ","Yes. I'm looking forward to seeing what kind of unit you can form, too!","Mm...what kind of unit will you form?
Looking forward to it.","Yes. I'm looking forward to seeing what
kind of unit you can form, too!",""
"頑張ってくださいね、プロデューサーさん。
私も応援してます♪","Good luck, producer. I'll be rooting for you! ♪","Good luck to you, producer.
I'm rooting for you too... ♪","Good luck, producer.
I'll be rooting for you! ♪",""
"数日後――","A few days later—","","A few days later—",""
"（急ぎの仕事が一段落したから、
新ユニットについて考えるか……）","(I'm done with my urgent work, so I should think about the new unit...)","(Because I have finished my urgent work,
(Think about the new unit or ......)","(I'm done with my urgent work, so I
should think about the new unit...)",""
"プロデューサーさん、お疲れさまです。
新ユニットのメンバーは決まりましたか？","Thanks for your hard work, producer. Have you decided on a new member of the unit?","Thanks for your help, producer.
Have you decided on the members of the new unit?","Thanks for your hard work, producer. Have
you decided on a new member of the unit?",""
"メンバーの候補は大体決まりました。
あとはユニットのテーマを作らないと……","We've pretty much decided on a candidate. Now we just need to come up with the theme for our unit..","Candidates for members have largely been decided.
Now we need to create a theme for the unit: ......","We've pretty much decided on a candidate. Now we
just need to come up with the theme for our unit..",""
"それには、誰をリーダーにするかが重要なんです","To do that, it's important to decide who you want as the leader","And for that, it's all about who you put in charge.","To do that, it's important to decide who you want as the leader",""
"なるほど～。大変なんですね","I see. Sounds like a lot of work for you, then""","I see~ It's a lot of work.","I see. Sounds like a lot of work for you, then",""
"さて、どうするか……","Now then, what to do..","Now what to do: ......","Now then, what to do..",""
"プロデューサー、美咲さん。
おはようございます！","Producer, Misaki-san. Good morning!","Producer, Misaki-san.
Good morning!","Producer, Misaki-san.
Good morning!",""
"おはよう、琴葉。随分と早いな。
まだ集合時間じゃないぞ？","Good morning, Kotoha. You're up pretty early today... It isn't time to meet yet!","Good morning, Kotoha, you're up early.
It's not time to meet yet, okay?","Good morning, Kotoha. You're up pretty early
today... It isn't time to meet yet!",""
"お仕事の前に、台本を確認しようと思って。
完璧に頭の中に入れておきたいんです","I thought I'd check the script before you go to work. It would be nice if we could keep it in our heads perfectly, too""","I thought I'd check the script before I go to work.
I just want to get it completely in my head.","I thought I'd check the script before you go to work. It would
be nice if we could keep it in our heads perfectly, too",""
"みんなの邪魔にならないように、
あっちのソファを使わせてもらっていいですか？","May I use that sofa over there so you don't get in the way of everyone else?","Don't get in everyone's way,
May I use the couch over there?","May I use that sofa over there so you
don't get in the way of everyone else?",""
"ああ、いいぞ","Yeah, that's good","Yeah, that's good.","Yeah, that's good","Yeah, I'm good to go."
"（そういえば琴葉は、仕事もレッスンの時も、
いつも早く事務所に来ているな……）","(Come to think of it, Kotoha always comes early at work and during lessons...)","(Come to think of it, Kotoha is both at work and at lessons,
(You're always at the office early. ......)","(Come to think of it, Kotoha always
comes early at work and during lessons...)",""
"……なあ、琴葉。アイドル活動が
忙しくなってきたけど、学校の方は大丈夫か？","...Hey, Kotoha. You're getting busy with your idol activities... Are you okay at school?","...... Hey, Kotoha, I'm not sure if your idol activity is...
It's been busy, but how's school going?","...Hey, Kotoha. You're getting busy with your
idol activities... Are you okay at school?",""
"はい、両立できています。
学校もアイドル活動も集中して取り組んでますから","Yes, we're able to do both. We focus on our school and idol activities at the same time as well""","Yes, I am able to do both.
I'm concentrating on both school and my idol activities.","Yes, we're able to do both. We focus on our school
and idol activities at the same time as well",""
"そうか……","I see..","Right: ......","I see..","I see..."
"（真面目で誠実、努力家の琴葉がリーダーなら、
面白いユニットになるかもしれない）","(If Makoto is honest and hardworking as the leader, it might be an interesting unit.)","(If Kotoha, a serious, sincere, hardworking person, is the leader,
(Could make for an interesting unit.)","(If Makoto is honest and hardworking as the
leader, it might be an interesting unit.)",""
"琴葉、ちょっといいかな。今度、
大規模な勝ち抜き戦のイベントが開催されるんだ","Kotoha, do you have a moment? There's going to be an event for the big victor next time","Kotoha, can I have a word with you sometime?
There's a huge winner-take-all event going on.","Kotoha, do you have a moment? There's going
to be an event for the big victor next time",""
"それに今回も、ルミナスのような
合同ユニットで参加したいと思っている","Besides, I'd like to participate in a joint unit such as Luminous this time","And again, like the luminous
I would like to participate in a joint unit.","Besides, I'd like to participate in a
joint unit such as Luminous this time",""
"わぁ、本当ですか！
素敵なイベントになりそうですね","Wow, really?! This is going to be a wonderful event","Wow, really?
Sounds like it will be a wonderful event!","Wow, really?! This is going
to be a wonderful event",""
"実は、そのメンバー候補に琴葉が
入っているんだ。参加してくれないか？","Actually, Kotoha is one of the candidates. Would you like to join us?","In fact, Kotoha is a candidate for that member.
I'm in, will you join me?","Actually, Kotoha is one of the
candidates. Would you like to join us?",""
"えっ、私、ですか……？","Eh, me...?","What, me, or ......?","Eh, me...?",""
"……はい！　ぜひ、お願いします！","...Yes! By all means, please do","...... Yes, please!","...Yes! By all means, please do",""
"ありがとう。
それともうひとつ、相談があって……","Thank you. Also, there's one more thing I want to talk about..","
And one more thing I wanted to discuss: ......","Thank you. Also, there's one
more thing I want to talk about..",""
"その合同ユニットのリーダーをやってみないか？","Why don't you try leading that joint unit?","Would you like to be the leader of that joint unit?","Why don't you try leading that joint unit?",""
"え……えええっ！？
わ、私がリーダーですか！？","Wh-Whaaat?! I'm the leader of this group..","Eh ...... eh!
Wow, I am the leader!","Wh-Whaaat?! I'm the leader
of this group..",""
"ああ。メンバーは大体決まっているんだが、
ユニットのテーマがまだ固まりきってないんだ","Yeah. The members are pretty much set in stone, but the theme of our unit hasn't been solidified yet..","Yeah, I've got most of the members lined up,
I haven't quite settled on a theme for the unit yet.","Yeah. The members are pretty much set in stone, but
the theme of our unit hasn't been solidified yet..",""
"琴葉がリーダーをやってくれるなら、
自然とテーマも固まる……そんな気がするんだ","As long as you're the leader, Kotoha... I feel like my theme will naturally solidify","If Kotoha will be the leader,
It naturally solidifies the theme ...... I have a feeling that's what it's about.","As long as you're the leader, Kotoha... I
feel like my theme will naturally solidify",""
"なにより、絶対に面白いユニットになると思う！","More than anything, I think it'll definitely be an interesting unit!","Above all, I think it will definitely be an interesting unit!","More than anything, I think it'll definitely be an interesting unit!",""
"私が、リーダー……","I'm the leader..","I am the leader ......","I'm the leader..",""
"……選んでもらえたのは嬉しいので。
チャレンジしてみたいです！","...I'm glad you chose. I want to give it a try!","...... because I'm glad you chose it.
I would like to take up the challenge!","...I'm glad you chose. I
want to give it a try!",""
"で、でも……。
私なんかにリーダーが務まるのかなって……","B-But... I was just wondering if someone like me could be the leader","And but .......
I wondered if I could be a leader. ......","B-But... I was just wondering if someone
like me could be the leader",""
"（不安そうだな……。もう一言、
なにか言ってあげるべきか。そうだな……）","(You look uneasy... Should I say something else? Let's see.)","(You seem anxious. ....... One more word,
I should say something...right.........)","(You look uneasy... Should I say
something else? Let's see.)",""
"琴葉ならできる！","Kotoha can do it!","Kotoha can do it!","Kotoha can do it!",""
"自信がないのか？","You're not confident?","Not confident enough?","You're not confident?",""
"学校のテストが近いのか？","Is the school test coming up?","School tests coming up?","Is the school test coming up?",""
"琴葉ならできると思ったから、声をかけたんだ","I thought you could do it, Kotoha","I knew Kotoha could do it, so I called on her.","I thought you could do it, Kotoha",""
"あ、ありがとうございます！","Th-Thank you very much!","Oh, thank you very much!","Th-Thank you very much!",""
"……プロデューサーにそう言ってもらえるのは、
すっごく嬉しいです。でも……","I'm really happy to hear that from Producer. But..","I can only say that for ...... producers,
I'm soooo happy to hear that, but ......","I'm really happy to hear that
from Producer. But..",""
"リーダーをやる自信がないのか？","You're not sure you want to be the leader?","Don't have the confidence to be a leader?","You're not sure you want to be the leader?",""
"い、いえ……。
自信がないというわけでは……","N-No... It's not that I have no confidence in myself","Yes, no, .......
It's not that I'm not confident ......","N-No... It's not that I
have no confidence in myself",""
"いきなりのお話だったので、
少し驚いてしまって……","It was so sudden, I couldn't help but be a little surprised","It was a sudden story,
I was a little surprised. ......","It was so sudden, I couldn't help
but be a little surprised",""
"い、いえ！　そういうことではなくて！","N-No, that's not what I meant!","No, no! That's not what I meant!","N-No, that's not what I meant!",""
"リーダーを引き受けるというのは、
簡単に返事をしてはいけないような気がして……","I feel like taking on the role of leader isn't something you should answer so easily..","Taking on a leader is,
I feel like I shouldn't reply so easily: ......","I feel like taking on the role of leader
isn't something you should answer so easily..",""
"……少し時間をもらえませんか？
きちんと考えて答えを出したいんです","...Could you give me a little time? I want to think it over and come up with an answer","...... Could you give me a few minutes of your time?
I just want to think this through properly and get some answers.","...Could you give me a little time? I want
to think it over and come up with an answer",""
"どんな結論になっても琴葉の意思を尊重するよ。
気持ちが決まったら教えてくれ","No matter what conclusion you come to, I'll respect your wishes. Let me know when the time is right","Whatever the conclusion, I will respect Kotoha's wishes.
Let me know when you've made up your mind.","No matter what conclusion you come to, I'll
respect your wishes. Let me know when the time is right",""
"はい、ありがとうございます……","Yes, thank you very much..","Yes, thank you ......","Yes, thank you very much..","Yes, thank you very much..."
"（リーダーを務めるのは、簡単なことじゃない。
彼女の判断に任せよう）","(Being the leader isn't easy. Let her decide for herself)","(It's not easy to be a leader.
(I'll leave it to her to decide.)","(Being the leader isn't easy.
Let her decide for herself)",""
"（無事に打ち合わせが終わった。
……うん？　事務所から賑やかな声が聞こえるな）","(The meeting ended without incident. ...Hm? I can hear lively voices coming from the office...)","(The meeting went off without a hitch.
(...... yeah? I hear a lot of noise coming from the office.)","(The meeting ended without incident. ...Hm? I
can hear lively voices coming from the office...)",""
"わあ、このお菓子すっごくおいしい～！
それにカラフルで可愛いですっ！","Wow, these sweets are really good! And they're so colorful and cute","Wow, this pastry is so delicious!
And it's colorful and cute!","Wow, these sweets are really good!
And they're so colorful and cute",""
"こっちのクッキーも、おいしいよ！
はあ、幸せ～♪","These cookies are delicious, too! *sigh* I'm so happy~","These cookies are delicious, too!
Hah, happiness~♪","These cookies are delicious,
too! *sigh* I'm so happy~",""
"あはは、春香はほんと、
おいしそうに食べるよね","Haha, Haruka really does look like she's enjoying it","Haha, Haruka really,
They look delicious, don't they?","Haha, Haruka really does
look like she's enjoying it",""
"ふふっ、喜んでもらえてよかったです。
たくさんあるので、みなさんで食べてください","I'm glad you like it. There are a lot of them, so please have some with everyone","Phew, I'm glad you are pleased.
There are plenty of them, so everyone is invited to eat them!","I'm glad you like it. There are a lot of
them, so please have some with everyone",""
"心白？　事務所に来ていたのか","Kohaku? You came to the office","Heart white? You were at the office?","Kohaku? You came to the office",""
"プロデューサーさん、こんにちは。
お邪魔してます","Hello, producer. Sorry to bother you","Hello, producer.
greeting used when entering someone's home","Hello, producer.
Sorry to bother you",""
"仕事で海外のロケに行ったので、
お土産を持ってきたんですよ","I went to an overseas location for work, so we brought you a souvenir","I went on location overseas for work,
I brought you a souvenir.","I went to an overseas location for
work, so we brought you a souvenir",""
"結構有名なメーカーよね。このお菓子、
私も海外に行った時は、いつも買うわ","It's a pretty well-known brand. I always buy these sweets when we go overseas, too..","This candy is quite famous, isn't it?
I buy them all the time when I'm out of the country too.","It's a pretty well-known brand. I always
buy these sweets when we go overseas, too..",""
"海外のお菓子って不思議な味がするぞ。
プロデューサーも食べるでしょ？","Foreign sweets have a mysterious flavor. Producers eat them too, don't they?","Foreign candy tastes strange.
Producers eat too, don't they?","Foreign sweets have a mysterious flavor.
Producers eat them too, don't they?",""
"あとでいただくよ。
心白も、わざわざありがとうな","I'll have some later. Thanks for coming all the way out here, Kohaku""","I'll have some later.
Thanks for going out of your way to help me out, too, Shinbaku.","I'll have some later. Thanks for
coming all the way out here, Kohaku",""
"あ、あの、プロデューサー！
お話し中のところすみません……","U-Umm, producer! I'm sorry to interrupt..","Oh, um, producer!
Sorry for interrupting ......","U-Umm, producer! I'm
sorry to interrupt..",""
"どうした、琴葉？","What's wrong, Kotoha?","What's up, Kotoha?","What's wrong, Kotoha?",""
"ユニットのことで、お話ししたくて……","I wanted to talk about the unit..","I wanted to talk to you about the unit: ......","I wanted to talk about the unit..",""
"そうか。いいぞ、それじゃあ……","I see. That's good, then..","Okay, good, then: ......","I see. That's good, then..",""
"あ、プロデューサーさん
それじゃあ私たち席を外しますね","Oh, Mr. Producer! We'll be taking our leave now..","Ah, Mr. Producer.
Well, we'll leave you to it.","Oh, Mr. Producer! We'll
be taking our leave now..",""
"いや、春香たちもいてくれていいぞ。
琴葉も、それでいいか？","No, it's fine if Haruka and the others are here too. Are you okay with that?","No, Haruka and the others can stay.
Kotoha, is that okay with you?","No, it's fine if Haruka and the others
are here too. Are you okay with that?",""
"あ、大丈夫です！","Oh, I'm fine!","Oh, it's okay!","Oh, I'm fine!",""
"あれから、色々考えたんです。プロデューサーの
言ってくれたこととか。それで……","I've been thinking about a lot of things since then. Like what Producer said to me, and..","Since then, I've given a lot of thought to Producer's
Like what you said, so ......","I've been thinking about a lot of things since
then. Like what Producer said to me, and..",""
"まだ、不安はありますけど……。
私、新しいユニットのリーダーをやってみたいです！","I'm still a little worried, but...I want to be the new leader of our unit!","I still have some concerns, though. ......
I, for one, would like to be the leader of a new unit!","I'm still a little worried, but...I want
to be the new leader of our unit!",""
"そうか、引き受けてくれるか！
よろしく頼むよ","I see, so you'll take me up on that! Nice to meet ya","Well, will you take care of it?
I look forward to working with you.","I see, so you'll take me up
on that! Nice to meet ya",""
"新しいユニットのリーダー？","You're the leader of a new unit?","New unit leader?","You're the leader of a new unit?",""
"実はイベントがあってな。そのイベントに
挑むユニットのリーダーを琴葉にお願いしたんだ","Actually, there's an event going on. I asked Kotoha to be the leader of a unit challenging it","Actually, there was an event.
I asked Kotoha to lead the unit that would take on the challenge.","Actually, there's an event going on. I asked
Kotoha to be the leader of a unit challenging it",""
"へえ、そうだったんですね！
琴葉、おめでとう！","Wow, I didn't know that! Congrats on your hard work today","Heh, I didn't realize that!
Congratulations, Kotoha!","Wow, I didn't know that!
Congrats on your hard work today",""
"おめでとう♪　頑張ってね","Congratulations! ♪ Good luck","Congratulations... Good luck.","Congratulations! ♪ Good luck",""
"うんっ、ありがとう！","Yeah, thanks!","Yeah, thanks!","Yeah, thanks!",""
"それで、リーダーをやるにあたって、
テーマをどう決めたらいいかを考えてきたんです","So I've been thinking about how to decide on a theme for my role as leader","So, in taking on the role of leader,
I've been trying to figure out how to decide on a theme.","So I've been thinking about how to decide
on a theme for my role as leader",""
"おお、そこまで考えてきてくれたのか。
良かったら聞かせてくれないか","Oh, so that's how much you thought about it. Could I have a chance to ask?","Oh, you've thought that far.
I'd like to hear about it, if you don't mind.","Oh, so that's how much you thought
about it. Could I have a chance to ask?",""
"はい。テーマを決めるにあたっては、
まずはファンのニーズを知るべきだと思います","Yes. When you decide on a theme, I think it's best to know the needs of your fans first""","Yes, in deciding on the theme,
I think we should know what our fans need first.","Yes. When you decide on a theme, I think
it's best to know the needs of your fans first",""
