"（ルミナスが解散し、アイドルたちは、
それぞれの事務所の活動に戻っていた。そんな中……）","(With Luminous disbanding, the idols returned to their respective offices. Meanwhile...)","(Luminous broke up, and idols,
They were back to the activities of their respective offices. ......)","(With Luminous disbanding, the idols returned
to their respective offices. Meanwhile...)","",""
"あふぅ……お腹いっぱい……。
ミキ、もう食べられないの……","Ahh... I'm so full. Miki, can you eat any more?","Ahhhh ...... I'm so hungry .......
Miki, I can't eat anymore: ......","Ahh... I'm so full. Miki,
can you eat any more?","",""
"美希先輩、起きてくださ～い！
プロデューサーさん、来ちゃいましたよ！","Miki-senpai, wake up! Producer's here","Miki-senpai, please wake up~!
Producers, we're here!","Miki-senpai, wake up!
Producer's here","",""
"相変わらずだな、美希。
話があるから一度起きてくれ","You're the same as ever, Miki. I need to talk with you so wake up for a bit","As usual, Miki.
I need to talk to you. Wake up once.","You're the same as ever, Miki. I need
to talk with you so wake up for a bit","",""
"はーい……あふぅ……。ねえ、プロデューサー。
なんでミキたち呼ばれたの？","Okay... afuu. Hey, producer? Why'd you call Miki and the others over here for me to come back home with us like this?","Yes ......Ah....... Hey, producer.
Why did they call Miki and the others?","Okay... afuu. Hey, producer? Why'd you call Miki and the others
over here for me to come back home with us like this?","",""
"ミキに雪歩、やよいと亜美と真美でしょ？
それから～……","Miki, Yukiho. Yayoi and Ami? And then..","Miki, Yukiho, Yayoi, Ami and Mami, right?
Then ~......","Miki, Yukiho. Yayoi
and Ami? And then..","",""
"はいはーい！
わたしと歌織さんもいますよ♪","Okay, okay! Kaori-san and I are here too♪","Yes, yes, yes!
Me and Utori are here too...","Okay, okay! Kaori-san
and I are here too♪","",""
"びしぃっ☆
きらりと美嘉ちゃんもいるよぉ～☆","Bishii☆ There's also Mika-chan","☆ Shh!
Kirari and Mika are there too!","Bishii☆ There's
also Mika-chan","",""
"はい！　あたしと摩美々さん、
はづきさんもいますっ！","Yes! Me and Hazuki-san are here too","Yes! Me and Mamisa,
Hazuki is there, too!","Yes! Me and
Hazuki-san are here too","",""
"あたしと心白もいるわ。
不思議なメンバーね","Kohaku and I are here, too. What a strange group","I'll be there, and so will Shinbaku.
You're a curious member.","Kohaku and I are here, too.
What a strange group","",""
"ああ、そうだな。
みんなに集まってもらったのは、他でもない","Yeah, you're right. It was none other than the others who gathered here for us to discuss this matter with each and every one of our fellow members in attendance""","Oh, yes.
What brought us all together was none other than","Yeah, you're right. It was none other than the others who gathered here for us to
discuss this matter with each and every one of our fellow members in attendance","",""
"このメンバーで、
ミュージカルを行うことが決まったんだ！","We've decided to hold a musical with these members!","This member,
We've decided to do a musical!","We've decided to hold a
musical with these members!","",""
"ええっ、ミュージカルですか！？
そ、そんな、いきなり……","Whaaat? A musical! Th-That's so sudden..","What, a musical?
Oh, no, suddenly ......","Whaaat? A musical!
Th-That's so sudden..","",""
"驚くのも無理はない。ずっと水面下で企画が
動いていて、ようやく準備が整ったんだ","I can't blame you for being surprised. The project has been going on in the shadows all this time, and now we are finally ready to go!","It's no wonder I'm surprised; the project has been in the works for a long time.
It's moving, and it's finally ready to go.","I can't blame you for being surprised. The project has been going on
in the shadows all this time, and now we are finally ready to go!","",""
"またみんなでお仕事できたら……と
思っていたので、実現して嬉しいです","I was hoping that we could all work together again, so I'm glad it turned out this way in the first place""","If we can all work together again, please contact ...... and
I've been thinking about it and I'm glad it's happening!","I was hoping that we could all work together again, so
I'm glad it turned out this way in the first place","",""
"うっうー！　みんなでお芝居なんて、
とっても楽しそうです！","Ugh! It sounds like a lot of fun to put on an act with everyone","Wooooo! I can't believe we are all in a play together,
It looks like a lot of fun!","Ugh! It sounds like a lot of fun
to put on an act with everyone","",""
"はいっ！　今からドキドキしちゃってます……！","Yes! My heart's beating like crazy right now..","Yes! I'm so excited now. ......","Yes! My heart's beating like crazy right now..","",""
"ミュージカルって、おしばいだけじゃなくて
歌ったりおどったりもするんですよね？","Musicals aren't just about diapers—they also sing and dance, right?","Musicals aren't just for push-ups.
You also sing and dance, don't you?","Musicals aren't just about
diapers—they also sing and dance, right?","",""
"そうよ、果穂ちゃん。歌ったり踊ったりしながら、
物語が進んでいくの","That's right, Kaho-chan. The story progresses as we sing and dance","Yes, Kaho, singing and dancing,
The story goes on.","That's right, Kaho-chan. The
story progresses as we sing and dance","",""
"うぇへへ♪　キラキラなステージにして、
きらりたちもお客さんもみ～んなハピハピだにぃ☆","Ueheh♪ It's a sparkling stage, with all the glittering people and customers☆","Wohehehe♪ Make it a sparkling stage,
Kirari and the customers are all happy!","Ueheh♪ It's a sparkling stage, with
all the glittering people and customers☆","",""
"イイじゃん！　みんなで力を合わせて、
サイッコーのミュージカルにしようね★","Nice! Let's all work together to make this a great musical. ★","That's good! We all have to work together,
Let's make it a great musical!","Nice! Let's all work together to
make this a great musical. ★","",""
"ところで、プロデューサー。
なんでこのメンバーなの？","By the way, producer. Why are you in this group?","By the way, producer.
Why this member?","By the way, producer.
Why are you in this group?","",""
"ルミナスのように、各事務所のアイドルを集めて
ミュージカルができないかって相談が来たんだ","Like Luminous, people came to me asking if I could get idols from each agency together for a musical","Like Luminous, gather idols from each office.
They asked me if we could do a musical.","Like Luminous, people came to me asking if I could
get idols from each agency together for a musical","",""
"そこで、ルミナスのメンバーを中心に、
チャレンジしてほしいメンバーに集まってもらった","There, I had the members who wanted to challenge me gather around Luminous","So, we focus on the members of Luminous,
We had a group of members who wanted to take on the challenge.","There, I had the members who wanted to
challenge me gather around Luminous","",""
"摩美々さんは天井社長が是非メンバーに
入れてほしいと、高木社長に打診したんですよ～","Mr. Ceiling asked President Takagi to let him join us~","Mamima, President Tomei would love to have you as a member.
I approached President Takagi and asked him to include it.","Mr. Ceiling asked President
Takagi to let him join us~","",""
"社長も期待しているって言ってました～","The president said he had high hopes for you","The president said he's looking forward to it!","The president said he had high hopes for you","",""
"えー？
期待されてもー、困るんですケドー","Whaaat? I don't want you to get your hopes up, Keddo","Eh?
I don't know what to expect, but I don't like it.","Whaaat? I don't want you to
get your hopes up, Keddo","",""
"心白と亜夜は、高木社長が話を持ちかけて、
実現したんだ","Kohaku and Aya were made possible by President Takagi talking to them","Shinbaku and Aya were approached by President Takagi,
We made it happen.","Kohaku and Aya were made possible
by President Takagi talking to them","",""
