"みんな、『スプリングナイト』で着る
衣装のサンプルが届いたぞ","","Everyone wears it on ""Spring Night"".
I just received a sample of your costume.","","Everyone, we've got a sample of your
outfit for Spring night.",""
"えーっと、誰にサンプルを着てもらおうかな……","","Let's see, who should we get to wear the samples: ......","","Well, who do I want to wear the sample...",""
"心白、お願いするよ","","Shinbaku, please.","","Kohaku, please.",""
"響、頼んだ！","","Hibiki, I asked!","","Hibiki, I'm counting on you!",""
"春香、よろしく","","Haruka, nice to meet you.","","Haruka, here you go.",""
"伊織、着てみてくれ","","Iori, try it on.","","Iori, try it on.",""
"真、着てみないか？","","True, why don't you try it on?","","Makoto, why don't you try it on?",""
"未来、着てみるか？","","Future, you want to try it on?","","Mirai, you want to try it on?",""
"杏、出番だ","","Apricot, you're up.","","Anzu, it's your turn.",""
"菜々、任せた","","Nana, you got it.","","I'll leave it to you, Nana.",""
"甘奈、頼む","","Amana, please.","","Amana, please.",""
"甜花、着てみるか？","","Beet flower, do you want to try it on?","","Tenka, want to try it on?",""
"私ですか？
分かりました、試着してみますね","","Is it me?
Okay, I'll try it on.","","Me?
Okay, I'll try it on.",""
"衣装を着ると、気が引き締まりますね！
本番のステージが楽しみです","","It's a great way to get into the swing of things when you put on a costume!
I'm looking forward to seeing you on stage for the show!","","I feel so much better in my costume!
I'm looking forward to seeing you on stage.",""
"気に入ってくれてよかったよ。
本番までに全員分用意しておくからな","","I'm glad you liked it.
I'll have enough for everyone before the show.","","I'm glad you like it.
I'll have enough for everyone before the performance.",""
"もちろん！
プロデューサー、自分に任せてよ","","Of course!
Producers, let yourself be the one to do it.","","Of course!
You can count on me, producer.",""
"うんうん、すっごくいい衣装だぞ！
動きやすいし、気に入ったさー♪","","Yeah, yeah, it's a very nice outfit!
It's easy to move and I like it.","","Yeah, yeah, it's a really good outfit!
It's easy to move around in, and I like it♪",""
"はい！　どんな衣装なんだろう……？
さっそく着てみますね♪","","Yes! What kind of costume is it ......?
I'll try it on right away... ♪","","Yes! I wonder what kind of outfit it is...?
I'll try it on right away♪",""
"春っぽい色で、カラフルで……かわいい衣装ですね！
実はちょっと着てみたかったので、嬉しいです♪","","It's a cute, colorful, ...... outfit in spring-like colors!
I'm actually kind of glad I tried it on... ♪","","That's a cute outfit, very spring-like, colorful and
cute! I'm actually kind of glad I got to wear it♪",""
"この伊織ちゃんにモデルを頼むなんて、
高くつくわよ？","","I can't believe I asked this Iori to model for me,
It's going to cost you, okay?","","It's expensive to ask Iori-chan to
model for you, you know.",""
"アンタにしちゃ悪くない衣装じゃない。
モデル代は勘弁してあげるわ、にひひっ♪","","Not a bad outfit for you.
I'll give you a break on the modeling fee, nihihihihihi♪","","Not a bad outfit for you.
I'll spare you the modeling fee, hihihihi♪",""
"いいんですか！？
へへっ、やーりぃ！　任せてください！","","Are you sure!
Hehehe, yay! Leave it to me!","","Are you sure!?
Hehe, yay! Leave it to me!",""
"いいですね！　パステルカラーっていうんですか？
すっごくかわいくて、本番で着るのが楽しみです！","","I like it! Are they called pastel colors?
It is so cute and I am looking forward to wearing it for the show!","","I like it! Are they called pastel colors? It's so cute!
I'm looking forward to wearing it for the live!",""
"はい！　やったー、実は着てみたかったんです！
どんな衣装かなー♪","","Yes! Yay, I actually wanted to wear it!
I wonder what kind of costume... ♪","","Yes!!! Yay, I actually wanted to wear it!
I wonder what kind of costume it would be...",""
"すっごくかわいい衣装ですね、本番が楽しみです！
はやくステージに立ちたいな～！　でへへ♪","","That is a very cute outfit, I am looking forward to the show!
I can't wait to get on stage!","","That's a very cute outfit, I'm looking forward to
the live! I can't wait to be on stage! ehehe♪",""
"杏？　ああ、サイズが合ってるか見ておきたいんだ？
それならしょうがない、着てみるか……","","Anne? Yeah, you want to see if it's the right size?
Then I can't help it, I'll try it on: ......","","Anzu? Oh, you want to see if it's the right size?
Then there's no helping it, I guess I'll try it on...",""
"人によってちょっと形が違うのはポイント高いよね。
ってことで……モデルになったご褒美に、飴くれ～","","It's a good point that the shape is a little different for different people.
So, as a reward for being a ...... model, give me some candy~!","","Since size varies is worth a lot of points.
So... as a reward for modeling, give me candy",""
"飴はまた後でな。
衣装、本番までに全員分用意しておくよ","","I'll see you later for the candy.
Costumes, I'll have enough for everyone before the show.","","I'll save the candy for later. I'll prepare the
costumes for everyone before the main event.",""
"うわぁっ、いいんですか？
任されましたっ♪","","Wow, are you sure?
I'm in charge.","","Uwaa, are you sure?
Leave it to me♪",""
"うわわ、かわいい衣装ですね！　これを着てると、
ウサミンパワーがぎゅんぎゅん溜まりそうですっ☆","","Wow, that's a cute outfit you're wearing,
Usamin power is going to be accumulated in a big way.","","Whoa, it's a cute outfit! If I wear this, it feels like
Usamin power is building up☆",""
"はーい！
しっかり着こなせるといいな～","","Hai!
I hope I can wear it well!","","Yes!
I hope I can wear it well~",""
"かわいー！　この衣装、めっちゃいいね☆
甜花ちゃんが着てるところも早く見てみたいな～","","Cute! I love this outfit so much!
I can't wait to see Tetuka wearing it too!","","Cute!!! This outfit is soooo nice☆.
I can't wait to see Tenka wearing it too!",""
"甜花……？
が……頑張る……！","","Beet flower: ......?
is ...... working hard ......!","","Tenka...?
I'll... do my best...!",""
"この衣装……すごくかわいい
甜花、ちゃんとできた……かな……？","","This outfit ...... is so cute!
Beet Hana, did I get it right ...... or ......?","","This outfit... is really cute.
did Tenka get it right... or...?",""
