"続きまして、
今週のプロデューサータスクをお伝えします","","Continued,
Here are this week's producer tasks","","I'm going to continue with this week's
producer task.",""
"今週のプロデューサータスクをお伝えします","","Here are this week's producer tasks","","I'd like to share with you this week's
producer task.",""
"それでは、今週もよろしくお願いします","","Well, I wish you all the best for the rest of the week.","","Well then, I look forward to working with
you again this week.",""
"週も折り返しです。
プロデューサータスクには気を付けてくださいね","","The week is turning around.
Be careful with producer tasks!","","The week is turning around.
Please take care of your producer tasks.",""
"今日はプロデューサータスクの期限日です。
大丈夫ですか？","","Today is the due date of Producer task.
Are you okay?","","Today is the deadline for Producer task.
Are you all right?",""
"今月最後のプロデューサータスクをお伝えします","","Here is the last producer task of the month!","","Here is the last producer task of the month!",""
"もうすぐ月末です。目標ファン人数の
締切が近いので、気を付けてくださいね","","It's almost the end of the month, and we have a target number of fans.
The deadline is near, so please be careful!","","The deadline to come up with targeted number
of fans is coming up, so please be careful.",""
"今日はファン人数の期限日です。
ご注意ください","","Today is the deadline day for the number of fans.
Please note","","Today is the deadline for the number of fans.
Please be careful.",""
"次は、今週のプロデューサータスクです！","","Next up is this week's producer task!","","Next up, our Producer Task of the Week!",""
"今週のプロデューサータスクです！","","This week's producer task!","","This week's producer task!",""
"今週も頑張っていきましょう！","","Let's keep up the good work this week!","","Let's do our best this week!",""
"週も、半分がすぎました。
プロデューサータスクは大丈夫ですか？","","The week is now half over.
Is Producer task ok?","","Half a week has passed.
Are you okay with Producer task?",""
"今日はプロデューサータスクの期限日ですっ！
あの、大丈夫ですよね？","","Today is the due date of Producer task!
Um, it's okay, right?","","Today is the deadline for Producer task!
Um, are you okay?",""
"今月最後のプロデューサータスクは、こちらです！","","Here is the last producer task for this month!","","This is the last producer task of the month!",""
"目標のファン人数の期日が、いよいよ迫ってきました。
ドキドキするよ～……。あの、気を付けてくださいね！","","The deadline for the target number of fans is fast approaching.
I'm thrilled~ ....... Um, please be careful!","","The deadline for the target number of fans is 
near. so exciting~... Um, please be careful!",""
"今日はファン人数の期限日です。
注意してくださいね","","Today is the deadline day for the number of fans.
Caution.","","Today is the deadline for the number of fans.
Please be careful.",""
"続いては、
今週のプロデューサータスクになります","","Followed by,
This will be this week's producer task","","Next up,
is this week's producer task.",""
"では、プロデューサータスクをお伝えいたします","","Now, let me tell you about Producer task","","Well then, I'll tell you Producer task.",""
"みんな期待していますよ。
頑張ってくださいね！","","Everyone is looking forward to it.
Good luck!","","Everyone's looking forward to it.
Good luck!",""
"週も、半ばとなりました。
プロデューサータスクにはお気を付けてください","","It is now the middle of the week.
Please be careful with producer tasks!","","It's the middle of the week.
Please watch out for Producer's tasks.",""
"今日はプロデューサータスクの期限日です。
注意してくださいね","","Today is the due date of Producer task.
Caution.","","Today is the deadline for Producer task.
Please be careful.",""
"それでは、
今月最後のプロデューサータスクをお伝えいたします","","See you then,
We are pleased to share with you the last producer task of the month!","","Now then, allow me to give you the
final producer task of the month.",""
"月末が近いので、目標ファン人数も意識して
プロデュースをしていくことをお勧めします","","The end of the month is near, so be aware of the number of target fans.
We recommend that you produce","","Since the end of the month is coming up, we
need to be aware of our target number of fans.",""
"今日はファン人数の期限日です。
お忘れなく！","","Today is the deadline day for the number of fans.
Don't forget!","","Today is the deadline for the number of fans.
Don't forget!",""
"次は、今週のプロデューサータスクですよ～","","Next up is this week's producer task~!","","Next up is this week's producer task~",""
"今週のプロデューサータスクはこちらです～","","Here is this week's producer task~!","","This is this week's producer task~",""
"プロデューサーさん、無理しすぎないでくださいね～","","Producers, please don't overdo it!","","Don't push yourself too hard, producer-san~",""
"今週も、半分が過ぎましたね。
プロデューサータスクにはご注意ください～","","This week, we are halfway through.
Please be careful with Producer task~.","","We are halfway through this week.
Please pay attention to Producer task~",""
"今日はプロデューサータスクの期限日です。
見落としが無いよう、ご注意ください～","","Today is the due date of Producer task.
Please be careful not to miss anything.","","Today is the deadline for Producer task.
Please make sure you don't miss anything~",""
"今月最後のプロデューサータスクになります～","","This will be the last producer task of the month~.","","This will be the last producer task of the month~",""
