"（今日は春香と繁華街に、
事務所の備品を買い出しに行くことになった）","","(Today, Haruka and I went downtown,
(I had to go shopping for supplies for the office.)","","(Today, Haruka and I are going
downtown to buy some office supplies.)"
"そういえば、プロデューサーさんが海外にいた時は、
こうして街でお買い物に行ったりしてたんですか？","","Oh, by the way, when Producer was overseas,
Did you go shopping in town like this?","","Speaking of which, when Producer was
overseas did you go shopping in town like this?"
"もちろん。食材とか日用品とか、いろいろな。
そこは日本と変わらないぞ","","Of course. foodstuffs, daily necessities, etc.
That part is no different from Japan.","","Of course. Food ingredients, daily necessities...
That's no different from Japan."
"あ、そうですよね。英語がわからないときは、
どうしていたんですか？　道に迷った時とか……","","Ah, yes, when you don't understand English,
What did you do when you got lost or ......","","Oh, that's right. What did you do when your
English was bad? When I lost my way..."
"ああ、英語がわからない時は……","","Oh, and if you don't understand English: ......","","Yeah, when I don't understand English..."
"ジェスチャー","","gesture","","Gesture"
"辞書","","dictionary","","Dictionary"
"日本語","","Japanese (language)","","Japanese language"
"とにかくジェスチャーを使っていたよ。
最初はちょっと恥ずかしかったけど、案外通じたぞ！","","I was using gestures anyway.
I was a little embarrassed at first, but it came through!","","Anyway, he was using gestures.
It was a little embarrassing at first, but it worked surprisingly well!"
"そうだったんですね！　プロデューサーさんの
ジェスチャー……ちょっと見てみたいかも♪","","So it was! Producer's
Gesture...... might want to take a look at it for a minute...","","So that's how it is! I kind of want to see
Producer make a gesture like this.♪"
"迷わず辞書だな。電子辞書とか便利だぞ？
わからない単語があったら、すぐ調べられるからな！","","Don't hesitate to get a dictionary...electronic or otherwise, it's handy, right?
If I don't understand a word, I can look it up right away!","","A dictionary without hesitation, huh? An electronic one would be convenient.
If there's a word I don't understand, it can be looked up right away!"
"なるほど～！　確かに辞書があったら心強いですね！
電子辞書だと持ち運びも便利そうです♪","","I see~! It would certainly be reassuring to have a dictionary!
An electronic dictionary would be more convenient to carry around.","","I see! It would be great if we had a dictionary.
An electronic dictionary would be handy to carry around.♪"
"開き直って日本語で聞いていたな","","You opened up and asked me in Japanese.","","You were listening to it in japanese."
"ええっ！？　そ、それで通じたんですか……？","","What? Did you get through to him with that? ......?","","Whaaat?! Y-You got through to him..."
"でもやっぱり、英語はちゃんと勉強しておいた方が
いいですよね。今度英語のテストもあるし……","","But I still think you should study English properly.
That's good, I have an English test coming up: ......","","But I guess it's better to study English.
We have an english test next time, too..."
"英語のテストか、それじゃあ勉強を頑張らないとな！
俺の対応はテストじゃ使えないし……","","An English test, then I'll have to study harder!
And my response doesn't work in testing: ......","","An English test, huh? Then I'll have to study hard!
I can't use my response during the test..."
"あはは、そうですね。
いい点がとれるように、勉強を頑張りますっ♪","","Haha, yes.
I will study hard so that I can get a good score.","","Haha, you're right.
I'll do my best to get good grades!♪"
"（春香が熱心に本を読んでいる……。
どうやらお菓子のレシピ本のようだな）","","(Haruka is eagerly reading a book at .......
(Apparently it's a recipe book for pastries.)","","(Haruka's absorbed in reading...
Looks like a recipe book for sweets.)"
"ずいぶんと夢中になっているな。
何か気になるお菓子でもあったのか？","","You're getting quite carried away.
Was there some kind of candy that caught your attention?","","You're really into this.
Did you find something that caught your eye?"
"はい！　実は、ルミナスのメンバーへの差し入れ、
レパートリーを増やしたいんです♪","","Yes! In fact, it is a gift for the members of Luminous,
I'm trying to expand my repertoire.","","Yes! Actually, I want to expand my
repertoire of snacks for Luminous members.♪"
"なるほど。それはみんな喜ぶだろうな！
何か良さそうなものはあったか？","","I see...that would please everyone!
Did you find anything that looked good?","","I see. That'll make everyone happy!
Did you find anything good?"
"それが、いろいろあって迷っちゃって……。
プロデューサーさんはどれがいいと思いますか？","","That's why I got lost in all that stuff. ......
Which one do you think is best for Producer?","","Well, a lot happened and I got lost...
Which one do you think is best, producer?"
"新しいお菓子のレパートリーか。
そうだな……","","A new repertoire of sweets?","","A new snack repertoire, huh?
Yeah, you're right"
"マカロン","","macaroon","","Macaron"
"キャンディ","","candy","","Candy"
"パフェ","","parfait","","Parfait"
"マカロンはどうだ？　みんなのイメージカラーで
マカロンを作ったら、喜ぶんじゃないか？","","How about macaroons, in everyone's image color?
Wouldn't they be happy if I made macarons?","","How about Macaron? Wouldn't it make everyone
happy if we made them with our own image colors, too."
"マカロンかぁ……！　確かに、カラフルなところが
ルミナスにもぴったりですねっ♪","","Macarons... ......! Indeed, the colorful part!
It's perfect for luminous... ♪","","▁Macarons, huh...?! I can see why Luminous would like them so
much when they're all colorful and well-suited to her tastes.♪"
"キャンディはどうだ？","","How's Candy?","","How about some candy?"
"いいですね！　飴が好きな子もいますし、
置いてるだけで、気軽に食べられますよね！","","Great, some kids like candy,
You can easily eat it just by putting it on the table!","","That's great! There are girls who like candy, so
it should be easy to eat just by looking at them."
"パフェならみんな喜ぶんじゃないか？","","I'm sure everyone would love a parfait.","","Wouldn't everyone be happy with a parfait?"
"ぱ、パフェかぁ……おいしいですけど、
全員分作るのはちょっと大変かな……？","","Pa, parfait. ...... It's delicious, though,
Is it a bit hard to make one for all of us ......?","","A-A parfait, huh...? It's delicious. But it might
be a bit hard to make enough for all of us!"
"とはいえ俺の意見だけってのもな……。
せっかくだし、みんなにも聞いてみたらどうだ？","","But it's not just my opinion, either. ......
Since you're here, why don't you ask everyone else?","","But still, I can't really say that it was just my opinion...
Why don't you ask the others?"
"それもいいですね♪　他の子にも何がいいか聞いて、
今度作ってこようと思います！","","That's good too...ask the other kids what they like,
I will go make it next time!","","That sounds great! ♪ I'll ask the others what they
want, and then we can make some next time."
"えへへっ、その時はぜひぜひ
プロデューサーさんも食べてくださいね♪","","Hehehe, I'd love to see you then!
Producers, please eat too... ♪","","Heheh, I'd love it if
you could try some.♪"
"（今日は春香に、折り入って相談したいことがあると
カフェに呼び出された）","","(Today, he said he had an urgent matter to discuss with Haruka.
(Called to the cafe)","","(Haruka called me to the cafe
today because she wanted some advice.)"
"今度の会場ってショッピングモールですけど、
ファンの人以外にもいろいろなお客さんがいますよね","","The venue this time is a shopping mall,
There are all kinds of customers besides fans.","","We're going to the shopping mall, but there
are a lot of other customers besides our fans."
"ミニライブのことか？
ああ、その通りだ","","You mean the mini-live?
Yeah, that's right.","","You mean the mini-live?
Yeah, you're right."
"そういう場所で、どんな風にライブをすればいいか、
色々考えてたら……わからなくなっちゃって……","","How should we perform live in such a place?
I was thinking a lot about it and I couldn't figure out ...... ......","","I've been thinking about how to put on a concert in that kind of place,
and now I have no idea what the best way would be for it...」"
"そうだな……いろんな人がいる
ショッピングモールのライブなら……","","Yes, ...... there are all kinds of people
If you want to live in a shopping mall, go to ......","","Let's see... There are all kinds of people here. If we want
to hold a concert at the shopping mall, it should be-"
"春香のことを
知ってもらう","","Haruka.
make people aware of","","Let her know
about Haruka."
"春香の歌を
知ってもらう","","Haruka's song.
make people aware of","","I'll show you
Haruka sings."
"春香のドジを
知ってもらう","","Haruka's screw up.
make people aware of","","I'm going to show you what
a klutz Haruka is."
"春香のことを知ってもらうつもりでライブをすれば
いいんじゃないか？","","If you perform live with the intention of getting to know Haruka","","Why don't we put on a concert to
show them that you know Haruka?"
"私のことを……？　そっか、まずは私が誰なのか
お客さんに知ってもらうところからですよね！","","You can find me at ......? I see, first of all, who I am.
It starts with getting to know your customers, right?","","You want to know more about me...? I see, so you'll
start by having the customers find out who it is!"
