"（仕事の合間に、貴音と繁華街を歩いている）","","(Walking downtown with Takane, in between jobs)","","(I'm walking downtown with Takane in between jobs.)"
"人が多いんだな。
この辺り、貴音はよく来るのか？","","You have a lot of people.
Do you come to this area often, noble?","","There sure are a lot of people here.
Do you come here often, Takane?"
"はい。この辺りは日本でも有数の、
美味なるらーめんのお店が数多集まる街ですから","","Yes, this area is one of the best in Japan,
It is a town where many delicious ramen restaurants gather.","","Yes. This area is one of the best in Japan,
and it's home to many delicious ramen shops!"
"そういえば……プロデューサーは、
海外生活中、らーめんを食されたりは……？","","Speaking of which, the ...... producer is,
Do you eat ramen while living abroad ......?","","Come to think of it... Did Producer eat
any ramen while he was living abroad?"
"えっ、海外研修先でのラーメン？
うーん、どうだったかな……","","What, ramen at an overseas training site?
Hmmm, I wonder how that went: ......","","Huh, ramen from overseas training?
Hmm, I'm not so sure..."
"現地のラーメンを
食べたぞ","","Local ramen noodles.
We ate.","","I ate some
local ramen."
"日本のラーメンを
食べたぞ","","Japanese Ramen.
We ate.","","I ate some
Japanese ramen."
"食べなかった","","I didn't eat.","","I didn't eat it."
"現地ならではのラーメンを食べたぞ。
日本のラーメンとは全く別物だが、美味しかったよ","","I had a bowl of ramen that could only be found in the area.
Very different from Japanese ramen, but it was delicious.","","I ate some ramen unique to the area.
It's completely different from Japanese ramen, but it was delicious."
"まぁ……その国に最も適したらーめん、
ということですね。とても興味深いです","","Well, ...... is the most suitable ramen for that country,
That's very interesting.","","Well, if it's the best choice for a country like that... I suppose you could say this is quite interesting. It
would make me want to try and find out what kind of noodles they have in common with other countries as well"
"現地展開している日本のラーメン屋さんに行ったな。
同じ味つけだから、なんだかホッとしたよ","","You went to a Japanese ramen restaurant that is expanding locally.
It's kind of a relief because it's the same flavor.","","I went to a japanese ramen shop that has local developments.
It's the same flavor, so I feel relieved."
"そうなのですね、海外でも日本のものが……。
やはり、母国の味は偉大ですね","","Yes, you can find Japanese ones overseas at .......
After all, the taste of one's homeland is great!","","That's true. Japanese ones, too...
As expected, the taste of home is great."
"ラーメン屋さんはたくさんあったけど、
機会に恵まれなくて、食べずじまいだったよ","","There were plenty of ramen shops, though,
I never got a chance to try it.","","There were a lot of ramen places, but
I didn't get many chances to eat them."
"なんと……！
それはもったいないことを……","","What a ......!
That's a waste of time ......","","Oh, my...!
That's such a waste..."
"とにかく、海外でもラーメンは人気だったぞ","","Anyway, ramen was popular overseas, too.","","Anyway, ramen was popular overseas too."
"なるほど。らーめんはやはり……世界にも通じる食、
というわけですね","","I see...ramen is still a food that can be found all over the ...... world,
that's why","","I see. So, semen really is a food that's
universally accepted in the world..."
"ああ。だから、貴音が海外で活動するようになっても
安心だぞ！　良かったな","","Yeah, so even though Takayoshi is now working overseas...
You're safe! Good for you.","","Yeah. That's why I can rest assured that you
will be working overseas! Isn't this great?"
"ふふっ、いずれそのような舞台に立つこと、
楽しみにしております","","Phew, to eventually be on such a stage,
Looking forward to it!","","Heheh, I look forward to seeing you
perform on that stage someday."
"（ん？　貴音がテレビを見ている。
声をかけてみよう……）","","(Hm??) The nobleman is watching TV.
(Let's talk to him: ......)","","(Hm? You're watching TV.
Let's try talking to her...)"
"貴音、何を見ているんだ？","","Noble, what are you looking at?","","Takane, what are you looking at?"
"９６１プロの方が特集されている番組です。
玲音も詩花も亜夜も……真、輝いております","","This program features 961 Pro.
Leon, Shika and Aya are all ...... true and shining!","","It's a feature on 961 Pro.
Leon, Shika and Aya... They're all shining brightly."
