"（伊織が雑誌を読んでいるみたいだ……。
声をかけてみよう）","","(It looks like Iori is reading a magazine. ......
(Let's call out to him.)","","(It looks like Iori's reading a magazine...
Let's try talking to her.)"
"伊織、何を読んでいるんだ？","","Iori, what are you reading?","","Iori, what are you reading?"
"ん、これ？　海外の情報雑誌よ。スーパーアイドルの
伊織ちゃんは、忙しくてロクに海外旅行も出来ないの","","Hmm, what's this? It's an international magazine about Super Idol.
Iori is too busy to travel overseas.","","Hm? This is an information magazine from overseas. Iori-chan's a super
idol, so she can hardly travel abroad because of her busy schedule!"
"だからせめて、
雑誌を見ながら旅行の想像しているのよ","","So at least,
I'm looking at a magazine and imagining the trip.","","So at the very least, I'm imagining a
trip while looking through magazines."
"そうだな、伊織も頑張ってるし、
どこか旅行に行けるといいな……","","Yes, Iori is doing his best,
Hope you can travel somewhere: ......","","Yeah, Iori's working hard. It would be nice
if we could go on a trip somewhere..."
"（伊織が海外旅行と言ったら……）","","(When Iori says international travel, he means ......)","","(If Iori says she's traveling abroad...)"
"ヨーロッパ","","Europe","","Europe"
"ハワイ","","Hawaii","","Hawaii"
"温泉","","hot spring","","Onsen"
"伊織は、ヨーロッパの街並みとか似合いそうだな！","","Iori would look good in a European cityscape or something!","","Iori would look great in a European town!"
"いい場所を選んだわね！　ふふ、ヨーロッパは、
超絶美少女伊織ちゃんにぴったりね♪","","You picked a great place! Hmmm, Europe,
Perfect for Iori, a super beautiful girl.","","What a wonderful place! Heheh, Europe is perfect
for Iori-chan the most beautiful girl.♪"
"芸能人と言ったら……ハワイか！","","When you say celebrity, you mean ...... Hawaii!","","Come to think of it... Hawaii!"
"たまにはハワイもよさそうね。子どもの頃は、
毎年行ってたけど……最近行ってないものね","","Hawaii sounds nice once in a while, when I was a kid,
I used to go every year, but I haven't been to ...... lately.","","Hawaii seems like a good place to visit once in while. I went there every year
when we were kids, but... it's not something that comes up recently either"
"遠出するほどの暇がないなら、
近場の温泉にでも入って、気分転換するのはどうかな","","If you don't have time to travel far,
How about a trip to a nearby hot spring for a change of pace?","","If you don't have the time to go somewhere far
away, why not take a dip in some nearby hot springs?"
"あのね、旅行に行きたいって話だったでしょ？
温泉というか、スパで気分転換は悪くない発想だけど","","You know, you told me you wanted to go on a trip, right?
A spa, or rather, a spa for a change of pace, is not a bad idea.","","You said you wanted to go on a trip, right?
It's not a hot spring, or rather I think it would be nice to have some fresh air at the spa instead of just going there for an afternoon bath"
"よし！　ルミナスが無事目標を達成したら、
みんなで慰安旅行に行こう！","","Okay, if Luminous successfully achieves its goal,
Let's go on a comfort trip together!","","All right! Once Luminous reaches her goal, let's
all go on a comforting trip together."
"あら、うちの事務所にそんな予算があるの？
でも、楽しみにしておくわね♪","","Oh, you have that kind of budget in our office?
But I'll look forward to it. ♪","","Oh, do we have that kind of budget in our office?
But I'm looking forward to it.♪"
"（伊織とふたりで、伊織中心のミニライブの
打ち合わせをしている……）","","(Iori and Iori together, Iori-centered mini live performance.
(......)","","(The two of us are holding a
mini-concert with Iori...)"
"よし、大体セットリストは決まったな。
他に決めておくことは……と","","Okay, I think we've got a rough set list.
Other things to decide are ...... and","","All right, we've got a set list.
There's nothing else to decide..."
"ねぇ、このスーパーアイドル伊織ちゃんが
もっと輝くアイディアって、ないのかしら？","","Hey, this super idol Iori...
I wonder if there's an idea that would shine brighter?","","Hey, don't you have any
bright ideas for Iori-chan?"
"もっと輝くアイディア……か。
勿論、歌以外でってことだよな？","","More shiny ideas ......?
You mean besides singing, of course?","","More brilliant ideas, huh?
Of course, it's something other than singing."
"もちろん！　せっかくだもの、
ファンが驚くようなことじゃなきゃ！","","Of course!
It has to be something that surprises the fans!","","Of course! It's a special occasion, so it has
to be something that surprises the fans."
"（ファンが驚くような演出のアイディア……か）","","(Fans will be amazed at the production ideas at ...... or)","","(An idea that'll surprise the fans, huh...)"
"ワイヤーアクション","","wire action","","Wire action"
"光り輝くステージ","","Luminous stage","","Glowing Stage"
"ステージからダイブ","","Dive from the stage","","Dive from the stage."
