"……ん？　律子じゃないか。
おはよう","","...... hmm? Isn't that Ritsuko?
Good morning.","","...Hm? If it isn't Ritsuko.
Good morning."
"おはようございます、プロデューサー","","Good morning, producer.","","Good morning, producer."
"プロデューサーは、
今日は朝一で事務所に出勤だったんですね","","Produced by,
You were at the office first thing this morning.","","Producer went to work
first thing in the morning, right?"
"まあな。このまま一緒に事務所に行こうか","","Well, let's go to the office together.","","I guess. Let's go to the office together"
"はい！","","Yes!","","Here!"
"そうだ、律子。
ルミナスはどうだ？","","Yes, Ritsuko.
How about Luminous?","","That's right, Ritsuko.
What about Luminous?"
"個性豊かなアイドルたちの、新たなユニット。
すごく興味深いっていうか、面白いじゃないですか","","A new unit of idols with rich personalities.
It's very interesting.","","A new unit of colorful idols.
It's really interesting. Or rather, fascinating!"
"これからアイドルみんなの間に、どんな
相乗効果が生まれるのか、楽しみです","","I am sure that from now on, all of our idols will be able to see what kind of
I look forward to seeing the synergy that will be created!","","I'm looking forward to seeing what kind of synergistic
effect this will have on all the idols."
"そうだな！
一緒に頑張っていこう、律子","","
Let's work together, Ritsuko.","","You're right!
Let's do our best together, Ritsuko."
"あ、プロデューサー。おはようございます。
今日は早いですね","","Good morning, producer.
You're early today.","","Good morning, producer.
You're early today."
"終わらせておきたい仕事があるからな。
そういう律子こそ、早いんじゃないか？","","I have some work I need to finish.
That's the kind of ritsu that's fast, isn't it?","","There's a job I want to finish.
Isn't it early for you too, Ritsuko?"
"ちょっと早く目が覚めちゃったんですよ","","I woke up a little early.","","I woke up a little early."
"家にいてダラダラするよりも、
事務所に行ってやることをやっちゃおうと思って","","Rather than staying home and lazing around,
I thought I'd go to the office and do what I have to do.","","Instead of just lazing around at home, I'm
going to do something for you in the office."
"ははっ、律子は真面目だな","","Haha, Ritsuko is so serious.","","Haha, Ritsuko's so serious."
"まあ、やっておけば後が楽なので。それより、
ルミナスの活動について相談があるんですけど……","","Well, it's easier if you do it,
I need to discuss with you about Luminous activities: ......","","Well, it'll be easier if we just do this. Anyways... I need
to talk about Luminous-related activities for a while now!"
"わかった。ルミナスの件は、事務所に着いてから
じっくり話そうか","","All right, I'll take care of Luminous when I get to the office.
Let's have a long talk.","","All right. Let's talk about Luminous once we get to the office, then I can tell
you everything that happened here at school later on in my day-to-day life"
"お疲れ様です、プロデューサー。
今、大丈夫ですか？","","Thanks for your help, producer.
Are you okay now?","","Good work, producer.
Is now a good time?"
"律子か。
大丈夫だけど、どうしたんだ？","","Ritsuko.
I'm fine. What's going on?","","Ritsuko, huh?
I'm fine, but what is it?"
"毎日私たちをプロデュースしてくれて、
ありがとうございます","","You produce us every day,","","Thank you for producing
us every day."
"どういたしまして。
……って、急にどうした？","","You're welcome.
What's up with ...... all of a sudden?","","You're welcome.
...Wait, what's this all of a sudden?"
"こういうことは、ちゃんと言葉にしておきたくて。
プロデューサーにはいつも感謝してますから","","I wanted to put these things into words.
I'm always grateful to my producers.","","I want to say this out loud.
I'm always grateful to Producer."
"これからもご指導、よろしくお願いしますね。
……一緒に頑張りましょう","","I look forward to your continued guidance and support.
...... Let's work together!","","I look forward to working with you in the future.
...Let's do our best together."
"ああ、任せてくれ。
一緒に最優秀ユニットを目指していこう","","Yeah, I'll take care of it.
Let's aim for the best unit together!","","Yeah, leave it to me.
Let's work together to be the best unit ever."
"おはようございます。
今日もプロデューサー殿の手腕を期待してますよ","","
I'm looking forward to seeing what you can do today, Mr. Producer.","","Good morning.
I'm looking forward to seeing what Producer can do today."
"あら、おはようございます。プロデューサー。
一緒に事務所に行きましょうか","","Oh, good morning, producer.
Shall we go to the office together?","","Oh, good morning. I'm Producer!
Shall we go to the office together?"
"お疲れ様です、プロデューサー。今日の疲れを
残さぬよう、しっかりと休んでくださいね","","Good job, producer...you've had a great day!
Please rest well so as not to leave any residue.","","Good work today, producer. Make sure you get plenty of rest so
that your fatigue doesn't linger on the day after tomorrow!"
"うんうん、今日のプロデューサーは残業なし！
効率的に仕事ができたって証拠ですね","","Yeah, yeah, no overtime for producers today!
It's proof that you were able to work efficiently.","","Yep! Today's producer is working overtime.
It's proof that you were able to work efficiently."
"今回の仕事は、アイドル生討論だな","","This time around, the job is a live idol debate.","","Our job is to debate idols."
"はい。きちんと理解はしてるつもりですが、
本番前に改めて、内容の確認をしてもいいですか？","","Yes, I think I have a good understanding of it,
May I check the content again before the show?","","Yes. I know exactly what you're thinking, but can we
go over the contents again before it starts for real?"
"ああ、構わないよ","","Yeah, no problem.","","Yeah, I don't mind."
"今回の企画ではアイドル同士が『旬な話題』を
持ち寄って、意見をぶつけ合う","","In this project, idols will talk about ""seasonal topics"" with each other.
Bring your ideas and opinions to each other.","","In this project, the idols will bring 『Seasonal
topics』 together and share their opinions."
"生討論なので、なんの話題を選ぶかが
重要になりますよね","","Since this is a live discussion, what topic you choose is
It's going to be important.","","Since it's a live debate, what
topic to choose is important."
"律子はどんな話題を考えてきたんだ？","","What kind of topics has Ritsuko come up with?","","What kind of topic did Ritsuko come up with?"
"それがいくつか用意したんですけど、迷ってて……。
意見を聞かせてもらってもいいですか？","","That's what I prepared some of them for, but I'm lost. ......
May I have your opinion?","","I prepared a few of them, but they weren't sure...
May I have your opinion?"
"もちろんだ","","Of course.","","Of course I do."
"ありがとうございます。
まずはアイドルの『マインドの確立』です","","
The first step is to ""establish the mindset"" of the idol.","","Thank you very much.
Let's start with 『The establishment of the mind』, the idol."
"マインドっていうのは、要はアイドルとして
どうあるべきかの話でしょう","","Mind is, in short, an idol.
It's about how it should be.","","The point of mind is to figure
out how you should be an idol."
"後、『セルフプロデュース術』。私らしいと思って。
それから『効率のいいレッスン方法』に……","","And ""The Art of Self-Production,"" which I thought was very me.
Then to 'Efficient Lesson Methods': ......","","Also, 『Self-production』. I thought it was just like me to say that...
Then 『Inefficient Lessons』..."
"『アイドル後のビジョン』。アイドルの
さらにその先で、なにをしたいのか、ですね","","A Vision After Idol.""
What do you want to do beyond that?","","『Idol's Post-Idle Vision』. What
do you want to be after the idol?"
"なるほど、よく考えられているな。
さすがは律子だ","","Well, that's well thought out.
That's Ritsuko for you.","","I see. That's a very well thought out way to put it...
That's Ritsuko for you."
"その中で選ぶとしたら、そうだな……","","If I had to choose one of them, I would say yes. ......","","If I had to choose among them, let's see..."
"セルフ
プロデュース術","","self
producing technique","","Self-production"
"効率のいい
レッスン法","","efficient
Lesson method","","
High-efficiency lesson plan."
"アイドルの
マインド確立","","Idol.
mindset establishment","","Idol mind is
established."
"アイドル後の
ビジョン","","After Idol
vision","","A vision
after an idol."
"セルフプロデュース術でいこうか。律子らしい話題
だし、周りも意見を出しやすくて盛り上がりそうだ","","Let's go with self-production techniques, a Ritsuko-like topic.
And it's easy for people around you to give their opinions and it's going to be a lot of fun.","","Let's use self-produce techniques. It sounds like something Ritsuko would say, so it
should be easy for the others to give their opinions and get excited about this too!"
"確かにそうですね！　わかりました。
今まで培った経験を、思う存分話してきますね！","","Yes, that's true, I understand.
I'm going to talk as much as I can about the experience I've gained so far!","","That's a good point! I understand.
I'm going to tell you all about the experiences we have up until now!"
"え～！　自分でスケジュールとかも
管理するんですか？　大変そう……！","","I'll do my own schedule and stuff.
Are you going to manage it? Sounds like a lot of work. ......","","Whaaat?! You're going to manage your own schedule,
too... That sounds like a lot of work."
"そういう側面もありますが、今回は自分自身を
演出する方法についても話したいです。たとえば……","","That's one aspect of it, but this time I'm going to make myself
I'd also like to talk about how to direct, for example: ......","","That's part of it, but this time I want to talk
about how we can direct ourselves. For example..."
"ふぅん……律子さんの話を聞いてたら、興味が
出てきたかも。私が意識してやってるのは～……","","Hmmm ...... I'm interested to hear what Ritsuko has to say.
Maybe it's coming up...I'm doing it consciously ~......","","Hmmm... I think listening to Ritsuko-san might have
piqued my interest. The one who's doing it consciously is"
