"プロデューサー！　おっはよ★
いい朝だねー♪","","Producer!
Nice morning...........................","","Good morning, producer.★
What a nice morning.♪"
"おはよう、美嘉。
なんだ、ご機嫌じゃないか","","Good morning, Mika.
What a good mood you're in!","","Good morning, Mika.
Well, aren't you in a good mood."
"まあね。ルミナスの活動があるし
張り切っていかなきゃ！","","Oh well, there's always the Luminous activity.
I have to stick it out!","","Yeah. We've got Luminous to take
care of, so we should get fired up!"
"そうか、ありがたいよ。
美嘉から見て、ルミナスはどうだ？","","Well, I appreciate that.
From Mika's point of view, what about Luminous?","","I see. That's very kind of you to say!
From Mika's point of view, what about Luminous?"
"すっごく刺激的★　みんなと一緒に笑って頑張って、
サイッコーに楽しいよ♪","","Very exciting★ Laughing and working hard with everyone,
It's a lot of fun!","","It's so exciting! ★ I want to laugh with everyone and do my
best. This will be the most fun we have ever all day long!!♪"
"それなら良かった。
じゃあ、今日も１日頑張っていこう！","","Good then.
Well then, let's go on with our day!","","That's good, then.
Then let's do our best today!"
"うん！
今日もよろしくね、プロデューサー！","","
Have a great day, producer!","","Yeah!
I'm looking forward to working with you again today, producer!"
"あそこにいるのは、美嘉かな？
おーい、美嘉！","","Is that Mika over there?
Hey, Mika!","","Is that Mika over there?
Hey, Mika!"
"あっ、プロデューサーじゃん！　おはよっ！
調子はどう？","","Oh, it's Producer!
How are you doing?","","Hey, you're Producer! Good morning.
How's it going?"
"おはよう。俺は絶好調だぞ。
美嘉はどうなんだ？　元気にやれてるか？","","Good morning, I'm doing great.
How's Mika doing? How's she doing?","","Good morning. I'm in tip-top shape right now!
What about you, Mika? How are things going for ya today."
"あはは、アタシも超元気だよ♪
あ、そうだ、プロデューサーにお願いがあったんだ","","Haha, I'm super healthy too!
Oh, yeah, I had a favor to ask of my producer.","","Haha, I'm doing great too.♪
Oh, right. I have a favor to ask of Producer..."
"今度、プロデューサーの意見も聞きたいから、
買い物に付き合ってほしいんだけど、どうかな？","","I'd like to hear what Producer has to say next time,
I need you to take me shopping.","","I'd like to ask Producer for his opinion next
time, so could you come shopping with me?"
"ああ、俺で良ければ付き合うよ","","Yeah, I'll go out with you if you want me to.","","Yeah, if you're okay with it."
"やった！　約束ねっ★
よーし、今日も頑張っちゃうからね♪","","Yay! Promise!
Okay, I'll do my best again today.","","Yay! Promise?★
All right, I'll do my best today.♪"
"あはは、俺も負けずに頑張らないとな。
それじゃ事務所に行こうか","","Haha, I've got to keep up too.
Let's go to the office then.","","Haha, I'll have to do my best too.
Well, let's go to the office."
"お疲れ、プロデューサー。
まだ仕事中？　終わったらちょっと話せるかな？","","
Are you still at work? Can I talk to you for a minute when you're done?","","Good work, producer.
Are you still at work? Can we talk once I'm done here."
"美嘉、お疲れ様。今ちょうど終わったところだよ。
どうかしたのか？","","Mika, thanks for your hard work, we are just finishing up now.
What's wrong?","","Good work, Mika. We're just finishing up here now!
What's the matter?"
"えーっと……。プロデューサー、いつも一生懸命
プロデュースしてくれて……ありがとね","","Let's see, ....... Producers, always hard at work!
Thanks ...... for producing it!","","Um... Thanks for always putting so much effort into
producing this, producer. That's really sweet of you to say"
