"菜々じゃないか、おはよう","","Good morning, Nana, isn't it?","","Good morning, Nana."
"プロデューサーさんっ！
おはようございまーす！","","Hey, producer!
Good morning!","","Mr. Producer!
Good morniiing!"
"今日も元気だな。
その様子だと、ルミナスの活動も順調そうだな","","You're looking good today.
From the looks of it, the Luminous activity seems to be going well.","","She's as lively today.
Sounds like Luminous' activities are going well."
"はい～！　他の事務所の子たちと活動できて、
すっごく楽しいですよっ♪","","Yes~! I was able to work with kids from other offices,
It's so much fun!","","Yeah! I'm having so much fun working with
the girls from my other offices, too.♪"
"それならよかった。
何か心配ごとはないか？","","Good then.
Any concerns?","","That's good, then.
Is there anything you're worried about?"
"うーん。若くて元気な子が多いので、ナナも負け
ないように頑張らないと！　ってくらいでしょうか！","","Hmmm...so many young and energetic girls, Nana loses out too!
I'll have to do my best to keep it that way!","","Hmm. There are a lot of young and
energetic girls, so Nana has to do her best too!"
"菜々も十分、若いと思うけど……。
とりあえず、これからも一緒に頑張っていこうな！","","Nana is young enough, I think. ......
In the meantime, let's keep working together!","","I think Nana's pretty young herself...
Anyway, let's do our best together from now on!"
"ピピッ！　ウサミン星の電波が
プロデューサーさんをキャーッチ！","","Beep! The radio signal from the planet Usamin.
Catch Producer!","","Beep, beeek! The radio waves from the planet
Usamin are caaacking our producer."
"おわっ！　びっくりした……。
菜々か、おはよう","","Wow! I was surprised. ......
Nanaka, good morning.","","Whoa! You scared me...
Nana, huh? Good morning."
"おはようございます、プロデューサーさん♪
こんなところで会えるなんてラッキーですね～！","","Good morning, Mr. Producer. ♪
We are so lucky to see you here!","","Good morning, producer.♪
I'm so lucky to see you here!"
"ん？　どういうことだ？","","What do you mean?","","Hm? What do you mean?"
"ウサミン星占いでは、ナナとプロデューサーさんは
一緒に事務所に行くが吉！　と出ていますから♪","","According to the Usamin horoscope, Nana and Producer are
It's a good thing we're going to the office together, because it's going to be a good thing.","","According to Usamin's horoscope, Nana
and Producer would go together.♪"
"なるほど。それじゃあ、事務所まで一緒に行こうか","","I see...well then, let's go to the office together.","","I see. Then let's go to the office together, shall we?"
