"（休憩中の果穂に声をかけてみよう……）","","(Let's talk to Kaho during a break: ......)","","(Let's try talking to Kaho, who is taking a break...)"
"果穂、プロジェクトルミナスはどうだ？
仲良くなりたいメンバーとか、いたりするか？","","Kaho, how about Project Luminous?
Are there any members you would like to be friends with?","","Kaho, how's Project Luminous?
Do you have any members who want to be friends?"
"みなさんと仲良くなりたいです！
でも、スッゴく仲良くなりたい人がふたりいます！","","I would like to get to know you all!
But there are two people I want to get to know very well!","","I want to be friends with everyone!
But there are two people I really want to be friends with!"
"お、ふたりいるのか。
誰と誰なんだ？","","Oh, there are two of you?
With whom and who?","","Oh, there's two of them.
Who is it and who isn't?"
"春香さんと未来さんですっ！
なんだか、レッドみたいだなって思って……！","","It's Haruka and Mirai!
I thought it was kind of like Red, so I went to ......!","","It's Haruka-san and Future san!
I was just thinking that it's kind of like red!"
"春香と未来か。
そうだな、あのふたりの共通点は……","","Haruka and the future?
Yes, those two have a lot in common: ......","","Haruka and the future, huh?
That's right, what they have in common..."
"明るくて前向き","","Upbeat and positive","","Bright and positive."
"髪飾り","","hair ornaments","","Hair clip"
"ドジなところ","","clumsy spot","","The clumsy part."
"明るくて前向きで、どんな時にでも諦めない。
そんなところが、レッドな感じだよな","","He is cheerful, positive and never gives up at any time.
That's kind of a red herring, isn't it?","","She's bright, optimistic and never gives up.
That's the red part."
"はいっ！
スッゴくカッコよくて、あこがれます！","","
It's so cool and I admire it!","","Yes!
He's so cool, I can hardly wait to see him!"
"髪飾りかな……。
ふたりとも赤系の髪飾りをしているよな","","Maybe a hair ornament. ......
You both have red hair ornaments.","","Is it a hair clip...?
You two have red hair ornaments."
"……あっ！　本当ですっ！
それに、明るいところもレッドみたいですー！","","...... Oh, it's true!
And the bright spots are like red too!","","...Ah! You're right.
And it's red in the brightest places, too!"
"ちょっと、ドジなところかな……？
愛されるヒーローらしいっていうか","","A little bit of a doozy, maybe ......?
It's like a beloved hero.","","Maybe I'm a little clumsy...?
I guess you could say he's a beloved hero."
"確かに、みんなに好かれるところが似てます……！
あたしは、明るいところがレッドだなって思います！","","Indeed, we are similar in that everyone likes each other. ......
I think the bright side is Red!","","You're right. They do seem to like you a lot!
I think the bright side is red!"
"そうだな……でも一番は、
アイドルへの情熱が強いってところかもな","","Yes, the best at ......,
Or maybe it's just that he's passionate about his idols.","","That's true... But the biggest reason might be
that he has a strong passion for being an idol."
