"……お、あれは……甘奈じゃないか？
おはよう、甘奈","","......Oh, isn't that ...... Amana?
Good morning, Amana.","","...I-Isn't that... Amana?
Good morning, Amana.",""
"あ、プロデューサーさん！
おはようございまーすっ☆","","Oh, Mr. Producer!
Good morning!","","Oh, it's Producer!
Good morning!☆",""
"甘奈は朝でも元気だな。
ルミナスのみんなとはどうだ？","","Amana is still going strong in the morning.
How's it going with everyone at Luminous?","","Amana's full of energy even in the morning.
How's it going with the rest of Luminous?",""
"えへへ、素敵な人がいっぱい☆
みんなと仲良くしたいなっ！","","Ehehe, so many nice people☆.
I want to get along with everyone!","","Hehe, there's so many wonderful people.☆
I want to be friends with everyone!",""
"オシャレな子もたくさんいるし、
いっぱいお話しするぞ～！","","There are a lot of fashionable kids,
I will talk a lot!","","There's so many stylish girls out
there, I wanna talk to them all!",""
"そうか、甘奈ならすぐ仲良くなれるさ。
それじゃあ、一緒に事務所に行こうか","","Oh well, Amana will get along soon enough.
Well, then, let's go to the office together.","","I see. You'll be able to get along with her in no time flat, Amana!
Well then, let's go to the office together.",""
"うん！　あ、途中でコンビニに寄ってもいいかな？
甜花ちゃんが好きなお菓子の、限定版が出てるんだ","","Oh, can we stop at a convenience store on the way?
There's a limited edition version of Tetuka's favorite candy.","","Yeah! Oh, can we stop by a convenience store on the way there?
There's a limited edition of your favorite sweets, Tenka.",""
"ああ、構わないよ。
まだ時間に余裕はあるしな、ゆっくり行こう","","Yeah, that's fine.
We still have plenty of time. Let's take our time.","","Sure, I don't mind.
We still have time. Let's take it slow, okay?",""
"あっ！　プロデューサーさんだ！
おはよーございまーす！","","Ah! It's Producer!
Good morning!","","Hey, it's Producer!
Good morniiing!",""
"おお、甘奈。おはよう。
甘奈もこれから事務所に向かうところなのか？","","Good morning, Amana.
Is Amana on her way to the office now too?","","Good morning, Amana.
Are you heading to the office now, too?",""
"うん！　えへへ、行きがけにプロデューサーさんに
会うなんて、今日はいいことがあるかも！","","Yeah! Ehehehe, I asked Producer on the way there.
I can't believe we're meeting. Maybe today will be a good day!","","Yep! Heeheee, I'm so excited to run
into Producer on my way here.",""
"いいことがあるかどうかはわからないが、
せっかくだし、一緒に事務所に行こうか","","I don't know if it's a good thing,
Since we're here, let's go to the office together.","","I don't know if anything good will come
of it, but since we have the chance...",""
"もち！　よーし、今日も一日頑張っちゃうから☆
見ててね、プロデューサーさんっ！","","Mochi! All right, I'm going to work hard all day long!
Watch me, producer!","","Of course! All right, I'll do my best today.☆
Just you watch, producer!",""
