"（今日は遊園地で、
詩花のパレードイベントを手伝うことになった）","","(Today at the amusement park,
(I was assigned to help with the poetry flower parade event.)","","(Today, we're going to help out with
Shika at the amusement park.)",""
"プロデューサーさん。
今日はありがとうございます！","","Producer.
Thank you for your time today!","","Mr. Producer.
Thank you very much for today!",""
"こちらこそ、勉強させてもらうよ。
それにしても、パレードイベントなんてめずらしいな","","I'm learning from you, too.
Still, a parade event is a rare occurrence.","","I'll be studying, too.
Still, parade events are rare.",""
"ふふっ、実はこの前のパレードを見て、
思いついたんです","","Phew, actually, look at the parade the other day,
I had an idea.","","Heheh, I had an idea
after seeing the parade.",""
"遊園地のパレードって、
とっても華やかで、賑やかで楽しいですよね！","","What is an amusement park parade?
It's very festive, lively and fun!","","The parade at the amusement park
is so gorgeous, it's really fun!",""
"だから、その楽しさを……。より多くの人に
知ってもらいたいなって思ったんです！","","So let's bring that fun to more people at .......
I wanted people to know about it!","","That's why I want more
people to know how fun it is!",""
"……なるほどな。
詩花らしい、素敵なイベントだと思うぞ！","","...... I see.
I think it's a great event, very poetic, very flowery!","","......I see.
It's just like Shika to have such a wonderful event!",""
"ありがとうございます！　……あ、ひとつ
相談したいことがあるんですけど、いいですか？","","Thank you! ...... Oh, one thing!
Can I talk to you about something?","","Thank you so much! ...Ah, there's something
I want to talk about. Is that okay?",""
"ああ。俺ができる範囲で相談に乗るぞ。
それで、どういう内容なんだ？","","Yeah, I'll consult with you to the best of my ability.
So what's the story?","","Yeah. I'll do everything in my power to help you out, too!
So, what's the story?",""
"はい。実は、イベントの途中で、
私が色々な格好をする企画があるんですが","","Yes, actually, in the middle of the event,
I have a project where I dress up in different ways.","","Yes. Actually, there's a plan where I have to dress
up in various clothes while the event is going on",""
"その企画で、どんなテーマの
衣装にすればいいか、決めかねてて","","What kind of theme is being used in that project?
I couldn't decide what costume to wear.","","I wasn't sure what kind of
costume to wear for the project.",""
"スタッフのみなさんとも相談して、
天使と悪魔のどちらかまでは絞ったんですけど……","","Talk to the staff as well,
I've narrowed it down to either angels or demons. ......","","I talked it over with the staff, and we
narrowed down which one was Angel or Devil...",""
"それで俺に意見を聞きたいってわけか。
天使と悪魔、両極端なテーマだけど……","","So you want my opinion.
Angels and demons, a theme of extremes. ......","","So that's why you want to hear my opinion.
Angel and devil, both extreme themes...","So that's why you want to ask me for my opinion.
Angels and demons are both extreme themes, but.."
"天使な詩花","","angelic poet flower","","Angelic Shika",""
"悪魔な詩花","","The Devil's Flowers of Poetry","","Demon Shika",""
"天使がいいと思うぞ。詩花にピッタリだ","","I think an angel would be nice, perfect for the poet flower.","","I think an angel would be a good fit for Shika.",""
"ありがとうございます。
よければ、理由を教えてもらってもいいですか？","","
If you don't mind, may I ask you to tell me why?","","Thank you very much.
If you don't mind, could I ask why?",""
"詩花は、多くの人にこのイベントを
楽しんでもらいたいんだよな？","","Poetic Flowers has been working to make this event a success for many people.
You want them to have fun, right?","","You want lots of people to
enjoy this event, right?",""
