"あっ、プロデューサー！
お疲れ様でーっす！","","Oh, producer!
Thank you for your hard work!","","Oh, hey, producer!
Thanks for your hard work!"
"お、やよいか。お疲れ","","Oh, yayoi, good job.","","Oh, listen. Good work today"
"事務所でプロデューサーに会えるなんて、
なんだかすっごくうれしいですっ！","","I can't believe I got to meet Producer at the office,
I am very happy!","","I'm so happy to see the
producer in the office!"
"やよいはいつも元気だな。
ん？　その荷物、どこかに出かけていたのか？","","Yayoi is always in good spirits.
Hm? That luggage, were you out somewhere?","","Yayoi is always full of energy.
Hm? Did you go out somewhere with that luggage?"
"はいっ！　律子さんに頼まれて、
お買い物に行ってきたんです","","Yes! Ritsuko-san asked me to do it,
We went shopping.","","Yes! Ritsuko-san
asked me to go shopping."
"たくさん買うものがあったので、
少しでも安いお店がいいかなーって","","I had a lot of things to buy,
I was just wondering if I could find a place that was a little cheaper.","","I had a lot to buy, so I thought
I'd go to a cheaper store."
"私が知ってる、一番安いお店で
買ってきましたー！","","The cheapest store I know of.
I bought it!","","I bought it from the
cheapest store I know!"
"そうか、やよいは頼もしいな","","Well, yayo is dependable.","","I see. Yayoi is reliable"
"あっ、ちゃんと領収書ももらいましたよ！
もちろん、事務所の名前ですっ！","","Oh, and I did get a receipt!
Of course, it is the name of the office!","","Ah, I got the receipt!
The name of the office, of course!"
"さすがやよい、抜かりがないな。
これからも、よろしく頼むよ","","As expected of Yayoi, you are very thorough.
Keep up the good work.","","That's the spirit. You never miss a beat.
I'll be counting on you from now on."
"はいっ！
こちらこそ、よろしくお願いしまーすっ！","","
It's nice to meet you, too!","","Yes!
I'm looking forward to working with you, too!"
"えへへ、久しぶりに
褒められちゃいました～♪","","Ehehe, it's been a while.
I got a compliment~♪","","Heehee. It's been a while since
I've been complimented like that. ♪"
"相変わらずしっかり者で頑張り屋のやよいに、
俺からご褒美……ってほどじゃないけど……","","To Yayoi, who is as firm and hardworking as ever,
Not so much a reward from me ...... but ......","","You're as reliable and hard-working as ever,
so I'm not exactly giving you a reward, but"
"頭を撫でる","","stroke a person's head","","Pat her head"
"手をタッチ","","Touch Hands","","Touch your hand."
"その他（タッチ）","","Other (touch)","","Other (touch)"
"反応箇所以外・時間切れ","","Outside of the reaction area, out of time","","Time's up. Except for the area of effect."
