"（改めて雪歩に挨拶をしようと、
事務所に来てみたが……）","","(I tried to greet the snowflakes again,
I came to your office (......).","","(I came to the office to
say hi to Yukiho, but...)"
"……あれ？　雪歩、
今日は事務所にいるかと思ったんだけど……","","...... Huh? Snowflake,
I thought you might be in the office today: ......","","...Huh? Yukiho, I thought you
were at the office today..."
"ぷ、プロデューサー。
お、おひさしぶりです……","","Psst, producer.
Oh, it's been a while: ......","","P-Producer.
I-It's been a while..."
"……ああ、雪歩","","...... Oh, snowflakes!","","...Yeah, Yukiho."
"こうやって、面と向かって
ふたりで話すのは久しぶりだ","","Like this, face to face.
It's been a long time since the two of us talked.","","It's been a while since we've
spoken face-to-face like this."
"……そこに隠れているのは雪歩か？
少し話をしたいんだ、どうかな？","","...... Is that a snowflake hiding in there?
I'd like to talk to you for a minute, if that's okay.","","...Is that Yukiwalker hiding over there?
I'd like to talk to you for a moment, if you don't mind."
"えっ……あ、はい。そ、そうですね……","","What? ...... Oh, yes, that's right. ......","","Huh...? Oh, yes. Y-You're right..."
"プロジェクトルミナスについて、雪歩に改めて
感想を聞こうと思ってな……。調子はどうだ？","","Reiterate to snowflake about Project Luminous.
Thought I'd ask what you thought of ....... How's it going?","","I thought I'd ask Yukiho about
Project Luminous again. How's it going?"
"あ、はい……。７６５プロのみんなとは、
あいかわらずって感じで、毎日を過ごしています","","Ah, yes, ....... With all the 765 Pro,
I'm spending my days as usual.","","Ah, yes... I'm living my daily life
with all 765 Pro."
"他の事務所の子も……。優しそうな子ばっかり
なので、一緒に仲良くやっていけると思いますぅ","","The other kids in the office are also ....... They all seem nice.
So I think we can get along well together.","","The girls from the other agencies are all
pretty nice, so I think we can get along just fine"
"そうか。雪歩がそう言うのなら、
問題なさそうだな……","","Well, if snowflakes say so,
Looks fine to me: ......","","I see. If Yukiho says so, then it
looks like there's no problem..."
"それと、ひとつ聞きたいんだけど……","","And I have one question: ......","","Also, there's something I want to ask you..."
"は、はい……なんでしょうか？","","is yes ......?","","Y-Yes... What is it?"
"……なんで、
こんなに離れて話さないといけないんだ？","","Because ......,
Do we have to talk this far apart?","","...Why do we have to
talk so far apart?"
"そ、それは……","","Well, that's ......","","Th-That's..."
"プロデューサーとふたりっきりで、
話をするの、久しぶりだから……","","Alone with Producer,
It's been a long time since we've talked. ......","","It's been a while since I've talked
to Producer alone..."
"ひ、ひさしぶりで緊張してしまって……。
うぅ……ごめんなさい","","Hi, it's been a while and I'm so nervous. ......
Ugh ...... sorry!","","I-It's been a while since I've been this nervous...
Ugh... I'm sorry"
"なるほど。男の人への苦手意識が、
また出てきちゃったってことか","","I see...my dislike of men,
So it's just popped up again.","","I see. So you're starting to feel
uncomfortable around men again."
"は、はい……。すみません……","","Ha, yes ....... sorry ......","","Y-Yes... I'm sorry..."
"海外に行く前は、
もうちょっと馴染んでくれてたけど……","","Before going abroad,
They were a little more familiar with it, but ......","","Before I went overseas, I used to
be a little more used to it..."
"でも、ずいぶん顔を合わせていなかったからな……。
雪歩が緊張するのもわかるよ","","But we haven't seen each other in a long time. ......
I can understand why you're nervous, snowflake.","","But I haven't seen her in a while...
I can understand why you're nervous."
"あ、あの……。う、うぅ……","","Oh, um, ....... Uh, ugh ......","","U-Um... U-Ugh..."
"せっかく、プロデューサーが帰ってきたのに、
私はダメダメのままで……迷惑をかけちゃって","","But then, Producer came back,
I've been a no-go and a ...... nuisance.","","Producer finally came back, but I'm still
a failure... I've caused you a lot of trouble."
"そんな謝らなくてもいいぞ。ゆっくりでいいから、
前と同じような関係に戻っていこうか","","No need to apologize so much, just take your time,
Shall we go back to the same kind of relationship we had before?","","You don't have to apologize like that. Take your
time. Let's go back to our previous relationship."
"ぷ、プロデューサー……！","","P. Producer ......!","","P-Producer...!"
"ど、どうしたんだ雪歩、急に近寄ってきて。
そんな無理をしなくたっていいんだぞ？","","What's the matter, Snowy, you suddenly came up to me.
You don't have to take it so hard, okay?","","Wh-What's wrong, Yukiho? Why'd you come up to me all of a sudden?
You don't have to force yourself, you know."
"い、いえ。今のプロデューサーの笑顔を見たら、
昔のことを思い出して……","","No, no, if you see the smile on Producer's face right now,
Remember the old days: ......","","N-No, it's just that seeing Producer's
smile reminds me of the past..."
"緊張しなくても、いいんだなって思えたんですぅ。
プロデューサー、あまり変わっていない気がして……","","I felt like I didn't need to be nervous.
Producer, I don't think much has changed. ......","","I didn't think there was any need to be nervous.
I feel like Producer hasn't changed much..."
"なんだか俺が成長していないように聞こえるが……。
とりあえず、緊張がほぐれたようでなによりだ","","It kind of sounds like I'm not growing up. ......
At any rate, I'm glad you're feeling more relaxed.","","It almost sounds like I haven't matured at all...
Anyway, I'm glad that the tension seems to have eased."
"は、はい……プロデューサー。
これからもよろしくお願いしますぅ！","","Ha, yes ...... producer.
Thank you for your continued support!","","O-Okay... I'm Producer.
I'm looking forward to working with you from now on!"
"（……とはいっても、まだ緊張しているみたいだな。
もう少しリラックスさせてあげるには……）","","(...... but you still seem nervous.
(To help you relax a little more: ......)","","(...But it looks like she's still nervous.
(To help her relax a bit more...)"
"ああ、雪歩。こちらこそ……","","Oh, snowflake, it's my pleasure ......","","Yes, Yukiho. Likewise..."
"ゆっくり
やっていこう","","slowly
children's game in which three or more stand back-to-back in a circle and jostle","","Let's take
it slow."
"よろしくなっ！！！","","Nice to meet you!","","Nice to meet you!!!"
"わっ！！！","","WOW!","","Wah!!!"
"ゆっくりやっていこう","","Let's take it slow.","","Let's take it slow."
"あの……ゆっくり、でいいんですか？","","Um, ...... slowly, is that okay?","","Um... Is it okay if I take my time"
"ああ。雪歩のペースでしっかりと進んでいこう。
その方が雪歩らしいからな","","Yeah, let's keep going at a steady pace with the snowflakes.
That's more like a snowflake.","","Yeah. Let's keep up the pace.
That's more like Yukiho."
"はい……！　プロデューサーの期待に
答えられるように、頑張りますぅ","","Yes ......! To Producer's expectations
I'll do my best to answer.","","Yes...! I'll do my best to live up
to Producer's expectations."
"ひえっ……！　ぷ、プロデューサー！
き、急に大きな声を出さないでください～","","Heehee ......! Phew, producer!
Please don't make sudden loud noises.","","Eek! P-Producer!
P-Please don't shout so loudly all of a sudden!"
"ご、ごめん。つい、気合が入りすぎて……","","Sorry, I just got too worked up: ......","","I-I'm sorry. I got too fired up..."
"だ、大丈夫です……。
ちょっと、ビックリしただけですから","","It's okay, it's okay. ......
I was just a little surprised, that's all.","","I-I'm fine...
I was just a little surprised."
"ひええっ……！　ど、ど、どうしたんですか……！
な、なにが起きたんですか～～～！","","Heehee, ......! What's wrong with ......?
Hey, what happened~~?","","Eek! Wh-Wh-What's wrong?!
Wh-What just happened?!"
"いや、雪歩がまだ緊張してそうだったから、
驚かして肩の力を抜いてあげようと思ったんだが……","","No, the snowflake still looked nervous,
I thought I'd surprise you and give you a shoulder to lean on: ......","","Well, Yukiho still looked nervous, so I
thought I'd give him a moment to relax."
"ううっ、本当ですか、プロデューサー……。
もしかして、私を驚かせて、楽しんでいませんか？","","Ugh, really? Producer .......
Perhaps you enjoy surprising me?","","Ugh, is that true, producer...?
Are you having fun surprising me?"
"ごめんごめん、
そこまで驚かせるつもりはなかったんだ","","Sorry, sorry,
I didn't mean to surprise you that much.","","Sorry, sorry. I didn't
mean to scare you like that."
"とにかく、これからも一緒に頑張っていこうな","","Anyway, let's keep working together.","","Anyway, let's do our best together from now on."
"はい、よろしくお願いしますぅ","","Yes, thank you very much.","","Okay. I'm counting on you"
"（雪歩の近況を聞くため、
事務所で簡単な打ち合わせをすることにした）","","(To ask what's going on with snowflakes,
(We decided to have a brief meeting in my office.)","","(I've decided to have a simple meeting at the office
to ask about recent events with Yukiho.)"
"俺がいなかった間、雪歩やみんなが
どんな活動をしていたか、調べてみたんだけど……","","While I was gone, snowflakes and everyone else.
I've been trying to find out what kind of activities you've been doing: ......","","When I wasn't around, I looked into what kind of
activities Yukiho and the others were doing."
"雪歩も人気アイドルにふさわしい、
活動と結果を残してきたらしいじゃないか","","Snowflake also deserves to be a popular idol,
I hear you've had some success with your activities and results.","","You're a popular idol, Yukiho. I hear you've
achieved great things in the past few days."
"そ、そんな……。そこまで褒めて
もらえるようなことは、できてないかもですけど……","","Oh, no. ....... That's such a compliment.
I may not be able to do anything to get it for you, but ......","","N-No way... I don't think I've done
anything to deserve your praise..."
"７６５プロのみんなと一緒にライブをしたり、
ＴＶのバラエティ番組に出たりしてました","","I also perform live with everyone from 765 Pro,
I was on TV variety shows.","","I used to live with all 765 Pro
and appear on TV variety shows."
"なるほど、順調にアイドル活動をしていたみたいだな","","I see. It sounds like you've been idolizing well.","","I see. Sounds like your idol activities were going well."
"は、はい。プロデューサーが戻ってきたときに
心配をかけないようにって、みんなで頑張りました！","","Ha, yes, when Producer returns.
We all tried our best not to worry!","","Y-Yeah. We all did our best not to worry
Producer when he came back!"
"あっ、そういえば……プロデューサー。
私が今、取り組んでいる活動があるんですけど","","Oh, by the way, ...... producer.
There's an activity I'm working on right now.","","Oh, by the way... I'm Producer.
I'm working on something right now."
"お、どんな活動なんだ？","","Oh, what kind of activities?","","Oh, what kind of activities?"
"えっとですね……。
実は、雑誌のコラムを連載しているんです！","","Let's see. .......
Actually, I write a series of columns for a magazine!","","Let's see...
Actually, I'm serializing a magazine column!"
"へ～、ＳＮＳやブログじゃなくて、
紙媒体っていうのが、面白みがあるな","","Heh, not social networking or blogging,
Paper media is a fun way to do it.","","Wow, it's interesting that it's not social
media or blogs, but paper media."
"はいっ、私もそう思います♪
『天使の小部屋』っていうタイトルなんですよ","","Yes, I think so too... ♪
It's called ""The Angel's Little Room.","","Yes, I think so too♪
『Angel's Small Room』That's the title."
"天使の小部屋……。
うん、雪歩っぽくて良いと思うぞ","","Angel's Small Room. .......
Yeah, I think it's snowflakey.","","Angel's small room...
Yeah, I think it's good that you're like Yukiwalker."
"はいっ！　そんなに大きなお仕事じゃないですけど、
とってもやりがいがあるんです！","","Yes! It's not that big of a job,
It's very rewarding!","","Yes! It's not a very big job,
but it's very rewarding!"
