"この気配……くんくん。
ふむ、これは亜美刑事の出番だね……！？","","This sign ...... kun kun.
Hmmm, this is where Detective Ami comes in: ......!","","This presence... *sniff* *sniff*
Hmm, it's Detective Ami's turn...!?"
"美少女双子ポリス、亜美の参上だー！
亜美はこの気配を知ってるぞー！","","Here come the beautiful twin police, Ami!
Ami knows this sign!","","The beautiful twin police, Ami, is here!
Ami knows this presence!"
"ついにアメリカから帰ってきた男！
あれは誰だ誰だ誰なんだー！　それはー？","","The man finally returned from the US!
Who is that? Who is that? Who is that?","","The man who finally came back from america!
Who's that? Who's that? Who's that?"
"兄ちゃんだー！！","","It's my brother!","","It's Onii-chan!!"
"亜美、相変わらず元気だな","","Ami, you're still as energetic as ever.","","Ami, you're as energetic as ever."
"んっふっふ～♪　兄ちゃんおかえりー！
あ、アメリカ帰りだから英語のほうがいいかな？","","Mmmmmmm~♪ Welcome back, brother!
Oh, I'm back from America, so English is better?","","Hehehe~ Welcome back, Onii-chan!
Oh, I'm on my way back from America, so maybe English would be better?"
"グッモーニーン！　オナカペコリーナ☆
ニーハオ、ソンデモッテ、コンニーチハ！","","Gummonine! Gummonine! Gummonine! Gummonine!
Ni hao, sonde motte, con nichiwa!","","Gummoneen! Onakapekorina☆
Nihao, Sondemotte, Konneeciha!"
"なんか色々混ざっているけど……。
とりあえず歓迎してくれているってことでいいのか？","","It's kind of a mixed bag, but you can find it at .......
So you're saying they're welcoming us for now?","","There's a lot of stuff mixed in...
Is it okay to assume that she's welcoming me?"
"もっちろん！
カンゲイ以外のなにものでもないっしょ！","","Of course!
It's nothing but kangagei!","","Of course!
It's nothing more than an empty shell!"
"ところで兄ちゃん、
ビッグでドリーミンなアメリカン生活はどうだった？","","By the way, brother,
How was the Big, Dreamin' American Life?","","By the way, mister, how was your
big, sweet American life?"
"そんなゴテゴテな生活じゃなかったけど……。
アメリカ生活か、そうだな……","","It wasn't such a goofy life, but .......
Living in America, yes. ......","","It wasn't that difficult of a life, but...
Living in America, huh..."
"物足りなかった","","It was not enough.","","It wasn't enough."
"充実していた","","It was fulfilling.","","It was fulfilling."
"もう少しいたかった","","I wish I could have stayed a little longer.","","I wanted to stay a little longer."
"いろいろ学べて楽しかったけど、
亜美がいなくて物足りなかったかな","","I learned a lot and had fun, though,
I guess I was missing Ami.","","It was fun learning all sorts of things,
but I guess it wasn't enough without you."
"兄ちゃん、亜美がいないと寂しいんだー！
やっぱ、びっくりイタズラがないとつまらないよね？","","Brother, I'm lonely without Ami!
After all, it would be boring without surprise pranks, wouldn't it?","","Onii-chan, I'm lonely without you!
It's boring without a surprise prank, isn't it?"
"バッチリだよ、兄ちゃん！　亜美がこれからも
うきうきワクワク楽しませてあげるから♪","","Perfect, brother! Ami will continue to
I'll make you happy and excited","","It's perfect, big brother! I'm going to
keep having lots of fun with Ami! ♪"
"ははは、イタズラはほどほどで頼むよ","","Haha, pranks in moderation, please.","","Hahaha, don't tease me too much."
"充実してたよ。やりたかったことは勉強できたし、
それなりに息抜きもできたし……","","It was fulfilling, I got to study what I wanted to study,
I've had a good amount of time to relax. ......","","I was satisfied. I was able to study what I wanted
to do, and I was able to take a break..."
"兄ちゃん普通すぎるよー！　もっとアメリカーンで
ドデカくてビッグなヤボーとかあるっしょー","","You're too normal, brother!
There must be a big, big, big yabo...","","You're way too normal! There's gotta be
something bigger and bigger in America!"
"兄ちゃんが充実してたなら良かったけど、
亜美がいないと……物足りなかったんじゃないの？","","I wish my brother had been fulfilled,
Wasn't ...... enough without Ami?","","I'm glad you're satisfied, but without Ami...
you wouldn't have been satisfied, would you?"
