"（ん？　あれは……）","","(Hmm? That's ......)","","(Hm? That's...)",""
"もしかして、あずささんですか？","","Are you Azusa-san by any chance?","","Is that you, Azusa-san?",""
"あら、プロデューサーさん。
こんなところで、偶然ですね～","","Oh, hey, producer.
Such a coincidence in a place like this!","","Oh, hello, producer.
What a coincidence, coming to a place like this~",""
"そうですね。……じゃなくて！
どうしてあずささんが、ここにいるんですか？","","Yes, not ......!
Why are you here, Azusa-san?","","You're right. ...No, wait!
What are you doing here, Azusa-san?",""
"私、近所をお散歩していたはずですけど……
不思議ですね","","I would have taken a walk around the neighborhood. ......
That's strange.","","I thought I was taking a walk in the neighborhood...
That's strange.",""
"また迷子になったんですか。
相変わらずですね……","","Are you lost again?
As usual: ......","","Did you get lost again?
You haven't changed a bit...",""
"（あずささんは放っておくとどこに行くか
わからないし、運よく出会えてよかった）","","(Azusa-san is where you go if you leave him alone.
(I don't know, and I'm glad I lucked out.)","","(I don't know where Azusa-san will go if I leave
her alone, so I'm glad I ran into her.)",""
"こうしてゆっくりお話できるのは、
久しぶりですね","","We can talk slowly like this,
It's been a while.","","It's been a while since we've had
a chance to talk like this.",""
"おかえりなさい、プロデューサーさん","","Welcome back, producer.","","Welcome back, producer.",""
"ただいま。あずささん。そういえばきちんと
伝えたいと思っていたことがあるんです","","I'm home, Azusa-san.
I've been meaning to tell you something.","","I'm back, Azusa-san. Come to think of it,
there's something I wanted to tell you",""
"改めて……プロジェクトルミナスへの参加、
ありがとうございます","","Once again, participation in ...... project luminous,
Thank you.","","Thank you again for
participating in Project Luminous.",""
"私の方こそ素敵なユニットに参加させていただき、
ありがとうございます","","I, for my part, would like to thank you for the opportunity to join this wonderful unit,
Thank you.","","I'm the one who should be thanking you for
allowing me to join this wonderful unit.",""
"他の事務所の子と一緒にユニットが組めると聞いて、
楽しみにしていました♪","","I heard that I could form a unit with a girl from another office,
♪ I've been looking forward to it ♪","","I've been looking forward to hearing that you'll
be able to work with someone from another agency♪",""
"それならよかったです","","I'm glad to hear it.","","I'm glad to hear it.",""
"それと……俺がいない間の活動について、
聞かせてもらっていいですか？","","And ...... about your activities while I'm gone,
May I ask?","","Also, would you mind telling me
about your activities while I'm gone",""
"もちろんです。プロデューサーさんがいない間、
みんなと一緒に頑張って仕事に取り組んでいました","","Of course, while Producer is away,
I worked hard with everyone to get the job done.","","Of course. I worked hard with
everyone while Producer was away.",""
"でも、その……私、運命の人を
まだ見つけられなくて……","","But that ...... me, the man of my dreams.
I haven't found it yet. ......","","But, um... I still haven't found
the person I'm destined to be...",""
"運命の人……あずささんには、アイドル活動を通じて
最愛の人と結ばれるという夢がありましたね","","Destiny's people...... Azusa, through her idol activities.
You had a dream that you would be united with your beloved.","","Azusa-san, the person of your destiny, had a dream of
becoming one with your beloved through her idol activities",""
"はい……。もしかして、
このまま見つけられないんでしょうか……","","Yes, ....... Maybe,
I wonder if I'll ever find this ......","","Yes... Could it be that we won't
be able to find him like this...?",""
"うーん、そうですね……","","Hmmm, yes. ......","","Hmm, let's see...",""
"必ず見つかる","","We'll find you.","","We'll find him.",""
"運命に任せる","","resign oneself to one's fate","","I'll leave it to fate.",""
"運次第","","matter of luck","","Depends on luck.",""
"心配しなくても大丈夫です。
必ず見つかりますよ！","","Don't worry.
You will surely find it!","","You don't have to worry.
We'll find you!",""
"そうでしょうか。こんなにも探しているのに、
ちっとも見つからないんですよ……？","","I wonder if that's so, even though I'm looking for so much,
I can't find it at all. ......?","","Is that so? We've been looking for you for
so long, but we haven't found you at all...",""
"今まで出会って来た人の中に、
たまたま運命の人がいなかっただけです","","In the people I've met so far,
I just didn't happen to have a destiny.","","It's just that there's no one I've ever
met who happened to be my destiny.",""
"今後も諦めず、アイドル活動を続けて、
夢も叶えましょう！","","Keep on being an idol and don't give up,
Make your dreams come true, too!","","Let's never give up, keep working as
idols, and make our dreams come true!",""
"プロデューサーさん……","Producer-san...","","","Producer-san...",""
"ふふ、ありがとうございます。そうですね、
諦めたら可能性がゼロになってしまいますから","","Hmmm...thank you...yes, I do,
Because if you give up, your chances go to zero.","","Heheh, thank you very much. You're right.
If we give up, we'll lose our chances.",""
"運命の人が見つかるまで、
諦めずに頑張ってみようと思います～","","Until you find your destiny,
I'm not going to give up, I'm going to try~!","","I'm not going to give up
until I find my soulmate.",""
"ここは運命に任せてみるのはどうですか？
恋はするものではなく落ちるものと言いますし……","","How about leaving this place to fate?
They say love is not something you do, but something you fall in love with. ......","","Why don't we leave this to fate?
They say love isn't something you fall in love with, it's something you fall in love with.",""
"運命の相手だからこそ、自然な出会いに
かけてみるのも手だと思うんです","","It's fate that makes for a natural encounter.
I think it's a good idea.","","I think it's only natural to meet
someone you're destined to meet.",""
"恋は落ちるもの……ふふ、プロデューサーさんって、
ロマンチストなんですね。とても素敵だと思います","","Love is what you fall in ...... Hmmm, what a producer,
I see you are a romantic, and I think that's very nice.","","Love can fall in love. Heheh. You're a romantic,
aren't you, producer? I think it's wonderful",""
"世の中には、絶対というものはありませんし……
運が良ければ、ということで……","","There are no absolutes in the world, and ......
If you're lucky, you'll find it at ......","","There's no such thing as absolutes in this world...
If we're lucky, that is...",""
"もう、プロデューサーさん！
不安になるようなこと言わないでください～！","","Oh, God, producer!
Please don't say things that make me feel insecure~!","","Oh, come on, Mr. Producer!
Don't say things that make me feel uneasy!",""
"す、すみません……","","Sorry, sorry. ......","","S-Sorry...",""
"でも、あずささんみたいな素敵な人だったら、
おのずと運命の相手が見つかると思いますよ","","But if you were a nice person like Azusa-san,
I'm sure you'll naturally find the person of your dreams.","","But I'm sure someone as wonderful as
Azusa-san would be able to find her soulmate.",""
"あずささんの夢が叶うように、応援していますね","","I am rooting for you to make your dream come true, Azusa-san!","","I'll be rooting for you to make your dream come true.",""
"はい、ありがとうございます！","","Yes, thank you!","","Yes, thank you very much!",""
"プロデューサーさんが応援してくれるなら、
百人力ですね","","If only Producer would support me,
Hundreds of people.","","If Producer is cheering you on,
then you're a hundred strong.",""
"それじゃあ、一緒に事務所まで帰りましょうか。
ここから更に迷ったら、戻れなくなりそうですしね","","Well then, let's go back to the office together.
And if I get lost further from here, I'll never be able to get back.","","Well then, let's head back to the office together.
If we get lost any further, we won't be able to go back.",""
"はい、お願いします♪","","Yes, please... ♪","","Yes, please♪",""
"（ルミナスのレッスンも始まり、個人での仕事も
どんどん増え、忙しくなってきた）","","(Luminous lessons have begun and private work
(It's getting busier and busier.)","","(Luminous's lessons have begun, and I'm
getting busier and busier on my own.)",""
"嬉しい悲鳴だけどな……！
おっと。また電話だ。すぐ出ないと……","","It's a happy scream, though. ......
Oops...another call...gotta take it now: ......","","It's a happy scream, though...!
Whoops, another phone call. I'd better pick up...",""
"はい、もしもし","","Yes, hello.","","Yes, hello.",""
"『その声は……プロデューサーさんですか？
私です、あずさです』","","'Is that voice the ...... producer?
It's me, Azusa.","","Is that... Producer  
[It's me, Azusa.]",""
"あずささん？　どうかしましたか","","Mr. Azusa? Is something wrong?","","Azusa-san? What's wrong",""
"『事務所に行く途中だったんですが、
ちょっと迷子になってしまったみたいで……』","","'I was on my way to the office,
I think I got a little lost. ......""","","'I was on my way to the office,
but it seems I got lost...'",""
"それは大変だ！　今どこにいるかわかりますか？
近くに何か目印になるものはありませんか？","","That's a big deal! Do you know where you are now?
Are there any landmarks nearby?","","That's terrible! Do you know where he is now?
Is there anything nearby that could be a landmark?",""
"えっと……２棟の高層ビルが見えます。
左側の建物の奥には木々があって……","","Let's see, you can see the ......2 skyscraper.
There are trees behind the building on the left: ......","","Umm... I can see two skyscrapers.
There are trees on the left-hand side of the building...",""
"（２棟の高層ビルに建物奥に木々……。
きっと、あの辺りだな）","","(Two high-rise buildings with trees at the back of the buildings. ......
I'm sure it's somewhere around there.)","","(Two skyscrapers, trees at the back of the building...)
(I'm sure it's around here somewhere.)",""
"わかりました、そこから動かないでください。
すぐに向かいますから！","","Okay, please don't move from there.
I'll be right there!","","Okay, don't move from there.
I'll be right there!",""
"（たぶん、このあたりにいるはず……）","","(Probably somewhere around here ......)","","(He should be around here somewhere...)",""
"プロデューサーさ～ん！
こっちで～す！","","Producer~!
This way~!","","Mr. Producer!
Over here!",""
"あずささん！
よかった、ここで合っていたか","","Azusa!
Oh, good, I was right here.","","Azusa-san!
Good, so this is where we met",""
"すみません、ご迷惑をおかけしてしまって……","","Sorry for the inconvenience. ......","","I'm sorry for causing you so much trouble...",""
"プロデューサーさんと無事にお会いできて、
よかったです","","I met Producer safely,
Good.","","I'm glad you were able to
meet Producer safely.",""
"あ、来てくださったお礼にイカ焼きをどうぞ","","Oh, and here's some grilled squid to thank you for coming.","","Oh, here's some grilled squid as thanks for coming.",""
