"改めまして……コホン。
はじめまして！　プロデューサーさん！","","Once again, ...... Kohon.
Nice to meet you, producer!","","Allow me to introduce myself... Ahem.
Nice to meet you, Mr. Producer!",""
"歌って踊れる１７歳の声優アイドル安部菜々ですっ！
よろしくおねがいしま～すっ！　キャハッ☆","","I am Nana Abe, a 17-year-old voice actress idol who can sing and dance!
I'm looking forward to working with you!","","I'm Abe Nana, a 17 year old voice actress idol who can sing and dance!
I'm counting on you! Kyaha☆",""
"ナナはウサミン星出身で、
今日もニンジンの馬車に乗ってやって来ましたっ♪","","Nana is from the planet Usamin,
We came here again today on a carrot wagon...","","I'm from Planet Usamin, and we came here
in a carrot carriage today too! ♪",""
"すまない、菜々。ニンジンの馬車は想像つくが……。
ウサミン星って何のことだ？","","Sorry, Nana, I can imagine a carrot wagon, but .......
What is the planet Usamin?","","Sorry, Nana. I can imagine a carrot carriage...
What do you mean, star usamin?",""
"えっ……。あっ、ナナの出身地のことですよっ！
電車で１時間なんです♪","","What? ....... Oh, I mean Nana's hometown!
It's an hour by train.","","Huh...? Ah, I'm talking about where Nana is from!
It's an hour by train.",""
"……なるほど、意外と近いんだな。
次の休みの時にでも、案内してもらおうかな？","","...... I see, it's surprisingly close.
Maybe on my next vacation, I can ask you to show me around.","","......I see, it's closer than I thought.
Maybe you could show me around on my next day off?",""
"ええっ、本当ですか！？　あの、これから
忙しくなりそうですし、次の休みというのは……","","Oh, really? Um, from now on...
It's going to be busy, and the next vacation means ......","","Really?! Um, I'll be busy from now on.
What do you mean by next break...",""
"それもそうだな。急なことを言って悪かったよ。
菜々の都合のつくときに、連れて行ってもらおうかな","","That's true too, and I'm sorry for being so abrupt.
I'll ask Nana to take me there when it's convenient for her.","","Yeah, you're right. Sorry for asking out of the blue like that...
When you have time, I'll ask him to take me there.",""
"は、はいっ！　こちらこそ、よろしくお願いします！
ナナ、い～っぱい頑張ります！　キャハッ！","","Yes, yes! I look forward to working with you, too!
Nana, I will do my best!","","Y-Yes! I'm looking forward to working with you, too.
Nana will do her best!",""
"はぁ～♪　憧れのみなさんと
ビッグプロジェクトに参加できて、ナナは幸せです♪","","Haa~♪ With everyone I adore!
Nana is happy to be a part of this big project.","","*sigh* ♪ I'm so happy to be part of such a
big project with all the people who admire me.",""
"本当に夢みたいで……
ハッ！　も、もしかして……！","","It really is like a dream. ......
Ha! Maybe you can check ......!","","It really is like a dream...
Hah! C-Could it be...?",""
"ナナ、夢を見ているわけじゃないですよね！？
これって、夢オチとかじゃないですよね！？","","Nana, you are not dreaming!
This isn't some kind of dream-oops or something!","","Nana, you're not dreaming right!?
This isn't a dream ending, is it?!",""
"ああ、夢なんかじゃないぞ。
まぎれもない現実だ","","Yeah, it's not a dream.
It's undeniably real.","","Yeah, this isn't a dream.
It's an undeniable reality.",""
"そう、ですよね。夢なんかじゃない……！
ナナが……。ナナがプロジェクトルミナスの一員！","","Yes, that's right, it's not a dream. ......
Nana is a member of ....... Nana is a member of Project Luminous!","","That's right. It wasn't a dream...!
Nana.... I'm a member of Project Luminous!",""
"ううっ……！　実感したら震えてきました～！
ナナ、感動ですっ！","","Ugh ......! I was shaking when I realized it~!
Nana, I am very impressed!","","*sniffle* Now that I think about it, you're making me tremble!
Nana, I'm moved!",""
"感動してるところに水を差すようだけど、
ゴールはスターリットドームだからな","","I know this may sound like I'm putting a damper on your excitement,
The goal is the Starlit Dome.","","I know it's a bit of an emotional thing to
do, but the finish line is at Stirritt Dome.",""
"もちろんですっ！　
一生懸命やらせてもらいます！","","Of course!
I will do my best!","","▁Of course I do!
I'll do my best!",""
"ウサミンパワー全開で、
ルミナスを盛り上げちゃいますからっ！","","Usamin power in full force,
I'm going to make Luminous so much fun!","","I'll use my full power to make
Luminous even more excited!",""
"ああ、菜々だけにしかない魅力を、
ルミナスで発揮してくれるのを期待しているぞ","","Ah, the charm that only Nana has,
I'm looking forward to seeing you demonstrate this in Luminous.","","Yeah, I'm looking forward to seeing you show off your
charms in Luminous that can only be found with Nana alone.",""
"ご期待に応えられるように、頑張りますっ！
ですが、プロデューサーさん……","","We will do our best to meet your expectations!
But, Mr. Producer ......","","I'll do my best to meet your expectations!
But, Mr. Producer...",""
"あの、参考までに聞きたいのですが……。
ナナの魅力って、どういうところでしょうか？","","Um, I'd like to ask for your information: .......
What is it about Nana that attracts you?","","Um, just for reference...
What is Nana's charm?",""
"菜々の魅力か……。そうだなあ……","","Nana's charm or ....... I guess so. ......","","Nana's charm, huh... Let me think.",""
"笑顔","","smile","","Smile.",""
"元気","Genki","","","Genki",""
"全部","","all","","All of it.",""
"やっぱり、その笑顔だろうな","","I knew it would be that smile.","","That's probably the smile I was looking for.",""
"ウーサミン☆
この笑顔のことでしょうか～、キャハッ☆","","Usamin☆
I guess you mean this smile~, cah*!","","Usamin☆ You mean that smile,
right? Kyaaah! ",""
"ああ、そうだな。
その笑顔でファンのみんなに幸せを届けよう！","","
Bring happiness to all your fans with that smile!","","Yeah, you're right.
Let's bring happiness to all the fans with that smile!",""
"そうだな。元気いっぱいなところかな","","Yes, I guess the energetic part.","","Yeah. I guess it's a place full of energy, huh",""
"はいっ！　元気さなら自信がありますよ！
ウサミンパワーで毎日元気いっぱいですっ！","","Yes! I am confident in my energy!
I am full of energy every day with the power of Usamin!","","Yes! I'm confident in my health.
I'm full of energy every day with my Usamin power!",""
"菜々の持ち前の明るさで、
ファンのみんなに元気を振りまいていこうな","","With Nana's natural cheerfulness,
Let's spread some cheer to all the fans.","","Let's use your bright side
to cheer up the fans.",""
"まあ、全部が魅力的だよ","","Well, it's all fascinating.","","Well, it's all fascinating.",""
"な、ナナの全部が魅力的……？
プロデューサーさん、適当に言っていませんか？","","Nah, everything about Nana is fascinating ......?
Mr. Producer, are you sure you're not just saying that?","","I-Is everything about me attractive...?
Isn't that a bit of an exaggeration, Mr. Producer?",""
"そ、そんなことないぞ。菜々の全てを出し尽くして、
ファンのみんなに喜んでもらおう","","Nana's all out,
Let's make our fans happy!","","Th-That's not true. We need to give it everything we have,
and make sure the fans are happy with our performance as a team",""
"はい！　プロデューサーさんが言ってくれた
ナナだけの魅力……大切にしていきたいですっ！","","Yes! Producer told me.
I want to cherish Nana's unique charm ......!","","Yes! I want to treasure the
charm that you gave me, Nana.",""
"まだまだ、アイドル勉強中のナナですが、
プロデューサーさん、よろしくお願いしますっ！","","Nana is still learning to be an idol,
Thank you, producer!","","I'm still studying to be an
idol, but please take care of me!",""
"こちらこそ、よろしくな。
一緒に頑張っていこう！","","Nice to meet you too.
Let's work hard together!","","Likewise. I'm looking forward to working with you, too!
Let's do our best together!",""
"（事務所のデスクに、
１通の封筒が置いてあるのだが――）","","(On the desk in the office,
There is one envelope on the floor--)","","(There's an
envelope on my desk...)",""
"ウサミン……","","Usamin ......","","Usamin...",""
"ピピッ！　プロデューサーさんから、
ウサミンを呼ぶ電波を受信しました☆","","Beep! From Producer,
We've received a radio signal calling Usamin.","","Beep, beeek! Producer sent
us a signal calling for Usamin☆",""
"いや、菜々を呼んだわけじゃないんだ。
俺とウサミンの連名宛で封筒が届いたんだ","","No, I didn't call Nana.
I got an envelope addressed jointly to me and Usamin.","","No, I didn't call Nana here.
I got an envelope addressed to me and usamine.",""
"ナナとプロデューサーさんに……ですか？
ちょっと、ナナにも見せてくださいっ！","","Are you ...... for Nana and Producer?
Hey, please show this to Nana!","","Nana and Producer...?
Hey, let me see it too!",""
"はい、この封筒だ","","Yes, this envelope.","","Here's the envelope.",""
"ありがとうございます……。
本当ですね。律儀に『ウサミン様』って……","","
It's true, the law says 'Usamin-sama' ......","","Thank you very much...
It's true. 'Lady Usamin.', dutifully...",""
"あっ！　こ、この封筒をよく見てください……！
毎日ＣＭで見る、超有名企業のロゴが入ってますよ！","","Oh! Look closely at this envelope: ......!
It has the logo of a very famous company that you see in commercials every day!","","Ah! Take a good look at this envelope...
It's got the logo of a super-famous corporation you see in commercial breaks every day!",""
"ん？　ああ、本当だな","","Hmm? Yeah, really.","","Hm? Yeah, you're right.",""
"ぷ、プロデューサーさんっ！
よくそんなに落ち着いていられますねっ！","","Psst, Mr. Producer!
How can you be so calm?","","P-Producer!
How can you be so calm?!",""
"こんな有名企業からお手紙が来るなんて……！
ウサミンパワーの高まりを感じますっ！","","I can't believe I got a letter from such a well-known company. ......
I can feel the rising power of Usamin!","","I can't believe we got a letter from such an influential company!
I can feel Usamin power rising!",""
"もしかしてＣＭのオファーとか……。
それとも、イメージキャラクターに任命！？","","Perhaps a commercial offer or .......
Or appointed as an image character!","","Could it be an offer for a commercial...?
Or maybe I'll be appointed as an image character!?",""
"プロデューサーさんっ！　どんなお仕事だろうと
ナナ、全力で務めさせていただきますっ！","","Producer, whatever your job is!
Nana, I will do my best to serve you!","","No matter what kind of job it is, I'll do everything
in my power to make this a success!",""
"ちょっ、ちょっと待った！
落ち着いて、まずは封筒の中身を確認しよう","","
Let's calm down and check the contents of the envelope first.","","W-Wait a minute!
Let's calm down and check the envelope first.",""
"ハッ……！　そ、そうでしたね。
すみません、ナナひとりで舞い上がってしまって……","","Ha ......! Yes, that's right.
Sorry, Nana, I'm soaring on my own. ......","","Hah...! Y-You're right.
Sorry, I got carried away by myself...",""
"それじゃあ、封筒の手紙を読むぞ。
えーっと、なになに……","","Okay then, let's read the letter in the envelope.
Let's see, what's what: ......","","Well then, I'll read the envelope letter.
Let's see...",""
"『この度、弊社では安部菜々様をモチーフにした、
新たなテーマパーク、その名も……』","","We have used Nana Abe as our motif,
A new theme park, named ......"".","","『We now have a new theme park
named after Nana Abe-sama...』",""
"そ、その名も……？","","Is that the name of the ......?","","Wh-What's that name?",""
"『ウサミンワールド（仮）の
建設プロジェクトチームが発足致しました』","","The Usamin World (temporary)
The construction project team has been established.","","The construction project team for
Usamin World (Temp) has been launched.",""
"う、ウサミンワールド（仮）！
ううっ……！　なんて神々しい響き！","","U, Usamin World (temporary)!
Ugh ......! What a divine sound!","","U-Usamin World (Temp)!
Uuugh...! What a divine sound.",""
"ふむふむ……。ウサミン星をモチーフにした、
新感覚テーマパークみたいだな","","Hmmm... ....... The motif is based on the Usamin star,
Sounds like a new kind of theme park.","","Hmm, hm... It looks like a brand new theme
park with the motif of Usamin Planet.",""
"まとめると、ウサミンワールド（仮）の
建設のために協力してほしい、って話だ","","In summary, the Usamin World (temporary)
They want us to help them build it.","","In short, they want us to cooperate with them
in the construction of Usamin World(Temp).",""
"もちろん、協力します！　協力させてくださいっ！
プロデューサーさんも手伝ってくれますよね！？","","Of course, I will cooperate! Let me cooperate!
I'm sure Producer will help you out!","","Of course I'll help! Please let me cooperate with you.
You'll help too, right?!",""
"ああ、せっかくの機会だから前向きに考えるよ。
それに、菜々の希望も叶えてあげたいからな","","Yeah, it's a great opportunity, so I'll think positively about it.
Besides, I'd like to give Nana what she wants, too.","","Yeah, this is a good opportunity to think positively.
Besides, I want to grant Nana's wish.",""
"あ、ありがとうございますっ！","","Oh, thank you very much!","","Th-Thank you very much!",""
"はぁ～、ウサミンワールド（仮）ですか～♪
その名前を聞くだけで、夢が広がりますね～","","Hah~ is it Usamin World (temporary)?
Just hearing that name is enough to make me dream~!","","*sigh*, Usamin World (Temp)? Just
hearing that name makes my dreams come true~",""
"子どもから大人まで、ウサミン星人になれる、
夢と魔法に溢れたウサミンワールド（仮）……","","Children and adults alike can become Usamin aliens,
Usamin World full of dreams and magic (tentative) ......","","A world filled with dreams and magic, where
you can become a human from child to adult.",""
"楽しいアトラクションを、い～っぱい用意して
今までにない、テーマパークにしたいですね！","","We have a lot of fun attractions in store for you!
I would like to make this a theme park unlike any other!","","I want to prepare a lot of fun attractions
and turn it into the best theme park ever!",""
"プロデューサーさんっ！　どんなアトラクションに
ウサミンっぽさを出せばいいと思いますか？","","What kind of attraction?
Do you think it should be Usamin-like?","","Hey, producer! What kind of
attraction do you think we should go to?",""
"ウサミンっぽさを出すアトラクション……？
うーん、難しい質問だけど……","","Attractions that make it look like Usamin ......?
Hmmm, tough question: ......","","An attraction that makes you look like a Usamin...?
Hmm, that's a difficult question...",""
"メリーゴーランド","","merry-go-round","","The Merry-Gorland",""
"ジェットコースター","","roller coaster","","Rollercoaster",""
"射的","","target practice","","Shooting target",""
"メリーゴーランドなんてどうだ？","","How about a merry-go-round?","","How about a merrygoround?",""
"メリーゴーランド……。
ううん！　ウサミンゴーランドですねっ！","","Merry-go-round. .......
No! It's a Usamingoland, isn't it?","","A merry-go-round...
No! It's a Usamingo Land, right?",""
"ウサミン星人が乗るロケットに、ニンジンの馬車！
はぁ～。夢が広がりますねぇ～♪","","A rocket ridden by a Usamin alien and a carriage of carrots!
Ohhhh, my dreams are expanding~!","","There's a rocket for the usamin aliens, and carrot carriage!
*sigh* My dreams are getting bigger~",""
"ジェットコースターはどうだ？","","How about a roller coaster?","","How about a roller coaster?",""
"ウサミン星に絶叫系というのは……。ううん！
逆にスリルを求めるウサミン星人もいるはずです！","","Screaming on the Usaminster is the name of the game at ....... Nah!
On the other hand, there must be some Usamin aliens who seek thrills!","","The scream system on usamin planet is... No!
On the other hand, there are also those who seek thrills from usamine stars!",""
"それに、ジェットコースターだってウサミン風に
アレンジすれば、メルヘンチックになりますよね♪","","And even a roller coaster, Usamin style.
If you arrange it, it will be a fairy tale... ♪","","Besides, if you arrange the roller coaster in a
Usamin style it'll be like something out of fairy tales♪",""
"射的なんてどうだ？","","How about some target practice?","","How about a shooting gallery?",""
"しゃ、射的……ですか？　なんだか急に、
現実感を突き付けられた気がしますけど……","","Sha, is it a projectile ......? It's kind of sudden,
I feel like I've been confronted with a sense of reality, though: ......","","A...shooting gallery? I feel like you've
suddenly hit me with a sense of reality.",""
"景品をウサミングッズで揃えたら、
楽しそうですね～♪","","If you get the prizes with the Usamming goods,
Sounds like fun...Â","","It'd be so much fun if we could get
our hands on some of the prize money. ♪",""
"考えれば考えるほど、楽しいことが
浮かんできちゃいますね！　キャハッ☆","","The more you think about it, the more fun it is.
I can't believe I'm floating!","","The more I think about it, the
funnier things come to mind! Kyaha☆",""
"詳細については、近いうちに打ち合わせを……。
ん？　封筒の中にもう一通、手紙が入っているな","","For more information, please contact ...... for a meeting in the near future.
Hmm? You have another letter in your envelope.","","We'll have a meeting about the details soon...
Hm? There's another letter inside the envelope.",""
"『ウサミンワールド（仮）の開発にあたり、
ファンの方々の反応を確認したいため――』","","In the development of Usamin World (tentative),
To see how the fans react--""","","'We'd like to see how the fans will
react when we develop Usamin World (Temp).」",""
"『まずはウサミンキャンペーン（仮）と題し、
営業を行わせてもらえればと存じます』か……","","The first one is titled ""Usamin Campaign (tentative),
I hope you will allow us to conduct business."" or ......","","『First, I would like to run a sales campaign titled
'Usamine Campaign (Temp).』I-It's okay...",""
"えっと……。それってつまり、
営業でのみんなの反応が重要……ってことですか？","","Let's see, ....... That means,
Does that mean that everyone's reaction in sales is important ......?","","Um... Does that mean everyone's
reactions are important?",""
"みたいだな。
菜々の実力を、確かめたい意図がありそうだ","","Sounds like.
It seems they want to see what Nana is capable of.","","Looks like it.
Seems like she wants to see if you're good enough for it, Nana",""
"わかりましたっ！
ナナ、どんなお仕事だって頑張っちゃいますよ～！","","I understand!
Nana, I will do my best in any job!","","Understood 
I'll do my best at any job~!",""
"（菜々のやる気も十分みたいだ。
これなら、どんな営業だろうとこなせるだろう！）","","(Nana seems to be fully motivated.
(I'm sure I can handle this, no matter what kind of business I'm in!)","","(It seems Nana's motivated enough.
With this, I should be able to handle any kind of business!)",""
"（この間の営業の成功を祝し、
喫茶店でささやかな打ち上げをすることに……）","","(To celebrate the success of the business during this period,
(We'll have a small launch at a coffee shop ......)","","(We decided to have a small party at the
cafe in celebration of our success...)",""
"お疲れ様、菜々。ウサミンキャンペーンの営業、
よく頑張ってくれたな","","Good job, Nana, on the Usamin campaign sales,
You did a great job.","","Nice work, Nana. You did a great job with
the Usamin campaign business today。",""
"ウサミンワールドの担当者から、今後も菜々の活躍を
見ながら、計画を進めていくって連絡が入ったぞ","","A representative from Usamin World wishes Nana all the best in her future endeavors.
I just got word that they're looking at it and moving forward with the plan.","","We've received word from the person in charge of Usamin World that we can keep an eye on
Nana as she progresses through her plans, and continue to do so for a while longer.」",""
"ありがとうございますっ！　プロデューサーさんが
応援してくれたので、頑張れました♪","","Thank you very much!
They cheered me on so I could do my best... ♪","","Thank you so much! I couldn't have
done it without your support. ♪",""
"それに、ウサミンワールドのためですから、
普段よりも気合いを入れて挑みましたっ！","","Besides, it's for Usamin World,
I took on the challenge with more enthusiasm than usual!","","Besides, it's for the sake of Usamin World! I
put more effort into this challenge than usual.",""
"あっ！　け、決していつものお仕事を、
手を抜いてやっているわけじゃありませんよ！","","Ah! Ke, never the usual work,
We are not doing this by cutting corners!","","Ah! I-I'm not going easy on my usual
work or anything like that.",""
"ああ、分かっているぞ。
菜々のやる気は十分に伝わっている","","Yeah, I know what you mean.
Nana's motivation is well-deserved.","","Yeah, I know.
I know exactly what you're trying to do.",""
"その証拠に、菜々の活躍に注目しながら、
ウサミンワールド開園の準備をしていくそうだ","","The evidence of this is while paying attention to Nana's activities,
They are going to prepare for the opening of Usamin World.","","As proof, they're planning to open
Usamin World while keeping an eye on Nana.",""
"本当ですかっ！？　ウサミンワールド開園に、
大きく前進っ！　って感じでしょうかっ！？","","Really? For the opening of Usamin World,
A big step forward!","","Really?! Is it like, 'We're making great strides toward
the opening of Usamin World!!' or something?",""
"ああ、その通りだ。今のうちに今後のことも
話しておきたいが……とりあえず、何か頼むか","","Yeah, that's right, now for the future.
I'd love to talk to you, but for now, ......, I'll just ask you for something.","","Yeah, that's right. I want to talk about the future while we still
can... But first things second: Can you do something for me?」",""
"あっ、そうですね！
えっと、ナナはなににしようかな～♪","","Ah, yes!
Let's see, what should I make my Nana?","","Ah, that's right!
Umm, what should I do~♪",""
"う～ん、香ばしいコーヒーの香り！
それと、スイーツのあま～い匂い♪","","Mmmm, aromatic coffee aroma!
And the sweet smell of sweets.","","Mmm, the aroma of coffee!
And the sweet smell of sweets♪",""
"はぁ～。カフェのイスに座って
雰囲気を楽しむだけでも、満たされちゃいますね～♪","","Sitting on a chair in a café.
Just enjoying the atmosphere is enough to fill you up~!","","*sigh* Just sitting in a chair at the cafe and
enjoying this atmosphere is enough to fill me up~",""
"それじゃあ、菜々は注文はしないで
雰囲気だけ楽しむ……って、ことでいいか？","","Well then, Nana, don't order.
Just enjoy the atmosphere ......, is that right?","","So, you're not going to order anything and
just enjoy the atmosphere... Is that okay?",""
