"（仕事終わり、未来にルミナスについて
聞いてみることにした……）","","(After work, about luminous in the future)
(I decided to ask: ......)","","(After work, I decided to ask
Luminous about the future...)"
"未来、お疲れ様。
調子はどうだ？","","Good job, future.
How's it going?","","Good work, Mirai.
How's it going?"
"あ、プロデューサーさん！
もちろん、絶好調です！","","Oh, Mr. Producer!
Of course, it is in great shape!","","Oh, it's Producer!
Of course, I'm in top form!"
"そうか、それはよかった。
うまくルミナスにも馴染めているようで安心したよ","","Well, that's good to know.
I'm relieved to hear you're settling into Luminous well.","","I see, that's good to hear.
It's a relief to see you fit in so well with Luminous."
"はい！　すっごく楽しいです♪　それに、歌と
ダンスも、ちょっとだけうまくなった気がします！","","Yes! It's a lot of fun... And the singing and the
I think I'm getting a little better at dancing, too!","","Yes! It's really fun♪ And I think my singing
and dancing skills have improved a little, too."
"それは頼もしいな！
よし、引き続き頑張っていこう","","That's dependable!
Okay, let's continue to work hard.","","That's good to hear!
All right, let's keep up the good work."
"はい！　……って、あの、勢いで返事しちゃいました
けど、なにを頑張るんでしたっけ？","","Yes! I responded to ...... with, um, gusto!
But what were we trying to do?","","Okay! ...Um, I know it's a spur of the moment thing
to say. But what exactly are you trying so hard for?"
"おいおい。
未来に頑張って欲しいのは……","","Oh, come on.
I wish you good luck in the future: ......","","Hey, hey.
What I want you to do your best for in the future..."
"ルミナスの活動","","Luminous Activities","","Luminous's activities"
"歌とダンス","","Song and Dance","","Song and Dance"
"うっかりをなくす","","eliminate carelessness","","I'm going to lose carelessness."
"ルミナスの活動のことだよ","","I'm talking about the Luminous activity.","","I'm talking about Luminous."
"ルミナスのことなら、頑張りますっ！　よかった～♪
勉強とかだったらどうしようかと思いました～","","I'll do my best to get the luminous thing going!
I thought what if it was a study or something - I don't know.","","I'll do my best when it comes to Luminous!
Thank goodness~♪ What if she was studying?"
"すごいアイドルのみんなに囲まれて、
毎日刺激的で、ルミナスって本当に楽しいです♪","","Surrounded by all of my amazing idols,
Everyday is exciting and luminous is really fun♪","","I'm surrounded by amazing idols. Every day
is so exciting, and Luminous has a lot of fun♪"
"そうだな、俺もそう思うよ","","Yeah, I agree.","","Yeah, I think so too."
"歌とダンスのことだよ","","It's about singing and dancing.","","I'm talking about singing and dancing."
"はい！　私、歌もダンスももっとレッスンします！
見ていてくださいね、プロデューサーさん","","Yes! I will take more lessons in singing and dancing!
You'll have to watch, Mr. Producer.","","Okay! I'll give you more lessons on singing and dancing, too.
Just you wait and see, producer."
"ああ、よろしく頼むよ","","Yeah, nice to meet you.","","Yeah, I'm counting on you."
"よーし、頑張るぞー！","","Okay, I'll do my best!","","All right, I'll do my best!"
"うっかりをなくすことだ","","It's about eliminating carelessness.","","It's about getting rid of carelessness."
"う、うっかりをですかぁ？　うーん……あっ！　
大事なことは、手に書いておくのはどうですか！？","","Ummm, inadvertently? Hmmm... ...... Oh!
How about writing the important stuff on your hand!","","M-Mistake? Hmm... Ah!
Why don't you write something important on your hand!?"
"そ、それは、確かに……うっかり忘れることは
減りそうだが……手が文字だらけにならないか？","","Well, it's certainly not ...... to inadvertently forget
It's going to be less, but won't ...... hands be full of text?","","W-Well, yeah... I guess it's easy to forget things like that sometimes.
But don't you think your hands are covered in writing?"
"なっちゃいますね！　あ、アイドルの手が文字だらけ
なのは、ダメですか？　なら、他の方法も考えます！","","Oh, the idol's hands are covered with letters!
Then, I'll think of another way!","","It's going to turn out like this! Ah, is it bad that the idol has
so many words on her hands? Then I can think of another way too."
"未来が頑張れば、ルミナスのみんなも
いい影響を受ける","","If the future works hard, so will everyone in Luminous.
Good influences.","","If we work hard in the future,
Luminous will be affected."
"アイドルみんなが輝けば、
ルミナスはさらに光り輝くからな","","If all idols shine,
Because the luminous shines even brighter.","","If all the idols shine,
Luminous will glow even brighter."
"私が輝けば、ルミナスがもっと輝く……。
すごーい！　素敵ですね、プロデューサーさん♪","","When I shine, Luminous shines brighter. ......
Wow! That's wonderful, Mr. Producer... ♪","","If I shine, Luminous will glow even brighter...
Awesome! That's great, Mr. Producer♪"
"分かりました！　私、もっとアイドルの活動を
頑張って、ルミナスを成功させてみせますね！","","I understand! I'm going to do more idol activities.
I will do my best to make Luminous a success!","","Understood! I'll do my best as an
idol to make Luminous a success."
"そうそう、その心意気だ！
未来ならできるぞ！","","Yes, yes, that's the spirit!
The future can do it!","","That's the spirit!
I can do it in the future!"
"はい！　アイドル活動、色々頑張って……
えっと、なんだかすごいアイドルになります！","","Yes! Good luck with your idol work and all that ......
Um, it's kind of a great idol!","","Yes! I've been working hard at my idol activities...
Um, I'll become an amazing idol!"
"よーし、やるぞー！　えいえいおー！","","Alright, let's do it!","","Alright, let's do this! Yay yay yaaah!!"
"（元気があっていいが……。
少し様子を見つつ未来と接していこう）","","(I hope you're feeling better. .......
(Let's see how things go a bit and get in touch with the future.)","","(It's good to have energy, but...
I'll wait and see how things play out for a while before interacting with the future.)"
"（今日は未来の仕事がふたつ。ひとつは終わったが、
少し長めの待ち時間が……）","","(Two future jobs today, one of which is finished,
(A slightly longer wait is ......)","","(I have two future jobs today. One is
done, but I'll need to wait a bit longer...)"
"未来、元々連絡してたとはいえ、次の仕事が
始まるまで、だいぶ時間がかかるけど大丈夫か？","","Future, even though I had originally contacted you about the next job.
It's going to be a long time before it starts, are you okay?","","In the future, even though we've been in contact with each other for a while
now... It will take quite some time before our next job starts. Are you okay?"
"はい、大丈夫です、プロデューサーさん。
私、ちゃんと考えてきました！","","Yes, it's okay, producer.
I, for one, have been thinking about it properly!","","Yes, I'm fine.
I've thought this through!"
"空いている時間で、
学校の宿題をしようと思います！","","In your free time,
I will do my homework for school!","","I'm thinking of doing some school
homework in my free time!"
"（仕事前の、未来のコンディションのことを
尋ねたんだが……まあ、いいか）","","(Before work, about future conditions.
(I asked you. ...... Well, okay.)","","(I asked him about his future
condition before work, but... Oh well.)"
"それはいい考えだと思うぞ。
けど、急にどうしたんだ？","","I think that's a great idea.
But what's going on all of a sudden?","","I think that's a good idea.
But what's this all of a sudden?"
"えへへ♪　私、この前、
ルミナスを頑張るって決めたじゃないですか？","","Ehehe♪ I, the other day,
You decided to stick with Luminous, didn't you?","","Heheh! ♪ Didn't I make up my mind
to help Luminous out the other day?"
"それでせっかくなら、今できることを全部
頑張ろうって思ったんです","","So, if you're going to go to all this trouble, do everything you can right now.
I decided to go for it.","","Since we're here, I figured it would be a
good idea to do everything in my power."
"だから、アイドルの活動だけじゃなくて、
学校のこともちゃんとやろうと思って","","So it's not just about idol activities,
I was just trying to do my school stuff right.","","That's why I wanted to do more
than just idol activities."
"なるほど……。
未来、偉いぞ。その調子でよろしく頼むな","","
Great job Future, keep up the good work.","","I see......
Good job, Mirai. Keep up the good work!"
"でへへ～♪
プロデューサーさんにほめられちゃいました♪","","Dehehe~♪
I got complimented by Producer...","","Heheh~ Producer
praised me!"
"じゃあ、早速宿題を始めちゃいますね。
ちゃんと教科書を持ってきて……あれ？","","Okay, I'll start my homework right away.
Make sure you bring your textbooks to ...... Huh?","","Well then, let's get started on our homework.
Bring me my textbook... Huh?"
"これ、違う教科書……ま、間違えちゃった！？","","This is a different textbook ......, I made a mistake!","","This isn't a textbook... D-Did I get it wrong!?"
"あれ？　ちゃんとバッグに入れたはずなのに……。
……やっぱり、入ってないよ～！","","Huh? I thought I put it in the bag properly. ......
...... I knew it, I'm not in it!","","Huh? But I put it in my bag...
......I knew it, there's nothing in here!"
"ぷ、プロデューサーさん、どうしましょう～！？
私、持ってくる教科書、間違えちゃいました！","","Psst, producer, what should I do~!
I made a mistake with the textbook I brought!","","Wh-What should we do, Mr. Producer?!
I brought the wrong textbook!"
"間違えて宿題とは違う教科のものを持ってきたのか。
それなら……","","Did you bring something from a different subject than your homework by mistake?","","Did I bring something different from my homework by mistake?
In that case..."
"別の勉強をしよう","","Let's study something else.","","Let's study something else."
"違うことをしよう","","Let's do something different.","","Let's do something different."
"今から取りに戻ろう","","Let's go back for it now.","","Let's go back and get it."
"せっかくだから、その教科書を使って
予習をしたらどうだ？","","Since we're here, we'll use that textbook.
Why don't you do some prep work?","","Why don't you use that
textbook to study?"
"なるほど！　さすがプロデューサーさんですね！
こっちの教科書なら予習ができちゃいます！","","I see! As expected of a producer!
Textbooks over here can help you prepare!","","I see! That's our producer for you, all right.
If it's this textbook, I can prepare for lessons!"
"分からないところがあれば、俺が分かる範囲で
教えるから、頑張ろう","","If there's anything you don't understand, as far as I can tell.
I'll teach you. Let's go for it.","","If there's anything you don't understand, I will teach it to the
best of my ability. Let us do our very hardest on that front as well"
"プロデューサーさんが教えてくれるんですか？
やったー！　特別授業ですね♪","","Will Producer tell me?
Yay, a special class...","","Are you going to tell me, producer?
Yay! Special lessons, huh♪"
"先生、今日はよろしくお願いしまーす！
なんちゃって、でへへ♪","","Hi doctor, I'm looking forward to working with you today!
Just kidding.","","I'm counting on you today, Professor!
Just kidding, deheh♪"
"じゃあ、俺と一緒に違うことをしようか","","Then do something different with me.","","Well, maybe we should do something different."
"違うことって……何ですか？","","What's different is ......?","","What's different...?"
"そうだな、歌とかダンスとか
アイドル的なことなんかどうだ？","","Yeah, like singing and dancing.
How about something idle?","","Well, how about singing and dancing
or something like an idol?"
"楽しそうですね！　それならこの前、振り入れした
ばっかりのダンスを練習します！　たしか～……","","Sounds like fun! Then I choreographed it the other day.
I'm going to practice dancing all over the place! I like to think of it as ~......","","That sounds like fun! Then I'll practice the dance we
just performed a few days ago. If memory serves me right..."
"今から取りに戻ってみればいいんじゃないか？","","Why don't you try going back for it now?","","Why don't we go back and get it now?"
