"お疲れさまで～す、プロデューサーさん♪","","Good work, producers!","","Good work, producer! ♪"
"お疲れ様、翼。
ルミナスの活動はどうだ？","","Good job, Wings.
How's Luminous doing?","","Good work, Wings.
How's Luminous doing?"
"えへへっ、サイコーにきまってるじゃないですか！","","Heh heh, it's just great, isn't it?","","Hehe, of course it is!"
"なんたって、憧れの美希先輩と
同じユニットに入れたんですから！","","After all, I was with Miki, the woman of my dreams.
We were put in the same unit!","","After all, I was able to join
the same unit as Miki-sempai!"
"美希先輩をお手本にして、わたしも
モテモテハッピーライフ目指して頑張りま～す♪","","I will follow Miki's example, too.
I'll do my best to live a happy, irresistible life!","","With Miki-sempai as an example, I'll do my
best to live a happy life of popularity~♪"
"……モテモテハッピーライフ？
まぁ、翼が美希に憧れているのはよく分かったよ","","...... A Motivating Happy Life?
Well, I understand Tsubasa's admiration for Miki.","","......happy life with popularity?
Well, I get that you admire Miki a lot."
"未来たち以外のメンバーの印象はどうかな？
個性的な子がいて、良い刺激になると思うんだけど","","What are your impressions of the other members of the group besides the Futures?
I think it's a good stimulus for some unique kids.","","What do you think of the other members?
I think it's a good inspiration to have someone so unique."
"はい！
みんなイイ人なんで、一緒にいて楽しいですよ～","","
Everyone is very nice and fun to be with!","","Yes!
They're all good people, so it is fun to be with them~"
"それは良かった。この調子で、
スターリットシーズンも頑張ろうな","","That's good to hear, keep it up,
Good luck with the Starlit season.","","That's good to hear. Keep up the
hard work in Starlit Season, too!"
"は～い！　……あ、プロデューサーさん、ユニットの
活動って、１２月まで忙しいカンジですか？","","Yes! ...... Oh, producers, the unit's
Are your activities going to be busy until December?","","Okay! ...Oh, Mr. producer...
Are you busy until December?"
"そうだな。ルミナスでのライブはもちろん、
レッスンや色々な仕事をする必要があるから","","Yes, of course, live at Luminous,
I need to do lessons and all kinds of work.","","That's right. Of course, we need to have a concert in
Luminous and take lessons or do various other jobs as well..."
"え～、何だか大変そう～。あんまり忙しいと、
ハッピーライフってカンジじゃないかも","","Oh, it sounds like a lot of work - if you're too busy,
Maybe it's not a happy life.","","Whaaat? That sounds like a lot of work. If you're too busy, it might
not be the best way to live your life in blissful ignorance"
"それに、仕事でスケジュールがいっぱいだと、
モテモテライフも遠のいちゃいそうですよね～","","Besides, he said, his schedule is full with work,
I'm afraid the irresistible life is going to be a long way off...","","Besides, if you're too busy with work and your schedule is full of stuff to keep up the
popularity around here. You might even get lost in life for a while longer than that~"
"……なあ、翼。そのハッピーライフとか、
モテモテライフっていったい何のことなんだ？","","...... Hey, Wings, that happy life and all,
What the heck is the irresistible life all about?","","......hey, Tsubasa. What's with that
happy life and the popular lifestyle?"
"ハッピーライフっていうのは、かわいい服を着たり、
おいしいスイーツを食べたりすることですよ♪","","A happy life means wearing cute clothes,
Eating delicious sweets....","","A happy life is about wearing cute
clothes and eating delicious sweets. ♪"
"それで、モテモテライフは、男の子から
ちやほやされちゃうカンジですかね～♪","","So, the irresistible life, from the boys.
I wonder if it's the feeling of being pampered...","","I guess that's why guys
love you so much in life. ♪"
"なるほど……。翼はアイドルを頑張って、
そのモテモテハッピーライフを目指してるってことか","","I see. ....... Good luck with your idol, Wings,
So you're aiming for that irresistibly happy life.","","I see... So Tsubasa's trying her best to be an idol
so she can live a happy life of popularity."
"そうですけど……。もしかしてプロデューサーさん、
わたしがアイドルをやる動機が不純だと思ってます？","","Yes, but ....... Maybe you are a producer,
Do you think my motives for being an idol are impure?","","That's true, but... Do you think my
motive for being an idol is impure?"
"そうだな……。モテモテハッピーライフが、
アイドル活動の動機っていうのは……","","Yes, .........the irresistibly happy life is,
The motive for idolizing is ......","","Let's see... The reason why a popular, happy life is the
motivation for idol activities would be because of that"
"とてもいいと思う","","I think it's very nice.","","I think it's very good."
"問題はないと思う","","I don't see the problem.","","I don't think it will be a problem."
"不純なような……","","Such as impure ......","","It's impure..."
"とてもいいと思うぞ。
俺も翼と同じ考えだからさ","","I think that's very nice.
I'm with Wings on this one.","","I think it's very good.
Because I'm thinking the same thing as you are."
"えっ、プロデューサーさんも
モテモテハッピーライフを目指してるんですか！","","What? Producer, too.
Are you aiming for a irresistibly happy life?","","Huh? You're trying to live a
happy life with popularity, too!"
"少し違うな。俺はルミナスを、みんなが楽しく活動
できて、ファンから愛されるユニットにしたいんだ","","I think Luminous is a fun activity for everyone.
I want to be able to do that, and I want this unit to be loved by the fans.","","Not quite. I want to make Luminous a unit that
everyone can enjoy and be loved by their fans!"
"なるほどー、確かにちょっと違うけど、似てますね！
プロデューサーさんと目標が似てて、嬉しいで～す♪","","I see - it's definitely a bit different, but similar!
I'm glad that you and Producer have similar goals.","","I see, it's definitely a little different but they look alike!
I'm so happy that you and Producer have similar goals~"
"問題はないと思うぞ。
個人個人、いろんな目標があるからな","","I don't see a problem with that.
Every individual has different goals.","","I don't think it will be a problem.
Individually, I have a lot of goals."
"ホントですか～。
プロデューサーさんって理解があるんですね♪","","Really?
You producers are so understanding... ♪","","Really?!
You're a producer, you know that? ♪"
"アイドルをやる理由は、それぞれみんな違うからな。
自分の目的を持っているのは、いいことだと思うぞ","","Everyone has different reasons for being an idol.
It's a good thing you have your own agenda, my friend.","","Everyone has different reasons for being an idol.
I think it's a good thing you have your own agenda."
"やっぱり、そうですよね。プロデューサーさん、
わたしの目標が叶うように、手伝ってくださ～い♪","","I knew it, didn't I, Mr. Producer?
Please help me achieve my goals!","","I knew it! Please help me make
my goal come true, producer. ♪"
"うーん。
率直に言うと、不純なような……","","Hmmm.
Frankly, it seems impure ......","","Hmm.
To be honest, it's impure..."
"え～、どこがですかー？
わたし、純粋な気持ちで言ってるんですよ～","","What?
I'm saying this out of the purest of hearts.","","Huh? What do you mean by that...
I'm saying this out of pure emotion~"
"えっ、ああ、そうだったのか……
モテモテって言葉が気になってな……","","What, oh, I didn't know that: ......
I'm curious about the term ""irresistible."" ......","","Huh? Oh, I see...
I'm curious about the word popularity..."
"わたしの目標だし、プロデューサーさんには、
分からなくてもいいですよー","","It's my goal, and for Producer,
You don't have to know!","","It's my goal, so you don't have to understand it yourself
as a producer. You know that much about me anyway~"
"いや、翼、俺の返事が悪かったよ。
ちゃんと翼を手伝うぞ！","","No, Wings, I'm sorry about my response.
I'll help you with the wings properly!","","No, Tsubasa. I'm sorry for not answering you properly...
I'll help you with the wings!"
"それじゃあ、モテモテハッピーライフ目指して
一緒に頑張りましょうね、プロデューサーさん♪","","Well, then, let's aim for a happy, irresistible life!
Let's work together, producer. ♪","","All right, let's do our best to live a
happy life of popularity together! ♪"
"ああ、一緒に頑張っていこうな！","","Yeah, we'll work hard together!","","Yeah, let's do our best together!"
"（モテモテハッピーライフ、か。
翼が目指しているものらしいけど……）","","(A irresistibly happy life, huh?
(It seems to be what the wings are aiming for, but ......)","","(Happy life with popularity, huh?
It seems to be what the wings are aiming for...)"
"（彼女がアイドル活動をする上で、
なにかしらの指針になるかもしれない）","","(On her idol activities,
(It might give you some guidance.)","","(Maybe it'll be a good guide
to her idol activities.)"
"（具体的なことを考えるためにも、
少し意識して、翼の様子を見ることにしよう）","","(And to think about specifics,
(Let's be a little conscious and watch the wings.)","","(I'll have to be a little more conscious
of it, so I can think about the details.)"
"（レッスン中の翼に会いに行くことにした……）","","(I decided to go see Wings during the lesson: ......)","","(I decided to go see Tsubasa during class...)"
"あ、プロデューサーさん。
お疲れさまで～す♪","","Oh, Mr. Producer.
Thanks for your hard work........","","Oh, it's Producer.
Good work~♪"
"あれ？　こんなところでどうしたんだ、翼。
レッスン中じゃないのか？","","Huh? What's going on here, Wings?
Aren't you in the middle of a lesson?","","Huh? What are you doing here, Tsubasa.
You're not in the middle of a lesson?"
"はい。課題のダンス、完璧に覚えちゃったんで
先にあがりました♪","","Yes, I have memorized the dance assignment perfectly.
I went up first.","","Yes. I've memoRinzed the dance for my
homework perfectly, so we left first♪"
"あ、上がりましたって……。
レッスンはまだ、終わっていないんだろ？","","Oh, he said it went up. ......
The lesson isn't over yet, is it?","","Oh, I'm done...
Your lesson isn't over yet, is it?"
"そうですけど……トレーナーさんも
わたしのダンス、完璧だって言ってくれたんですよ","","Yes, but also ...... trainers.
He said my dancing was perfect.","","That's true, but... The trainer
said my dance was perfect."
"それに、できることを何度も繰り返しやるのって
意味ないですし、ぜんぜん楽しくないですよ～","","Besides, how many times do you have to do what you can do over and over again?
It doesn't make sense, and it's no fun at all!","","Besides, it'd be pointless to just keep doing what we can over and
Over again. It wouldn't have been any fun at all if you did that for me~"
"楽しくなくても、
勝手に途中で切り上げちゃダメだろ？","","Even if you don't enjoy it,
You can't just cut them off in the middle without permission, can you?","","Even if you don't enjoy it, I can
still stop halfway through."
"え～。なんでですかー！
レッスンは完璧なのに……","","What?
The lesson is perfect, but ......","","Whaaat? Why not!
My lessons are perfect..."
