"（春香と千早が何やら話をしているようだ……。
それにあそこにいるのは……）","","(Haruka and Chihaya are talking about something. ......
(And that's ......) over there.","","(Haruka and Chihaya seem to be talking about something...
And that person over there...)",""
"千早ちゃん！
この前話した海外ドラマ、もう見た？","","Chihaya!
Have you seen the foreign dramas we talked about last time?","","Chihaya-chan!
Have you seen the foreign drama we talked about before?",""
"ええ……主題歌がいい曲だったわ","","Yeah, ...... theme song was a great song.","","Yes... It was a good theme song.",""
"内容はどうだった？　ヒロインの女の子の
気持ちとか、ドキドキしなかった？","","How was the content? The heroine's girl.
Didn't you get a feeling or a thrill?","","What did you think of the story? Didn't it make
your heart race, being a heroine and all.",""
"ドキドキというか、ハラハラはしたわね。
あの子、この後どうなってしまうのかしら……","","I was thrilled, or rather, on the edge of my seat.
I wonder what's going to happen to that girl after this: ......","","I'm not sure if it was excitement, but my heart is racing.
I wonder what will happen to that girl after this...",""
"今後の展開もすごいんだよ！
だから、この次も見てほしいな","","It's amazing what we're going to do in the future!
So I hope you'll see this next one.","","The future development is also amazing!
That's why I want you to see it again.",""
"ええ。あ、そうだ、春香。主題歌のＣＤを
買いたいのだけど、もう発売しているかしら？","","Yes, Haruka, I need the CD of the theme song.
I would like to buy it, but I wonder if it is already on sale?","","Yes. Oh, by the way Haruka... I'd like to
buy a CD with its theme song already on sale?",""
"え～っと、たしか、出てたと思う！
それじゃ、今度のお休みの日に買いに行こうよ","","Let's see, I think I was out!
Well then, let's go buy some on your next day off.","","Let's see, I think it came out!
Well then, let's go buy some on our next day off.",""
"いいわね","","That's nice.","","That's a good idea.",""
"……春香さんと千早さんって、
すごく仲がいいんですね","","...... Haruka and Chihaya?
You are very close.","","Haruka and Chihaya
are really close, huh?",""
"あ、心白ちゃん！　えへへっ、改めて言われると
なんだか照れちゃうね、千早ちゃん！","","Ah, Shinbaku-chan! Ehehehe, you say that again.
I'm kind of embarrassed, Chihaya!","","Oh, Kohaku! Heheh. You're making me
blush now that you mention it again...",""
"そ、そうね……","","Well, yes. ......","","Y-You're right...",""
"おふたりは、普段はどんなところに
遊びに行くんですか？","","What kind of place do you two usually go to?
Are you going to play?","","What kind of places do
you two usually go to?",""
"うーん、その時の気分次第で色々な所に行くかな？
この前は……ふたりでカラオケに行ったよね","","Hmmm....maybe I'll go to different places depending on how I'm feeling at the time?
Last time we went to ...... you two went to karaoke.","","Hmm, I guess we'll go to a lot of places depending on how you feel then.
Last time... we went to karaoke together, right?",""
"そうだったわね","","Oh, yes.","","You're right.",""
"千早ちゃん、採点で１００点がなかなか取れなくて、
ずーっとマイクを放さなかったっけ","","Chihaya, I had a hard time getting 100 points in grading,
I don't remember you letting go of the microphone the whole time.","","Chihaya-chan couldn't get a perfect score,
so she never let go of the microphone.",""
"ち、ちょっと、春香？","","Hey, hey, Haruka?","","H-Hey, Haruka?",""
"えへへ。
でも最後はしっかり１００点出してたよね","","Heh heh.
But you did score a solid 100 at the end.","","Heheh.
But in the end, you gave it 100 points.",""
"……そういう春香だって、テストで悪い点を取った
ストレス発散だ、ってずっと歌ってたと思うけど","","......Even Haruka like that got a bad score on a test.
I think they sang all the time, ""It's a stress reliever.","","...I think Haruka was singing about how she got
a bad score on her tests to relieve stress, too.",""
"ち、千早ちゃんっ！","","Chihaya-chan!","","Chihaya-chan!",""
"ふふ、ご、ごめんなさい","","Oh, I'm sorry.","","Heheh. S-Sorry about that",""
"ふふっ……お互いに自然体でいられる。
春香さんと千早さんは、そういう関係なんですね","","Phew ...... we can be natural with each other.
Haruka and Chihaya have that kind of relationship.","","Haha... We'll both be able to act naturally.
Harukasan and chihaya are like that, huh?",""
"自然体かぁ……。あんまり考えたことなかったけど、
たぶんそうなのかも","","I never really thought about it. ......
Maybe so.","","A natural state of mind, huh? I've never really thought about it
before. That might be the case for me as a person at this point",""
"そうね。
春香と一緒にいると、私も落ち着くもの","","Yes, I think so.
I feel at home when I'm with Haruka.","","That's true.
When I'm with haruka, it makes me feel at ease.",""
"うらやましいです！　私も、みなさんと
そうなれたらいいなって思います……","","I'm jealous!
I wish I could. ......","","I'm so jealous! It would be nice if we
could all become like that, too...",""
"ねぇ、心白ちゃん。次のお休みって、空いてる？
私たちと一緒にお買いものに行かない？","","Hey, Shinpaku, are you free on your next day off?
Would you like to go shopping with us?","","Hey, Kohaku. Are you free on your next day off?
Would you like to go shopping with us?",""
"え？　あの……お邪魔していいんですか？","","What? Um, ......, am I interrupting?","","Huh? Um... Is it okay for me to come in here like this?",""
"もちろん、心白が良ければ","","Of course, if the heart white is good enough.","","Of course, if you're okay with it.",""
"は、はいっ。よろしくお願いします！","","Yes, yes, thank you very much!","","Y-Yes, please do!",""
"（心白も、この調子で他のみんなとも
どんどん仲良くなってほしいな……）","","(Shinbaku, too, keep up the good work with everyone else.
I hope they get to know each other better and better (......)","","(I hope Kohaku gets along with
the others like this, too...)",""
"（おや、談話スペースにいるのは、美希たちか。
みんなして、どんな話をしているんだろう……）","","(Oh, is that Miki and the others in the common space?
I wonder what everyone is talking about (......)","","(Oh, it's Miki and the others in that lounge.
I wonder what everyone's talking about...)",""
"それでね、ミキ的にはお昼寝をした後のほうが
お仕事がうまくいくって思うの","","So, you know, from Miki's point of view, it's more after a nap.
I think your work will go well.","","So, Miki thinks it's better
to work after taking a nap.",""
"ねぇねぇ、甜花と咲耶はどう思う？","","Hey, hey, what do Tetuka and Sakuya think?","","Hey, what do you think about Tenka and Sakuya?",""
"て、甜花も……お昼寝したほうが、
調子いい……かも……","","I think you should take a nap at ......, too,
I'm on a roll ...... or ......","","T-Tenka... I think it'd be better if you took a nap, too.
It might feel good to take one of yours off my hands as well",""
"あはっ☆
甜花もミキと同じなの♪","","ahaha*
Beet Hana is the same as Miki... ♪","","Aha!☆
Tenka is the same as miki.♪",""
