"みんな、集まったな。
まずは……デビューライブ成功、おめでとう！","","Well, guys, we're here.
First of all, congratulations on the success of your ...... debut show!","Everyone's here. First,
congratulations on your successful debut concert!","Everyone's here. First of all... congratulations
on your debut live's success!"
"わ～い！　ありがとうございます！
早く次のライブもやりたいですね！","","Wow! Thank you very much!
I can't wait to do the next show!","Yaaay! Thank you so much! I
can't wait for the next concert!","Yay! Thank you very much!
I can't wait for the next live!"
"うん！　それに、新しい曲にも
もっとチャレンジしていきたいよねー！","","Yeah! And for the new song.
I'd like to challenge myself more!","Yeah! And I want to
try out new songs, too!","Yeah!
Besides, I want to try more new songs!"
"新曲もいいね★　だけど、その前にもっと
ルミナスの知名度を上げてかないとまずくない？","","New songs are nice★ But before that, more!
Wouldn't it be bad if we don't raise the profile of Luminous?","A new song would be nice★ But first, we need
to make Luminous more famous, don't we?","A new song would be nice★ But before that, we
need to improve Luminous's reputation, right?"
"そうだな。そのためにも、
地道に活動を続けていこう","","Yes, for that matter,
Let's continue our activities steadily.","That's right. For that reason,
let's continue our activities steadily","Yeah. For that reason,
let's continue our activities steadily."
"はい！　もっと、ルミナスのことを
知ってもらえるように、みんなで頑張りますね","","Yes! More luminous.
We'll all do our best to make sure you know about it.","Yes! We'll all do our best to
help you learn more about Luminous","Yes!
We will all do our best to get to know each other."
"うっきゃー！　きらりん、楽しくなってきたにぃ☆
次のライブ、まだかな、まだかなぁ～？","","Kirarin, I'm starting to have fun!
The next gig, I wonder if it's ready yet, or not?","Ukyaaa! Kirarin, it's starting to be fun☆ The
next concert isn't over yet, is it? Not yet?","Ukyaaa! Kirarin is starting to enjoy this☆
I wonder when next will be~?"
"ああ、早速次のライブのことなんだけど、
実は……","","Oh, about the next gig as soon as possible,
Actually ......","Yeah, about the next
concert right away, actually..","Yeah, about the next live,
actually..."
"――少し邪魔させてもらうわよ！","","--I'm going to have to interrupt you for a moment!","—I'm going to get in your way for a bit!","--I'm going to have to interrupt you for a minute!"
"な、なんだ！？　って、君は……","","What, what the hell? And you're at ......","Wh-What?! Wait, you're..","Wh-What?! Wait, you're..."
"プロデューサーさん。あの子って、
９６１プロの新しいユニットの……","","Producer...that girl..,
The new unit of 961 Pro: ......","The producer. She's the
new st Pro unit..","Producer-san. That girl is from
961Pro's new unit..."
"はい、『ディアマント』の亜夜、ですね。
……ええと、事務所に用でしたら――","","Yes, the sub-night of ""Diamant"", yes.
...... Uh, if you need me in the office--","Yes, Aya of the Diamantics, right?
...Umm, if you need to go to the office..","Yes, you're Aya from Diamant, right?
...Uh, if you have business with the agency--"
"……ふん、あなたは関係ないわ！
あたしが用があるのは……心白、あなたよ！","","...... Hmmm, you're not involved!
I'm here for you, ......, Xinhaku, you're the one!","...Hmph, you have nothing to do with this!
I have business with...Kohaku, you!","...Hmph, I have nothing to do with you!
I have business with... you, Kohaku!"
"え、心白ちゃん……ですか？","","What, are you ......, Shinbaku-chan?","Huh? Kohaku-chan...?","Huh? Kohaku-san...?"
"亜夜ちゃん……。
あの……どうして、ここに？","","Aya. .......
That ...... Why are you here?","Aya... Um...
Why are you here?","Aya-chan...
Um... What are you doing here?"
"どうして……？
それは、あたしのセリフよ！","","Why ......?
That's my line!","Why...? That's
my line!","Why...?
That's my line!"
"あなた、なんでアイドルやってるの？","","Why are you an idol?","Why are you an idol?","Why are you an idol?"
"え、なんで……って言われても……","","What? Why do they say ......? ......","Huh? Why...? But..","Huh? Why...? I don't know..."
"……答えられないわけ！？　あり得ないわ！
そんな生半可な気持ちで戻ってきたのね……！","","So you can't answer ......! That's impossible!
You came back with such half-heartedness. ......","...You can't answer?! That's impossible! You
came back with such half-hearted feelings...!","...You can't answer that?! I didn't know you'd
come back with such half-baked feelings...!"
"あなたがいなくなってからも、
あたしはアイドルを続けるために努力してきたわ","","Even after you are gone,
I've been working hard to keep my idolhood going.","Even after you're gone, I've been working
hard to continue being an idol","Even with you gone, I've been working hard
to continue being an idol."
"あれからずっと、下積みを続けて……、
辛いことにも耐えてきた……","","Ever since then, I've been working my way down to ......,
I've endured a lot of hardship: ......","Ever since then, I've been piling up all over
the place...and enduring all the hardships..","Ever since then, I've been working my way up...
I've endured so much pain..."
"ここは……アイドルは、今までなにもしてこなかった
あなたが、気楽に戻っていい場所なんかじゃない！","","This is where ...... idol has done nothing so far.
It's not a place you can comfortably go back to!","This...isn't a place where you, an idol who's never
done anything before, can go back to being carefree!","This is not a place for an idol who hasn't done
anything until now. you can't just go back easily!"
"…………","............","…………","…………","…………"
"軽い気持ちじゃアイドルなんてやれないってこと、
あたしが教えてあげる","","That you can't be an idol with a light heart,
I'll teach you.","I'll teach you that you can't be
an idol if you feel lighthearted","I'll teach you that you can't be an idol
when you're lighthearted."
"事務所の垣根を越えたユニットだかなんだか
知らないけど……あたしたちは、必ず上にいくわ！","","It's a unit that crosses office boundaries or something.
I don't know, but ...... we'll get up there, I promise!","I don't know if it's a unit that crosses the boundary
of the office, but... We'll definitely go up there!","I don't know what's up with your cross-firm unit,
but... we're definitely going to the top!"
"絶対に越えられない壁っていうのを
見せてあげるから、覚悟しなさい！","","The wall that can never be crossed.
I'll show you, so be prepared!","I'll show you that it's an
insurmountable wall, so prepare yourself!","I'll show you that it's an insurmountable wall,
so prepare yourself!"
"（なんとも、すごい勢いだったな……。
心白と亜夜、それに９６１プロ。気になるな……）","","(What an amazing momentum that was. .......
(Mind White and Aya, plus 961 Pro. I'm curious. ......)","(That was a lot of energy... Kohaku,
Aya, and  professionals. I'm curious...)","(That was a lot of energy... Kohaku, Aya,
and 961Pro. Now I'm curious...)"
"ねぇ、さっきのあの子、なんだったの？
いきなりやって来て、心白に突っかかってたけど","","Hey, what was that girl just now?
He came in out of the blue and was poking around at Xinbai.","Hey, what was that girl just now? She'd
come out of nowhere and poked at Kohaku","Hey, what was with that girl just now? She came
out of nowhere and harassed kohaku."
"なんだか、すっごく怒ってたの","","He was kind of mad at me.","For some reason, I was really angry","For some reason, it made me really angry."
"あ！　あの人、前にＴＶで
見たことありますよ～！","","Oh! That man was on TV before.
I've seen it!","Oh! I've seen
him on TV before!","Ah! That girl...!
I've seen her on TV before!"
"甘奈も見たよ～。９６１プロで
新ユニットを組むっていうニュースだよね","","I saw Amana too - at 961 Pro.
It's news that they're putting together a new unit.","I saw it too, Amana. The news about a new unit
being formed by  professionals, right?","Amana saw it too. From the news that 961Pro
are forming a new unit, right?"
"て、甜花も……見た……！","","I saw ......, and I saw ......, and I saw ......, and I saw ......, and I saw ......!","T-Tenka... saw it too...!","T-Tenka... saw it too...!"
"でも、そんな人がどうして……。
心白さんは、亜夜さんとお知り合いなんですか？","","But why would someone like that go to ......?
Are you acquainted with Mr. Shinbaku, Aya?","But why would someone like that...
Kohaku-san, do you know Aya-san?","But why would someone like that...?
Do you know Aya-san, Kohaku-san."
"はい……。実は私、亜夜ちゃんと一緒に
９６１プロでアイドルをしていたんです","","Yes, ....... Actually, I'm with Aya.
I was an idol at 961 Pro.","Yes... Actually, I was working
with Aya as an idol at ","Yeah... Actually,
I was an idol at 961Pro with Aya-chan."
"ただ、事情があって辞めてしまって……。
だから、アイドルだったのは少しの間だけなんです","","However, I had to quit due to circumstances. ......
So I was an idol for a little while.","But, due to certain circumstances, I quit...
So, I only became an idol for a short time","But I had to quit because of circumstances...
So I was only an idol for a little while."
"でもさ。すぐに辞めたのに、
なんであんな風に敵意を持たれてるの？","","But you know what, I quit right away,
Why is he being hostile like that?","But you know, I quit right away, so
why is he so hostile toward me?","But. you quit right away,
Why is she so hostile?"
"それは……。
……いえ、分かりません","","It can be found at .......
...... no, I don't know","That's... No,
I don't know","Well...
...No, I don't know"
"あそこまで強い感情をぶつけられて、
心当たりがないものなのでしょうか……","","I was hit with such strong emotions,
Is it something you don't have any idea about? ......","I wonder if he has any idea what he's
going through with all that emotion..","I'm just wondering if you have any idea
what it's like to be hit with such strong emotions."
"（心白は真面目な子だし、
恨まれるようなことはないと思うんだが……）","","(And Xinbai is a serious girl,
I don't think it's anything to be resented (......)","(Kohaku is a makoto girl, so I don't think
he'll hold a grudge against me...)","(She's a serious girl, so I don't think she'll
hold a grudge against her...)"
"ごめんなさい。
私のせいで、なんだか変なことに……","","I'm sorry.
It's kind of weird because of me: ......","I'm sorry. It's because of me that
something strange happened..","I'm sorry. It's all my fault that
something strange happened..."
"気にしないで、心白ちゃん。
みんな、少し驚いただけだから","","Don't worry about it, Shinbaku.
We're all just a little surprised.","Don't worry about it, Kohaku-chan.
Everyone was just a little surprised","Don't worry about it, Kohaku-san.
Everyone was just a little surprised."
"そうだな、ここは気持ちをきりかえていこう。
ルミナスにはやるべきことが、たくさんあるからな","","Yes, let's change our minds here.
Luminous has a lot of work to do.","Yeah, let's get out of here.
Luminous has a lot to do","Yeah, let's switch gears here.
Luminous has a lot to do."
"はいなの！　それで、プロデューサー。
ミキたちこれからどうするの？","","So, producer.
What are you going to do now, Miki and the others?","Yes! So, producer. What are
you guys going to do now?","Yes! So, producer.
What are you and Miki going to do now?"
"今月はルミナスの単独ライブをやろうと思う。
少し早いが、ここでファンを増やしておきたいんだ","","I think I will do a solo show for Luminous this month.
I know it's a little early, but I'm trying to build up my fan base here.","I'm thinking of doing a solo concert for Luminous this
month. It's a little early, but I want to get more fans here","I'm thinking of a Luminous solo live soon.
It's a little early, but I want to build our fan base."
"単独ライブですか！　さすがプロデューサーさん！
すごく素敵なアイディアだと思います！","","A solo live concert! As expected of you, Mr. Producer!
I think it is a very nice idea!","A solo concert?! That's our producer
for you! I think it's a wonderful idea!","A solo live?! That's producer-san for you!
I think it's a wonderful idea!"
"私たちの単独ライブ……。
絶対に、成功させないと……！","","Our solo show .......
Absolutely, we need to make it work. ......","Our solo concert... We have
to make it a success...!","Our solo live...
We have to make it a success...!"
"静香ちゃん、大丈夫だよ！
みんながいれば、怖いものなしだって！","","Shizuka, it's okay!
He said, ""With everyone here, there's nothing to be afraid of!","Shizuka-chan, don't worry! As long as
everyone's here, there's nothing to be afraid of!","Shizuka-chan, don't worry! As long as
everyone's here, there's nothing to be afraid of!"
"自分もいい考えだと思うぞ！　ファンのみんなに
たくさん見てもらいたいしね！","","I think it's a great idea myself! To all the fans.
And I want people to see a lot of it!","I think it's a good idea! I
want all my fans to see it!","I think it's a good idea!
I want all of our fans to see it!"
"わたしも賛成でーす！　あ、そうだ！　ライブを
するってことは、また新しい曲があるんですか～？","","I agree with you!
If you do, does that mean you have another new song~?","I'm all for it! Oh, that's right! If you're going to
do a concert, does that mean you've got another song?","I agree! Oh, that's right! If we're doing a live,
does that mean there's another new song~?"
"新曲に関しては、まだ準備している途中なんだ。
ちょっと進行が遅れててな……","","As for new songs, we are still in the process of preparing them.
I'm a little behind on my progress. ......","As for the new song, I'm still in the middle of
preparing. I've been a little slow on the uptake..","I'm still in the middle of preparing for the
new song. I'm a little late in progress..."
"ギリギリになってしまうかもしれないが、
期待して待っていてくれ","","It may be just in time,
Wait and see what happens.","I might just barely make it, but
I hope you'll look forward to it","I know it's going to be a close call,
but I hope you'll look forward to it."
"やったっ☆
どんな曲か楽しみだね、甜花ちゃん！","","☆ Gotcha!
I'm looking forward to hearing what kind of music you have in mind, beet!","Yay☆ I'm looking forward to seeing what
kind of song it is, Tenka-chan!","Yay☆ I can't wait
to see what kind of song it is, Tenka-chan!"
"にへへ、甜花も……楽しみ……
……でも、甜花……ちゃんと、できるかな……","","Nhehe, beet flowers are also ...... fun ......
...... but can you do it ...... properly, even if it's a beet ......","Nihehe, I'm looking forward to it... too...
...But, Tenka... I wonder if I can do it properly..","Nihihi, Tenka too... look forward to it... But,
Tenka... wonder if I could... do it properly..."
"新曲に関しては、出来てからってわけね。
じゃあ、準備できるまでは基礎のレッスンかしら？","","As for the new songs, I'll wait until they're done.
So, maybe a basic lesson until you're ready?","As for the new song, we'll have to wait until it's done.
So, until we're ready, will you be teaching me the basics?","We'll have to wait until the new song is done.
So, until it's ready, we'll have a basic lessons?"
"ああ。それに、本格的に営業活動も始めるぞ。
もっとルミナスのことを宣伝していかないとな","","Oh, and we're going to start doing some serious sales work.
We need to promote Luminous more.","Yeah. And we're going to start doing business
in earnest. We need to advertise Luminous more","Yeah. Besides, we're going to start doing sales
work. We need to advertise Luminous more."
"ククク……よかろう。
我が名声、天界まで轟かせてみせるわ！","","Kukuku ...... good.
My fame, I will make it roar all the way to the heavens!","Hehehe... Very well. I'll make
my fame known to the heavens!","Kukuku... Very well.
I will make my fame known to the heavens!"
"（はい、頑張っていきましょう！）","","(Yes, let's go for it!)","(Okay, let's do our best!)","(Okay, let's do our best!)"
"……あの……プロデューサーさん。
今、大丈夫でしょうか？","","...... that ...... producer.
Are you okay now?","Umm... Are you sure you're
okay right now, producer?","...Um... Producer-san. 
Are you all right?"
"はい、大丈夫ですよ。
どうかしたんですか？","","Yes, it's okay.
Is something wrong?","Yes, I'm fine.
What's wrong?","Yes, I'm fine.
What's wrong?"
"今、作曲家さんの方から連絡があったのですが、
先方にトラブルがあったようで……","","I just heard from the composer,
There seems to have been some trouble on the other end of the line. ......","I just got a call from the
composer, but he seems to be in trouble..","I just got a call from the composer, but it seems
there's been trouble with them..."
"前々から話は伺っていましたけど、やっぱり新曲の
完成が遅れてしまうそうなんです","","I've been hearing about it for a while, but I knew that the new song
They say it will delay the completion of the project.","I've heard about it for a while now, but
it seems that the new song will be delayed","It seems that the completion of the
new song will be delayed after all."
"それは……困りましたね……","","That's ...... troubling ......","That's... a problem..","That's... troubling..."
"うーん……","","Hmmm ......","Hmm..","Hmm..."
"……プロデューサーさん？　なんだか難しい顔を
していますけど、どうかしたんですか？　","","...... producer? You look kind of difficult.
I'm doing it, what's wrong?","...Producer? You look a little troubled.
Is something the matter?","...Producer? You look a little conflicted.
Is something the matter?"
"いかが……なさいましたか……","","How did you ...... ......","Is... something the matter...?","Is something the matter...?"
"実は、作曲家さんの方で少しトラブルがあって、
新曲の完成が遅れてしまっているんだ","","Actually, there was a little trouble with the composer,
I'm behind on finishing my new song.","Actually, there's been a bit of trouble with the
composer, and the new song has been delayed","Actually, there's been a bit of trouble with the
composer, and the new song has been delayed."
"トラブル、ですか……。
それなら、仕方ないとは思いますけど……","","Trouble, or .......
Then I guess I don't have a choice but to ......","Trouble, huh...? I don't think there's
anything we can do about that..","Trouble, huh...
In that case, I don't think it can be helped..."
"このままだと、月末のライブに間に合わない。
なにか別の手立てを考えないと……","","If we don't do this, we won't be able to make it to the live show at the end of the month.
We need to come up with something else: ......","At this rate, we won't make it to the concert at the end
of the month. We need to come up with something else..","We won't make it to the concert at the end of
the month. We'll have to do something else."
"あぅ、新曲……","","Ah, new music: ......","Ah, a new song..","Ah, a new song..."
"甜花さん……、私も同じ気持ちです……","","Beet Hana, ......, I feel the same way: ......","Tenka-san... I feel the same way..","Tenka... I feel the same way..."
"甜花、紬、新曲が遅れても、
なんくるないさー！　ね、雪歩？","","Even if the beet, pongee, and new songs are delayed,
Nothing to worry about!","Tenka, Tsumugi, there's no point in
delaying a new song! Right, Yukiho?",""
"そうだね、響ちゃん。月末まで時間はあるから、
私たちにできることを考えましょう！","","Yes, Hibiki-chan, we have time until the end of the month,
Let's think about what we can do!","That's right, Hibiki. There's still time until the end
of the month, so let's think about what we can do!",""
