"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"ルミナスの調子はどうかね？","How is Luminous doing?","How's Luminous doing?","How is Luminous doing?",""
"はい。今のところ順調です。
みんな、一生懸命頑張っていますよ！","Yes. Things are going well so far! Everyone's doing their best to keep up the good work as we speak..","Yes, so far so good.
Everyone is working very hard!","Yes. Things are going well so far! Everyone's
doing their best to keep up the good work as we speak...",""
"『スターリットシーズン』はまだまだ長いです。
次は夏の月末イベント『サマードルフィン』ですから","The “Starlit Season” is still a long way off, since the next event will be Summer's end-of---Summer Dolphin","The ""Starlit Season"" is still long in the tooth.
The next event is ""Summer Dolphin,"" which will be held at the end of the summer.","The ""Starlit Season"" is still far from over, 
Next up is the summer month-end event, ""Summer Dolphin"".",""
"この７月を乗り切るため、
みんなのやる気は十分です！","Everyone's motivated enough to make it through July!","To get through this July,
Everyone is fully motivated!","Everyone's motivated
enough to make it through July!",""
"うむ。
気合い充分で頼もしい限りだ","Indeed. I can count on you to get fired up and ready for anything, at the very least""","Mm.
He's got a lot of spirit. I'm very proud of him.","Indeed. I can count on you to get fired up
and ready for anything, at the very least",""
"ああ、それから、更なるレッスンを行うべく、
来月に夏合宿の準備を進めている","Oh, and I'll be preparing for the summer training camp next month to give you more lessons","Oh, and to give further lessons,
Preparations are underway for a summer camp next month.","Oh, and I'll be preparing for the summer training
camp next month to give you more lessons",""
"夏合宿、なるほど……。
ありがとうございます、社長！","A summer training camp, I see... Thank you very much!","Summer camp, I see. ......
Thank you, Mr. President!","A summer training camp, I see...
Thank you very much!",""
"今月の『サマードルフィン』通過に
向けて頑張ります！","I'll do my best to pass through Summer Dolphin this month!","In passing this month's ""Summer Dolphin"".
I will do my best for the future!","I'll do my best to pass through
Summer Dolphin this month!",""
"君たちには期待しているよ。
では、今月もしっかり励んでくれたまえ","I expect great things from all of you. Well then, do your best this month as well","I have high hopes for you guys.
Well, good luck this month!","I expect great things from all of you.
Well then, do your best this month as well",""
"はい、任せてください！","Yes, leave it to me!","Yes, I'll take care of it!","Yes, leave it to me!",""
"……そういえば、社長","...By the way, President","...... Speaking of which, Mr. President.","...By the way, President",""
"春には参加していなかった、
ディアマントが緊急参戦するんですね","The Diamant who didn't participate in the spring will be joining us","They did not participate in the spring,
So Diamant is going to make an emergency entry.","The Diamant who didn't participate
in the spring will be joining us",""
"ああ、彼女たちは特別扱いだ","Yeah, they're getting special treatment","Yeah, these girls get special treatment.","Yeah, they're getting special treatment",""
"ディアマントにはオーバーランクの玲音君や、
あの詩花君も所属している","Overranked Leon and Shika also belong to the Diamant","Leon, who is over-ranked in Diamant and,
You belong to that Shika-kun, too.","Overranked Leon and Shika
also belong to the Diamant",""
"それに、９６１プロの圧倒的な実績から、
実質シード枠の扱いになっているのだよ","Besides, the overwhelming achievements of  professionals have led them to treat you as a Seed slot in practice.""","Besides, from the overwhelming track record of 961 Pro,
They're treating it as a real seed slot.","Besides, the overwhelming achievements of  professionals
have led them to treat you as a Seed slot in practice.","Moreover, due to the overwhelming achievements of 961 Pro,
we are practically being treated as a seeded team."
"ああ、なるほど……そういうことでしたか","Ah, I see... So that's how it is","Oh, I see. ...... that's what you meant.","Ah, I see... So that's how it is",""
"ありがとうございます。
納得しました","Thank you very much. I understand now","Thank you very much.
I'm convinced.","Thank you very much.
I understand now",""
"うむ、それはよかった。
……では、これからもルミナスをよろしく頼むよ！","That's good to hear. ...Well then, please take care of Luminous from now on!","Mm, that's good to know.
Please keep up the good work with Luminous at ......!","That's good to hear. ...Well then, please
take care of Luminous from now on!","Yes, that's good to hear. ...Well then, 
I'm counting on you to take care of Luminos from now on!"
"はい！","Yes!","Yes!","Yes!",""
"おっと、もうひとつあった。
奥空君の件だ","Oh, there was one more thing. It's about Okuzora-kun..","Oops, there was one more thing.
It's about Mr. Okumora.","Oh, there was one more thing.
It's about Okuzora-kun..",""
"夏までに結論を、と眞弓君が言っていたが、
どうかな。問題は解決できそうかね？","Mayumi-kun told me to reach a conclusion by summer, but I don't know. Do you think we can solve the problem?","Mayumi said that the conclusion should be reached by summer,
I don't know; do you think we can solve the problem?","Mayumi-kun told me to reach a conclusion by summer,
but I don't know. Do you think we can solve the problem?",""
"（そう……もう夏だ、奥空さんから言われていた
回答期限が近付いている……）","(I see... It's already summer, according to Okuzora. The deadline for my answer is drawing near ...)","(So ...... it's already summer, Okuora told me.
(Response deadline approaching ......)","(I see... It's already summer, according to
Okuzora. The deadline for my answer is drawing near ...)",""
