"今月末は『ハロウィンオータム』だ。
みんな、今月も気合いを入れて頑張ろう！","","The end of this month is ""Halloween Autumn"".
Let's all keep our spirits up this month!","","I'll be 『Halloween Autumn』 at the end of this month.
Everyone, let's do our best this month too!","The end of this month is ""Halloween Autumn"". 
Let's put in our best effort this month, everyone!"
"もちろん、今月の目標ファン人数も重要だ。
忘れないように、活動していこう","","Of course, the target number of fans for the month is also important.
Let's not forget, let's be active.","","Of course, the number of fans this month is also important.
Let's not forget to work.","Of course, this month's goal of the number of fans is also important. 
Let's not forget and keep working hard."
"ウサミン星のみんなを呼べたら、
達成なんてあっという間ですけど……","","If we could call everyone on the planet Usamin,
It doesn't take long to accomplish this, though: ......","","If we could call everyone from the planet Usamin, it would be over in no time...","If we could call everyone from the
planet Usamin, it would be over in no time..."
"でも、ナナたちを応援してくれるファンを
もっともっと増やしていきたいですよね！","","But we need fans to support our Nana and her friends.
We would like to add more and more!","","But, I want to get even more fans who support Nana and the others!","But, I want to get even more fans
who support Nana and the others!"
"そのためには、もっともっと
努力を積み重ねないといけないですね","","For this reason, we need more and more
I have to keep working on it.","","In order to do that, we'll need a lot more effort than this.","In order to do that, we'll need
a lot more effort than this."
"ファンのみなさんに喜んでもらえるように、
今月も頑張りましょう！","","I hope that the fans will be happy,
Let's keep up the good work this month!","","Let's do our best this month so that the fans will be happy!","Let's do our best this month so
that the fans will be happy!"
"ああ、そうだな！
今月も、よろしく頼むぞ！","","Yeah, I know!
I look forward to working with you again this month!","","Yeah, you're right!
I'm counting on you again this month!",""
"プロデューサーさん、お話し中すみません","","Excuse me for interrupting, producer.","","I'm sorry to interrupt, producer.",""
"音無さん、なにかありましたか？","","Mr. Otonashi, is there something wrong?","","Otonashi-san, did something happen?",""
"社長がお呼びです。
なんでも新曲のデモテープを渡したいって……","","The president would like to see you.
He wants to give you a demo tape of his new song ......","","The president wants to see you.
She said she wanted to give you a demo tape for her new song...",""
"分かりました。すぐに行きます","","Okay, I'll be right there.","","Understood. I'll be right there!",""
"わぁ♪　新曲、早く聞いてみたいです！","","Wow...I can't wait to hear the new song!","","Wow♪ I can't wait to hear a new song!",""
"はぴはぴで、楽しい曲かにぃ～？
うーん、それともそれとも～☆　うっきゃー♪","","Is it a fun song?
Hmmm...or...or...or...or...or...or...or...or...or...","","A happy song, huh?
Hmm, or maybe ☆ Ukyaa-♪",""
"ま、どんな曲でも、この伊織ちゃんが、
簡単に歌いこなしてあげちゃうんだけどね♪","","Well, whatever the song, this Iori,
I'd easily sing it for you.Â","","Well, Iori-chan can easily sing any song for you.♪","Well, Iori-chan can
easily sing any song for you.♪"
"ああ、楽しみに待っていてくれ。
それじゃ、行ってくる","","Yeah, look forward to it.
Well, I'm off then.","","Yeah, I'll be looking forward to it.
Well, I'm off.",""
"はーい","","Yes.","","Yes?",""
"ええ","","Yeah, I know.","","Yes.",""
"（俺も楽しみだ。
どんな楽曲が待っているんだろう……！）","","(I'm looking forward to it too.
(I wonder what kind of music awaits us at ......!)","","(I'm looking forward to it too.
I wonder what kind of music awaits us...!)",""
"忙しいところすまないね。これが、
『ハロウィンオータム』で披露してほしい新曲だ","","Sorry to interrupt your busy day, but here it is,
It's a new song I'd like to see performed at ""Halloween Autumn.""","","I'm sorry to bother you at such a busy time. This is...
It's a new song I want you to play on 『Halloween Autumn』.",""
"早速聞いて、
君の感想を聞かせてくれないかな","","Hear me out as soon as possible,
I'd be interested to hear your thoughts on this.","","I'd like to hear what you think. ∴","I'd like to hear
what you think. ∴"
"（これが新曲……）","","(This is the new song ......)","","(So this is a new song...)",""
"なんだか雰囲気、のある曲ですね……","","It's kind of an atmospheric song. ......","","This song has a certain atmosphere to it...",""
"歌いこなすのが、
かなり難しそうな楽曲に感じました","","I can sing it,
The music seemed quite difficult to play.","","It seemed like a difficult song to sing in.","It seemed like a difficult
song to sing in."
"その通りだ。とても高い技量が求められる曲で、
作曲家も歌い手を探しあぐねていたんだよ","","That's right, it's a song that requires a very high level of skill,
The composer couldn't even find a singer.","","Exactly. It's a song that requires very high skill, and the composer was having trouble finding someone to sing it with as well!","Exactly. It's a song that requires very high skill, and the
composer was having trouble finding someone to sing it with as well!"
"過去にいくつものアイドルユニットが挑戦し、
挫折したいわくつきでね","","A number of idol units have tried it in the past,
It's been a setback, so to speak.","","A number of idol units have tried and failed in the past.","A number of idol units have tried
and failed in the past."
"そのため、いつしか業界では、
呪われた楽曲、と呼ばれるようになったそうだよ","","Therefore, at some point in the industry,
They call it the ""cursed song.","","Apparently, that's why the industry started calling it a cursed song.","Apparently, that's why the industry
started calling it a cursed song."
"の、呪われた楽曲……ですか","","of the haunting song ......?","","A-A cursed song...?",""
"……ですが、この曲そのものには、
ネガティブなイメージは感じませんね","","......, but for the song itself,
I don't sense any negative images.","","...However, I don't think this song itself has a negative image.","...However, I don't think this song
itself has a negative image."
"私も良い曲だと思う。だからこそ、
無理を言って作曲家から譲ってもらったんだ","","I think it's a good song too, that's why,
I forced him to give it to me, and the composer gave it to me.","","I think it's a good song, too. That is why the composer forced me to give you this piece of music for so long...","I think it's a good song, too. That is why the composer
forced me to give you this piece of music for so long..."
"ルミナスの表現力を磨くうえでも、
この楽曲をものにできれば武器になるだろう","","Also in honing the expressive power of luminous,
If we can get this music, it will be a weapon.","","If I can get my hands on this song, it'll be a great weapon for Luminous to use in her expression.","If I can get my hands on this song, it'll be a great
weapon for Luminous to use in her expression."
"この曲を呪われたままにするのも、
呪いを解くのもルミナス次第、ですか……","","And to leave this song cursed,
Is it up to Luminous to break the curse, ......","","So it's up to Luminous whether this song is cursed or not...","So it's up to Luminous whether
this song is cursed or not..."
"作曲家も、この曲を歌えるアイドルが現れるのを
心待ちにしているのだよ","","The composer also wanted to see an idol who could sing this song.
I'm looking forward to it.","","The composer is also looking forward to the arrival of an idol who can sing this song.","The composer is also looking forward to the
arrival of an idol who can sing this song."
"ぜひとも、この曲に取り組んでほしい。
お願いできるかね？","","I would love to see you work on this song.
Can you do me a favor?","","By all means, I want you to work on this song.
Can you do that for me, please?",""
"はいっ、任せてください！
今のルミナスなら、きっと大丈夫です！","","Yes, I'll take care of it!
I am sure that Luminous will be fine now!","","Yes, leave it to me!
I'm sure Luminous will be fine!",""
"そうか、頼もしい限りだ。『ハロウィンオータム』
でのお披露目、期待しているよ","","Well, you can count on it, ""Halloween Autumn.""
I'm looking forward to your unveiling at the","","I see. That's very reliable of you, 『Halloween Autumn』!
I'm looking forward to your debut.",""
"（呪いか……。でも、歌の雰囲気は
ハロウィンに合っているし、話題になりそうだ）","","(Curse or ....... But the mood of the song is
(It fits Halloween, and it's going to be the talk of the town.)","","(A curse, huh... But the song is fitting for Halloween. I'm sure it would be a hot topic of conversation!)","(A curse, huh... But the song is fitting for
Halloween. I'm sure it would be a hot topic of conversation!)"
"おかえりなさい、プロデューサー。
お茶、どうぞ","","Welcome back, producer.
Tea, please.","","Welcome back, producer.
Here's some tea.",""
"ありがとう、雪歩。
早速いただくよ……ふぅ","","Thanks, snowflake.
I'll take it as soon as I can. ...... Whew!","","Thank you, Yukiho.
I'll dig in right away...",""
"……よし。みんな、聞いてくれ。
社長から、新曲のデモテープをもらってきた","","...... Okay, guys, listen up.
The president gave me a demo tape of a new song.","","...All right. Everyone, listen up!
I got a demo recording of my new song from the president.",""
"わーい、新曲ですか！
早く聞いてみたいです！","","Wow, a new song?
I can't wait to hear about it!","","Yay! A new song?
I can't wait to hear it!",""
"もちろん聞いてもらいたいんだが……。
今回の曲は、全体の難易度が高い。それと……","","Of course I'd love for you to hear about it. ......
This time around, the overall difficulty of the song is higher; that and ......","","Of course, I wanted her to hear it...
This song is going to be very difficult. Also...",""
"数々のアイドルグループが挫折してきた結果、
呪われた楽曲……と言われているらしい","","The result of numerous idol groups that have failed,
I hear it's called the cursed song ......","","It's said that it was a cursed song, the result of many idol groups falling apart.","It's said that it was a cursed song, the
result of many idol groups falling apart."
"のろわれた楽曲……！
なんだかスゴいですっ！","","The cursed music: ......!
It's kind of amazing!","","What a lame song...!
It's kind of amazing!",""
"大丈夫だにぃ！　きらりたちなら
心配なんてなっしんぐだよぉ☆","","Don't worry, Kirari and the others will be fine.
I'm not worried.","","It'll be fine, broski! The twins will have nothing to worry about with you guys around. I know that much for sure ☆","It'll be fine, broski! The twins will have nothing to
worry about with you guys around. I know that much for sure ☆"
"それを聞いて安心した。
俺も、ルミナスなら絶対にやれる、と信じてるよ","","I was relieved to hear that.
I believe Luminous can do it, too.","","I'm relieved to hear that.
I also believe that you'll definitely be able to do it, Luminous.",""
"それじゃ、早速聴いてみましょー！","","Let's listen to it!","","All right, let's hear it!",""
"なるほど……今までと違って、
独特な雰囲気の曲ですね","","I see. ...... unlike before,
The song has a unique atmosphere.","","I see... This song has a different feel to it than before.","I see... This song has a
different feel to it than before."
"これは確かに、難易度が高いですね。
まず、曲をつかむのに時間がかかりそうです","","This is, indeed, a challenging task.
First of all, it's going to take me a while to get a grip on the song.","","This certainly is a difficult case.
First of all, it's going to take me a long time getting my hands on the song.",""
"この曲なら、千早ちゃんとか凛世ちゃんみたいな、
落ち着いた雰囲気の人が合うんじゃないかな？","","For this song, like Chihaya and Rinyo,
I think someone with a calm atmosphere would be a good fit.","","I think this song would go well with people like Chihaya and Rinze-chan who have a calm atmosphere.","I think this song would go well with people like
Chihaya and Rinze-chan who have a calm atmosphere."
"うんうんっ、そうかも☆
あとは……貴音ちゃん、静香ちゃん、紬ちゃん……","","Yeah, yeah, yeah.
The rest are ...... Takane, Shizuka, and Tsumugi ......","","Yeah, yeah. I think you're probably right about that part of me being a pervert and all ☆
Now all that's left is... Takane-chan, Shizuka and Tsumugi.",""
"律子さんとか、あずささんも似合いそうですね～。
あ！　蘭子ちゃん、咲耶さんもどうですか？","","Ritsuko-san or Azusa-san would look great!
Ah! How about you, Ranko and Sakuya?","","I bet Ritsuko-san and Azusa would look great together~.
Hey, Ranko! Would you like to join us?",""
"ご指名ありがとう、菜々。
それならば、全力で臨ませてもらおうか","","Thanks for the nomination, Nana.
In that case, let me give it my all.","","Thank you for choosing me, Nana.
In that case, I'll face you with all of my might and power to the letter",""
"こ、こんな難しい曲……。
私が選ばれても、よいのでしょうか……？","","This is such a difficult song .......
May I be selected for the ......?","","Th-This is such a difficult song...
Is it okay for me to be chosen...?",""
"紬なら問題ありません。それに、皆で力を
合わせれば、必ずや歌いこなせるでしょう","","No problem for Tsumugi, and we all have the power.
If you put them together, you will surely be able to sing along!","","There's no problem with Tsumugi. If we all work together, I am sure she will be able to sing well enough!","There's no problem with Tsumugi. If we all work together,
I am sure she will be able to sing well enough!"
"うむ。ルミナスの光輝なる力をもってすれば、
呪いなど恐るるに足らず！","","With the luminous power of Luminous,
Do not be afraid of curses!","","Indeed. With Luminous's glowing power, the curse is nothing to be afraid of!","Indeed. With Luminous's glowing power,
the curse is nothing to be afraid of!"
"（みんなで力を合わせて、頑張りましょう！）","","(Let's all pull together and get on with it!)","","(Let's all work together and do our best!)",""
"そうね。せっかく推薦してくれたんだし、
全力で挑戦させてもらうわ","","Yes, since you recommended me,
I'll give it my best shot.","","Indeed. Since you've already recommended me, I will give it my all and challenge her to the fullest extent of what she can do for this contest","Indeed. Since you've already recommended me, I will give it my all and
challenge her to the fullest extent of what she can do for this contest"
"はい……
凛世も……挑戦を……","","Yes ......
Rinyo also ...... challenge ......","","Yes 
Rinze... you're challenging me, too?",""
"この楽曲……。
みんながどう解釈をするか、興味があります","","This music: .......
I'm interested to see how everyone interprets this.","","This song...
I'm interested to see how people interpret it.",""
"そうね。
難しそうな曲だけど、頑張りましょう","","Yes, I think so.
It sounds like a difficult song, but let's go for it!","","That's true.
It seems like a difficult song, but let's do our best.",""
"…………","............","","","…………",""
"心白、どうしました？
なにやら考え込んでいる様子ですが……","","Shinbaku, what's wrong?
You seem to be thinking about something: ......","","Kohaku, what's wrong?
She seems to be thinking about something...",""
"あ、貴音さん……。
今回の曲について考えていたんです","","Oh, Takane, .......
I was thinking about this song.","","Ah, Takane-san...
I was thinking about this song.",""
"難しいとは思うんですが、
なんていうか、歌詞が気になっていて……","","I know it is difficult,
What can I say, I was wondering about the lyrics: ......","","I know it's difficult, but the lyrics are kind of on my mind...","I know it's difficult, but the
lyrics are kind of on my mind..."
"なら、心白も一緒に歌わない？
歌うことで、より曲のことを理解できると思うし","","Then why don't you sing with us, Xinbai?
I think singing helps me understand the songs better, and","","Why don't you join us, Kohaku?
I think singing will help you understand the song better.",""
"……はい！
私でよければ、ぜひお願いします！","","...... Yes!
If it is okay with me, I would appreciate it!","","...Yes!
If you don't mind, I would love to!",""
"これで決まりですね。
では、早速レッスンを始めましょうか","","That settles it.
Well, let's get on with the lesson, shall we?","","That settles it.
Well then, shall we begin the lesson?",""
"心白を含めて１０人か。
うん、いいと思うぞ","","Ten people, including Shinbaku?
Yeah, I think it's good.","","Including Kohaku, there are ten of them.
Yeah, I think it's good.",""
"今月の歌唱メンバーは、千早、律子、あずささん、
貴音、蘭子、静香、紬、咲耶、凛世、心白だ","","This month's singing members are Chihaya, Ritsuko, and Azusa,
Takane, Ranko, Shizuka, Tsumugi, Sakuya, Rinyo, and Shinshiro.","","The members of this month's choir are Chihaya, Ritsuko and Azusa-san. Takane, Ranko... Shizuka! Tsumugi? Sakuyomi? Rinze? Shinpachi!!","The members of this month's choir are Chihaya, Ritsuko and
Azusa-san. Takane, Ranko... Shizuka! Tsumugi? Sakuyomi? Rinze? Shinpachi!!"
