"（この道も、何度歩いたことだろう……）","","(How many times have I walked this road, too? ......)","（How many times have I walked down this road...）"
"（『スターリットシーズン』が終わって、
まだ間もないのに、遙か昔の出来事のようだ……）","","(After the ""Starlit Season,
It's not long now, but it seems like it happened a long time ago (......)","(It's not long since the 'Starlit Seasons' ended,
 yet it feels like something that happened ages ago...)"
"（新しい年が始まったばかりだけど……）","","(A new year has just begun. ......)","Just because the new year has started 
doesn't mean.."
"（この事務所に来るのも、今日で最後か――）","","(I guess this is the last time I'll be in this office...)","
(Coming to this office today is the last one too--)"
"うん？　鍵が開いてるな……。
それに灯りもついている……","","Yeah? You're unlocked. .......
And it has lights on it: ......","Hm? The door's unlocked...
And the light is on too..."
"おはようございます、プロデューサーさん","","Good morning, producer.","Good morning, Producer-san."
"お、おはようございます……音無さん……","","Oh, good morning ...... soundless ......","Good morning...Nono-san..."
"……どうしたんですか？
びっくりした顔してますけど？","","What's wrong with ......?
You look surprised.","......What's wrong?
You look surprised, though?"
"いえ……。今日は、最後の戸締りにきただけで、
誰もいないと思ってたので……","","No, ....... I just came to close the door for the last time today,
I didn't think anyone was here, so I went to ......","Well... I just came to lock the last door, 
so I thought there was nobody here..."
"うふふ、実は、私だけじゃなくて
みんな来てるんですよ","","Ummm... Actually, I'm not the only one.
They're all here.","Ufufu, actually, 
not only me, everyone is here."
"えっ！？　みんな？
みんなって……","","What?
Everyone says ......","What!? Everyone?
Everyone..."
"もちろん、
ルミナスのみんなです","","Of course,
Everyone at Luminous.","
Of course, it's everyone at Luminous."
"今日で事務所が締まるって聞いて、
集まったんだそうです。実は私も、なんですけど","","I heard that the office closes today,
Actually, I've been there, too.","I heard that the office would be closed today, 
so apparently everyone gathered. Actually, I was there too, for some reason."
"みんな、プロデューサーさんを待ってますよ！","","Everyone is waiting for Producer!","Everybody, 
 we are waiting for the producer!"
"……そうですか、ちょうどよかったです","","...... Well, that was just great!",""
"あら、みんなに用事があったんですか？","","Oh, did you have something for everyone?",""
"落ち着いたらみんなに、
話したいと思っていたことがあるんです","","To all of you when you get settled,
There's something I've been meaning to talk to you about.","When I calmed down, 
I wanted to talk to everyone about it."
"まずは、みんなのところへ行ってきます！","","First, I'm going to visit everyone!",""
"あら。遅かったじゃない、プロデューサー。
みんなもう集まってるわよ","","Oh, you're late, producer.
Everyone's already here.",""
"ほかのみんなは
レッスンスタジオや屋上に行ったみたいです","","Everyone else...
It's like going to the lesson studio or the rooftop.",""
"あっ、兄ちゃん発見！　
事務所で遊ぶのも最後だし、鬼ごっこでもする？","","Oh, I found my brother!
It's the last time we can play in the office. Do you want to play tag?",""
"鬼ごっこもいいけど、
ゲーム大会の特訓もしなきゃだよ","","A game of tag is good, too,
I'll have to train for a game tournament.",""
"ゲーム大会？","","A game convention?",""
"まだ開催日は決まってないけどね。
こーゆーのも定期的に開こうかなって","","I haven't set a date for the event yet.
I was thinking of opening these periodically.",""
"うん……
解散しても……集まろうって","","Yeah ......
Even if we disband, we're still going to get together at .......",""
"他にもね、カフェにレッツゴーグループとか、
ハピハピショッピング隊とかも考えてるんだぁ♪","","And others, like the Let's Go group to the café,
I'm thinking maybe a Happi-Happi-Shopping Squad...",""
"みんな……","","Everyone ......",""
"どうしたの、そんなしおらしくなって。
いつものアンタらしくないわよ","","What's the matter?
That doesn't sound like you.",""
"今日もね、ルミナスが解散する前に、
みんなで集まろうってなったの☆","","And today, too, before Luminous breaks up,
We all got together.",""
"ルミナスのみなさま……
そして……事務所……","","Dear Luminous: ......
And ...... office ......",""
"お世話になった全てに……
感謝の気持ちを……","","For all your help: ......
Thanks to ......",""
"そうだったのか……ありがとう。
俺もみんなと話したいことがいっぱいあるんだ","","I didn't know that. ...... Thanks.
I have a lot to talk about with you guys too.",""
"スターリットシーズンが終わって、
そのまま正月だったからな","","After the Starlit season,
It was New Year's as it was.",""
"そうですね。スターリットスカイでの
ライブのあと、少しバタバタしてましたから……","","Yes, at Starlit Sky.
I was a little slammed after the gig, so ......",""
"数人ならともかく、みんなで集まれるのは、
今日で最後かもしれないわね","","A few people, but not everyone can get together,
Well, today might be the last day.",""
"私たちも、それぞれの活動が
ありますからね……","","We, too, have our own activities.
Because there is ......",""
"そうか……。みんな、
忙しいのによく来てくれたな","","Well ....... everyone,
I'm glad you're here. You've been busy.",""
"（おかげで、伝えたかった話もできる。
まずは誰から話そうか……？）","","(Thanks to you, I can tell the story I wanted to tell.
Let's start with who's going to talk first: ......?)",""
"雪歩・伊織
静香・甜花","","Yukiho and Iori
Shizuka and Tetuka",""
"亜美・真美
杏","","Ami and Mami
apricot (Prunus armeniaca)",""
"美希・きらり
凛世","","Miki Kirari
awe-inspiring",""
"雪歩、今日はよく来てくれた。ありがとう！","","Snowflake, thanks for coming in today!",""
"いえ……。あの、ルミナスが始まって、
なんだか今日まであっという間でしたね……","","No, ....... Um, Luminous started,
It kind of flew by until today: ......",""
"ああ、俺もそう思うよ","","Yeah, I think so too.",""
"ファイナルアンコールで
全員でステージに立ったこと、私忘れません……","","Final Encore.
I will never forget that we all took the stage together. ......",""
"最初は不安でしたけど……。
最後まで頑張って、本当によかったです","","I was worried at first. ......
I'm so glad I stuck it out to the end.",""
"これからも新しいことへの挑戦の機会があったら、
怖がらずに頑張ります。見ていてくださいね","","If there are opportunities to try new things in the future,
I will do my best without fear, please watch me.",""
"ありがとう、雪歩。
次の活躍も期待しているぞ","","Thanks, snowflake.
Looking forward to seeing what you do next!",""
"伊織もよく来てくれたな","","And Iori, I'm so glad you came.",""
"今日は、ルミナス最後の日だもの。
それに、アンタに伝え忘れたことがあったから……","","Today is the last day of Luminous.
Besides, I forgot to tell you something: ......",""
"スターリットシーズンは最高の形で終わったわ。
ま、伊織ちゃんがいるんだから当然だけど……","","The Stalit season ended on a high note.
Well, Iori is there, of course. ......",""
"プロデューサーのおかげでもあるわね。
……ありがとう、感謝してるわ","","And it's all thanks to Producers.
Thanks ......, I appreciate it.",""
"お礼を言うのは俺の方だ。
伊織の前向きなところに、いつも励まされたよ","","I'm the one who should be thanking you.
Iori's positive attitude always encouraged me.",""
"ふふっ♪　そういうアンタだって、
いつも前向きに頑張ってたじゃない","","Hmmm...even you are like that,
You always tried to stay positive.",""
"……そうか、ありがとう。
伊織に言ってもらえると自信がつくよ","","...... Okay, thanks.
Having Iori say that gives me confidence.",""
"静香もよく来てくれたな","","I'm surprised Shizuka even showed up.",""
"このスターリットシーズンでは、
多くのことを学ばせてもらいました","","In this starlit season,
I learned a lot.",""
"静香の糧になったのならよかったよ。
ちなみに、どんなことを学んだか聞かせてくれるか？","","I'm glad you were able to feed Shizuka.
By the way, can you tell me what you learned?",""
"それは……自分をしっかりと持つこと、そのことで
さらにユニット……仲間の絆は深まるということです","","It's ...... to hold yourself together, and that's what we're going to do.
Furthermore, it means that the unit ...... fellowship will deepen!",""
"それに、同じ目的を持つことの素晴らしさも……。
スターリットスカイに立てたことを、誇りに思います","","Besides, it's great to have the same goal. ......
I am proud to stand on the Stalit Sky!",""
"あの、質問なんですけど……。ルミナスの活動で
プロデューサーは、なにを学びましたか？","","Um, I have a question. ....... luminous activity.
What did Producer learn?",""
"俺は、ひとりひとりの可能性の素晴らしさだな。
静香にもそのことを教えられたよ。ありがとう","","I'm a great believer in each person's potential.
Shizuka has taught me that too, thank you.",""
"甜花もよく来てくれたな","","I'm surprised the beets are here, too.",""
"プロデューサーさん……
お疲れさま、です……","","Producer: ......
Good work. ......",""
"あの、甜花……
ルミナスの力に……なれた、かな……？","","Um, beetroot flowers: ......
Could I be ...... in the power of Luminous, or ......?",""
"もちろんだ。甜花がルミナスのみんなに
励まされたように、甜花もみんなを支えてくれた","","Of course, the beet is for everyone at Luminous.
As encouraged as they were, the sugar beets supported us all.",""
"そっか……。
甜花も……みんなの力に……","","I see. .......
Beet Hana also helps ...... everyone ......",""
"なーちゃんの力にも……
なれたんだね……にへへ……","","Nachan's help is also available at ......
You got it. ...... hehehe ......",""
"俺の力にもなっていたぞ！
ありがとう、甜花","","You were helping me, too!
Thank you, Beet Hana.",""
"次は……","","Next to ......",""
"亜美、今日はよく来てくれた。ありがとう！","","Ami, thank you for coming today!",""
"ねえ、兄ちゃん。本当にルミナス解散なの？
Ｎｏ．１になって、これからがいいところなのにー","","Hey, bro, are you sure it's luminous breakup?
We're No. 1, and we're just getting started...",""
"まだルミナスのみんなで、ドッジボールもしてないし、
２９人３０脚の１００メートル走もしてないんだよ！","","We haven't even played dodgeball yet, with all the Luminous,
They didn't even run the 100-meter race for 29 people and 30 legs!",""
"まだまだまだまだ、
みーんなとやりたいこといっぱいだよ！","","Still more to come,
I have a lot of things I want to do with everyone!",""
"亜美、まだまだみんなと一緒にいたいんだな……","","Ami, you still want to be with everyone. ......",""
"その想いがあれば、ルミナスはなくならない。
ルミナスを盛り上げてくれて、ありがとう。亜美","","With that thought in mind, luminous will not disappear.
Thanks for making Luminous so much fun, Ami!",""
"モチのロンだよー！
ルミナスは永遠っしょ！","","It's a motif!
Luminous is eternal!",""
"真美もよく来てくれたな","","I'm glad Mami came too.",""
"んっふっふ～♪
兄ちゃん、新年あけましておめでとう～！","","Mmm-hmm~♪
Happy New Year, brother!",""
"なにか催促されているような……。
もしかしてお年玉か？","","Something is prompting me to go to .......
Perhaps a New Year's gift?",""
"ちがうよー！　真美の今年のお願いは、
今年もルミナスをやることだかんね！","","No! Mami's request this year is,
This year, we are going to do Luminous again!",""
"初夢もみたし、初もうででもお願いしたし、
あとは兄ちゃんにお願いするだけなんだよ","","I had my first dream, and I also asked for a new year's prayer,
All I have to do is ask my brother.",""
"そうか……そのみんなを大切にする真美の気持ちが、
ルミナスを支えてくれたよ。ありがとう。真美","","So ...... its Mami's feeling of taking care of everyone,
Thanks for supporting Luminous, Mami.",""
"もちろんだよ、兄ちゃん！
これからも、よろよろ～！","","Of course, brother!
Keep up the good work~!",""
"杏もよく来てくれたな","","I'm glad you're here, apricot, too.",""
"お疲れさま、プロデューサー。
お互い、よくここまで頑張ったよね","","Good job, producer.
We both know how hard we've worked to get this far.",""
"ああ、いざって時には杏に何度も助けられたよ。
ありがとう","","Yeah, in a pinch, apricots have saved my life many times.
Thank you.",""
"じゃあ、もっと感謝してくれていいよ。ふふっ。
……あっ、そうだ。プロデューサーに飴、あげる","","Then you can thank me more. phew.
...... Oh, yes, candy for Producer!",""
"クエン酸が入ってて、疲れに効くらしいよ。
ちょっと、すっぱいけど","","They say it has citric acid in it and helps with fatigue.
A little bit, but not too much.",""
"おっ、いただくよ。
俺の体を心配してくれて、ありがとうな","","Oh, I'll have some.
Thanks for caring about my body, man.",""
"体が資本だからね。ダラダラするのも。
一仕事終わったし、お互いテキトーにダラダラしよ〜","","Your body is your capital, and so is your laziness.
Now that we've finished our work, let's just laze around and enjoy each other's company.",""
"美希、今日はよく来てくれた。ありがとう！","","Miki, thank you for coming today!",""
"うんっ！　短い間だったけど、
他の子と一緒に活動ができて楽しかったの♪","","Yeah! It was a short time,
I enjoyed doing activities with the other kids.Â",""
"たくさんのステージやファン、それにライバルと
出会えて、ミキもドキドキのシーズンだったよ","","With many stages, fans, and rivals
It was a thrilling season for Miki to meet you!",""
"でも、本当のドキドキはこれからなんでしょ？
ね、プロデューサー♪","","But the real pounding is just beginning, right?
Hey, producer...",""
"そうだな。世界を舞台にしたスターリットシーズンが
あったら、挑戦してみようか","","Yes, I agree, a starlit season on the world stage is in order.
If there is, I'll give it a shot.",""
"あはっ、ワールドスターリットシーズンなの☆
プロデューサーとなら世界一にもなれるって思うな♪","","Haha, it's World Starlit season☆!
Don't think you can be the best in the world with a producer.",""
"美希の明るさには、何度も励まされたよ。
ありがとう、美希","","Miki's cheerfulness has encouraged me many times.
Thank you, Miki.",""
"きらりもよく来てくれたな","","I'm glad Kirari came to see you.",""
"Ｐちゃん、おっつおっつあけおめー☆　
あーんど、ことよろおにゃーしゃー☆","","P-chan, Otsu Otsu Otsu Akemae*!
Thank you very much!",""
"ああ、よろしく！　きらりと話していると、
それだけで気持ちが明るくなってくるな","","Oh, nice to meet you! Talking to Kirari,
That just makes me feel a lot brighter.",""
