"いい天気だ。
今日はいいことがありそうだな","","It's a beautiful day.
Sounds like a good day to me.","","The weather's nice. Looks like something
good's going to happen today."
"今日はどんな活動をするべきか……。
やってみたいことだらけで悩ましいな","","What activities should you do today? .......
So many things I'd like to try, it's annoying.","","What activities should we do today...?
There are so many things I'd like to try."
"プロデュース道は１日にしてならず。
今日も前進あるのみ！","","The road to producing does not take a day.
Today, we can only move forward!","","The path of production was not built in a day.
Today, we can only move forward!"
"今日も１日のはじまりだ。
ルミナスのみんなと頑張るぞ！","","It's the start of another day.
I'm going to work hard with everyone at Luminous!","","It's the start of another day. I'm going to
work hard with everyone in Luminous!"
"今日は晴れ渡っていい天気だな。
こんな日は、いい仕事ができそうだ","","It's a beautiful, sunny day today.
On a day like this, it's going to be a good day to work.","","It's a beautiful, sunny day today.
It's going to be a good day to work."
"ルミナスのみんなどうしているかな……。
今日も挑戦の始まりだ、早く事務所に行かないとな","","I wonder how everyone in Luminous is doing. ......
Another day of challenges. I need to get to the office as soon as possible.","","I wonder how everyone in Luminous is
doing... Today is the start of the challenge."
"メンバーひとりひとりの顔を思い浮かべるには
事務所までの道は短すぎるな……","","To picture the face of each member
The road to the office is too short. ......","","The road to the office is too short to
imagine the faces of every single member..."
"まぶしい朝日だ。
こんな輝きを持ったアイドルにしていかないとな","","It's a dazzling sunrise.
We need to make idols with this kind of brilliance.","","What bright morning sun.
I have to raise idols with this kind of radiance."
"朝ごはん、しっかり食べて充電完了！
さあ、気合を入れて今日も頑張るぞ！","","Breakfast, well eaten and recharged!
Now, let's get fired up and get going today!","","I've had a good breakfast and I'm recharged!
Now, let's get fired up and get going today!"
"今日の占いは、大吉だったな。
何かいい事があるといいな……","","Today's horoscope was a great fortune, wasn't it?
I hope something good comes out of it: ......","","Today's horoscope was a great, wasn't it?
I hope something good comes out of it..."
"暑くなってきたな。
熱中症にならないように、水分はこまめに補給しよう","","It's getting hotter.
Drink water frequently to avoid heat stroke.","","It's getting hotter.
I'll drink water often to avoid heat stroke."
"もう夏か……イベントも多い時期だ。
ルミナスを売り込むにはいい季節だな","","It's already summer or ...... time for many events.
Good time to market Luminous.","","It's already summer... Time for many events.
Good time to market Luminous."
"さて、今日の活動はどうするか……。
ルミナスの魅力を上げるものにしないとな","","So, what are today's activities? ......
It's got to be something that raises the luminous appeal.","","Now then, what should we do about today's
activities... I need to improve Luminous's charms."
"夏といえば海だ……。
ルミナスでそういう仕事があってもいいな","","Summer means the ocean. ......
I'd love to have a job like that in Luminous.","","Summer means the ocean...
I'd love to have a job like that for Luminous."
"夏の暑さになんか負けてられないな。
ルミナスをもっと熱く盛り上げていくぞ！","","I'm not going to let the summer heat get the best of me.
We're going to make Luminous even hotter and more exciting!","","I can't give in to the heat of summer.
I'm going to make Luminous even hotter!"
"暑さでみんな、参ってないだろうか……。
この時期は体調管理に気をつけないとな","","I hope the heat isn't getting to you guys. ......
You gotta take care of yourself this time of year.","","I hope the heat isn't getting to the girls...
We've got to take care of ourselves."
"夏真っ盛りだ……。
みんなにも水分補給を徹底させていこう！","","Summer is in full swing. ......
Let's make sure everyone stays hydrated!","","Summer is in full swing...
Let's make sure everyone stays hydrated!"
"心頭滅却すれば火もまた涼し！
……なんて、絶対、強がりだよな","","If you put your mind to it, the fire will be cooler!
I'm pretty sure ...... is a bunch of bull.","","A mindful mind is as cool as a fire!
I'm pretty sure that... is just a bunch of bull."
"この時期は夏バテに注意だ。
みんなの調子には、気を付けるとするか","","This is the time of year to watch out for summer fatigue.
Let's keep everyone on their toes, shall we?","","At this time of year, watch out for summer heat
stroke. Let's be mindful of everyone."
"朝からアイスが食べたくなる暑さだ……。
いや、かき氷のほうがいいかな……","","It's hot enough to make me want ice cream in the morning. ......
No, shaved ice is better: ......","","It's hot enough to want ice cream in the
morning... No, I'd rather have shaved ice..."
"今日は猛暑日になるらしい……。
暑さに負けず、みんなの活動を支えていこう","","It's supposed to be a very hot day today. ......
Let's not beat the heat and support everyone's activities!","","Today is supposed to be a very hot day. ......
Let's beat the heat and support everyone."
"『スターリットシーズン』も後半戦だ。
ルミナスのファンをもっと広げていくぞ！","","It's the second half of the ""Starlit Season.
We're going to expand Luminous' fan base even more!","","What bright morning sun.
I have to raise idols with this kind of radiance."
