"お～い、こっちこっち！！
えーと……","Hey, over here! Let's see..","Oh~ hey, over here, over here!
Let's see: ......","Hey, over here!
Let's see..",""
"あ、はい！
プロジェクトルミナスのプロデューサーです！","Oh, yes! I'm Producer of Project Luminous","Ah, yes!
I am Producer of Project Luminous!","Oh, yes! I'm Producer
of Project Luminous",""
"あ、そうそう。Ｐちゃんだ！","Oh, right. It's P-chan!","Ah, yes, it's P-chan!","Oh, right. It's P-chan!",""
"Ｐちゃん、聞いてるよ。
おたく、新しいユニット立ち上げたんだって？","P-chan, I've heard. You started a new unit?","P, I hear you.
I heard you started a new unit.","P-chan, I've heard.
You started a new unit?",""
"たしか、プロジェクト……
キグナスだっけ？","Project Xignus, was it?","I think the project ......
Kignas, right?","Project
Xignus, was it?",""
"あ、いえ、ルミナスですね……","Oh, no. It's Luminous..","Oh, no, it's luminous. ......","Oh, no. It's Luminous..",""
"あぁ、それそれ！
複数の事務所のメンバーがいるんだって！？","Oh, that's it! I heard there are multiple members of the agency?","Yeah, that's it!
They have members from multiple offices!","Oh, that's it! I heard there are
multiple members of the agency?",""
"やっぱさぁ、事務所が違うと
チームワークとかさぁ、大変だよねぇ……","I guess teamwork really is tough when you're in a different office..","I knew it. Different offices.
Teamwork, you know, it's a lot of work. ......","I guess teamwork really is tough when
you're in a different office..",""
"でも頑張ってよ！
期待してるからさっ！","But good luck! I'll be expecting great things from you","But good luck with that!
I'm counting on you!","But good luck! I'll be expecting
great things from you",""
"ありがとうございます。
期待していてください！","Thank you very much. Please look forward to it!","Thank you very much.
Stay tuned!","Thank you very much.
Please look forward to it!",""
"プロジェクトキグナス！
そのうち、ウチの番組にも出てよね～！","Project Quignas! You'll be on our show someday, right?","Project Kignas!
One of these days, you'll have to come on our show!","Project Quignas! You'll be
on our show someday, right?",""
"……は、はい。
よろしくお願いします！","...Y-Yes. Thank you!","......, yes.
Best regards!","...Y-Yes.
Thank you!",""
"でもさ、まずは実績作りが大事じゃん！？","But isn't it important to make achievements first?!","But, you know, it's important to build a track record first!","But isn't it important to make achievements first?!",""
"とりあえずさぁ、営業を頑張ってきてよ！
じゃ、そんな感じでヨロシク～！","Anyway, good luck with your sales! See you later~","Anyway, you know, go out there and work on your sales!
Well, I'll see you like that!","Anyway, good luck with your
sales! See you later~",""
"（なんだか軽い人だったな……。
けど、今後頼りになるかもしれない）","(He was kind of lighthearted... But I might be able to rely on him in the future.)","(He was kind of a lightweight. .......
(but you might be able to count on me in the future)","(He was kind of lighthearted... But I might
be able to rely on him in the future.)",""
"（しかし、キグナスか……。有名にならないと、
名前を憶えてもらえないのかもしれない）","(Still, Xignus... Maybe he won't remember my name unless I become famous.)","(But you must be famous, either at Kignas or ......,
(Maybe they won't remember my name.)","(Still, Xignus... Maybe he won't remember
my name unless I become famous.)",""
