"（体にいいという噂を聞き、サウナにやってきた
のだが、この時間は人が少ないみたいだ……）","(I heard a rumor that it was good for your health, so I came to the sauna. But there aren't many people here at this time of day...)","(I came to the sauna because I heard a rumor that it was good for me.
(But there don't seem to be many people at this time of the day. ......)","(I heard a rumor that it was good for your health, so I came to the
sauna. But there aren't many people here at this time of day...)","",""
"おっ、何や、今日は先客がおんのかい","Oh, there's someone here first today?","Oh, what, you have a visitor today?","Oh, there's someone here first today?","",""
"おう、兄ちゃん、見ぃひん顔やな。
ココ初めてなん？","Hey, Nii-chan. I've seen you before! Is this your first time here?","Oh, brother, you don't look familiar.
Are you new to this place?","Hey, Nii-chan. I've seen you
before! Is this your first time here?","",""
"はい。体にいいという噂を聞いてきてみました。
お見受けしたところ、常連さんのようですが……","Yes. I heard a rumor that it was good for your health... From the looks of things you seem to be regulars?","Yes, I came here because I heard a rumor that it is good for you.
From what I can see, you are a regular ......","Yes. I heard a rumor that it was good for your
health... From the looks of things you seem to be regulars?","",""
"常連も常連！　そらもう、ヌシっちゅうくらいの
常連や！　ココのオートロウリュは最高やでホンマ！","Regulars are regular customers, too! They're all about the same age as Guardian. The Auto Lowry here is really something else..","Regulars are regulars, too! They're so regular, they're like nushis.
I'm a regular! The auto-lauryu at this place is the best, really!","Regulars are regular customers, too! They're all about the same
age as Guardian. The Auto Lowry here is really something else..","",""
"……ところで兄ちゃん、仕事、何してん？　こない
真っ昼間にサウナて、普通の職業ちゃうやろ？","...By the way, Nii-chan. What are you doing at work? Makoto! Isn't a sauna supposed to be an ordinary job in broad daylight?","...... By the way, brother, what are you doing at work? I'm not coming.
Sauna in the middle of the day, that's not a normal occupation, is it?","...By the way, Nii-chan. What are you doing at work? Makoto!
Isn't a sauna supposed to be an ordinary job in broad daylight?","",""
"（親切そうな人みたいだし、なにやら同業者の
雰囲気がするぞ。よし、ここは正直に……）","(He seems like a kind person, and he has the air of someone in his own business about him. Alrighty then...)","(He seems like a kind person and something of a peer.
I'm getting a vibe here, okay, let's be honest here: ......)","(He seems like a kind person, and he has the air of someone
in his own business about him. Alrighty then...)","",""
"プロジェクトルミナスという、
アイドルユニットのプロデューサーをしています","I'm Producer of an idol unit called Project Luminous","It is called Project Luminous,
I am a producer of an idol unit","I'm Producer of an idol
unit called Project Luminous","",""
"アイドルのプロデューサー！？　ホンマか！？
ワシもそれでブイブイ言わしとった時代あったわ！","An idol producer?! Really, now that you mention it... There was a time when I used to complain about something like this too","Idol producer! Really?
There was a time when I was doing well with it!","An idol producer?! Really, now that you mention it... There was
a time when I used to complain about something like this too","",""
"『金成大蔵』って知らんか？
それ、ワシや、ワシ！","Don't you know what Kinsei Okura is? Me, me!","Have you ever heard of ""Kinsei Daizo""?
That's an eagle, an eagle!","Don't you know what
Kinsei Okura is? Me, me!","",""
"金成大蔵さん……確か、２５年以上前に人気絶頂
だったアイドルのプロデューサーをしていたという","Kinnari Okura-san... If I remember correctly, she was Producer of an idol who climaxed popularly over 25 years ago","Mr. Daizo Kananari ......, as I recall, was at the height of his popularity more than 25 years ago.
He was Producer of an idol who was","Kinnari Okura-san... If I remember correctly, she was the
producer of an idol who climaxed popularly over 25 years ago","",""
"心血注いだ活動が有名なプロデューサーだったと、
社長から聞いたことがあります！","I've heard from the CEO that he was a famous producer for his hard work!","He said Producer famous for his wholehearted activities,
I have heard this from the president!","I've heard from the CEO that he was
a famous producer for his hard work!","I've heard from the president that he was
a famous producer for his hard work!",""
"兄ちゃん、そこは『仕掛け人』言うてほしいわ。
プロデューサーっちゅうんは、どうも馴染めんのや","Nii-chan, I'd like you to call me 'the one who set it all up.' Producer just seems a little too familiar with the idea of getting involved in this kinda thing~""","Brother, I wish you would say ""trickster"" there.
I just don't get used to being a producer.","Nii-chan, I'd like you to call me 'the one who set it all up.' Producer just seems
a little too familiar with the idea of getting involved in this kinda thing~","Nii-chan, I'd like you to call methe
mastermind The producer doesn't really fit in.",""
"そんなすごいプロデューサーだとは気づかず、
失礼しました！","I didn't realize you were such an amazing producer. Excuse me!","I didn't realize he was such a great producer,
My apologies!","I didn't realize you were such
an amazing producer. Excuse me!","",""
"あ、改めてご挨拶を。自分はプロジェクトルミナスと
いうアイドルユニットのプロデューサーです！","Oh, let me introduce myself again. I'm Producer of Project Luminous!","Oh, and again, I'd like to say hello to Project Luminous and
I am a producer of an idol unit called ""The Idol Unit""!","Oh, let me introduce myself again. I'm
Producer of Project Luminous!","",""
"……それで金成さんは今、
何をされているのでしょうか？","...So, what are you doing right now?","...... So Kim Sung is now,
What are they doing?","...So, what are you
doing right now?","",""
"今か？　今は仕掛け稼業と投資半々ちゅうとこやな。
ファッションからペットフードまで幅広うな","Now? Right now, we're about halfway through the business and investment. From fashion to pet food..","Right now? Right now, I'm half in the gimmick business and half in the investment business.
A wide range of products from fashion to pet food.","Now? Right now, we're about halfway through the
business and investment. From fashion to pet food..","",""
"せや、後で名刺交換せえへんか？　かつてワシが
心血注いだビジネスしてるっちゅうんが気に入った！","Hey, can we exchange business cards later? I like the way you're doing your job!","Well, why don't we exchange business cards later?
I like the fact that they put their heart and soul into their business!","Hey, can we exchange business cards
later? I like the way you're doing your job!","",""
"ま、兄ちゃんと取引するかは、まだわからんけどな、
今後の活躍次第で、エエ話、持ってくるかも知れんで","Well, I still don't know if you and Nii-chan will be able to make a deal or not. But depending on how things go from here we might even get some good news out of it in the future anyways""","Well, I still don't know if I'm going to do business with my brother,
Depending on his future activities, he may come up with a good story.","Well, I still don't know if you and Nii-chan will be able to make a deal or not. But depending
on how things go from here we might even get some good news out of it in the future anyways","",""
"はい、よろしくお願いします！
それで、活躍次第というのは？","Yes, please! So what do you mean by 'depending on your performance'?","Yes, please!
So, what do you mean by it depends on your activity?","Yes, please! So what do you mean
by 'depending on your performance'?","",""
"そうやなぁ、兄ちゃんのプロデューサーの腕前
ちゅうもんを示してもらわんとな","That's right. I need you to show me what your producer is made of, Nii-chan""","Yes, I know, my brother is a good producer.
I'll need you to show me what you're talking about.","That's right. I need you to show me what
your producer is made of, Nii-chan","",""
"腕前あげてくれんと、仕事の話がでけへん。
……これ、ワシからの課題な","If you don't improve your skills, we can never talk about work. ...This is an assignment from me..","If you don't improve your skills, I can't talk to you about work.
...... This is an assignment from me.","If you don't improve your skills, we can never talk
about work. ...This is an assignment from me..","",""
"はい、わかりました！","Yes, understood!","Yes, I understand!","Yes, understood!","",""
"（金成さんか……。
思わぬところで出会ったな）","(Kinsei-san, huh...? I didn't expect to run into him here.)","(Kim Cheng or .......
(You met me in a place I didn't expect.)","(Kinsei-san, huh...? I didn't
expect to run into him here.)","",""
"（金成さんは良し悪しの評価が分かれる人だと
聞いた事があるけど、悪い人には思えなかった）","(I've heard that Kanenari is a man of distinction between good and bad, but he doesn't seem like the worst person.)","(Mr. Kim Seong is a person who has different evaluations of good and bad.
(I've heard of him, but he didn't sound like a bad guy)","(I've heard that Kanenari is a man of distinction between
good and bad, but he doesn't seem like the worst person.)","",""
"（それはそれとして、肩こりは綺麗に吹き飛んだ。
どうやら、これが『整った』効果らしい）","That aside, the stiff shoulders have been blown clean off. It seems this is what they call a 'perfection' effect)""","(As it was, the stiffness in my shoulders blew away nicely.
(Apparently, this is the 'well-rounded' effect.)","That aside, the stiff shoulders have been blown clean off.
It seems this is what they call a 'perfection' effect)","",""
"（プロデューサーの腕前、少しは上がった気がする。
……よし、サウナに行ってみよう）","(I feel like my producer skills have improved a little. ...Alright, let's go check out the sauna)","(I think I'm getting a little better at being a producer.
(...... Okay, let's go to the sauna)","(I feel like my producer skills have improved a little.
...Alright, let's go check out the sauna)","",""
"おう、兄ちゃん！　よお来た！
まあ、こっちに来ぃや","Hey there, bro! You're here already? Come on over to my place for a minute or two. We gotta get you out of this mess before it gets too hot and bothered by the whole shit-inducing crap we just dodged in our sleeps""","Hey, bro! Hey, I'm here!
Well, come here.","Hey there, bro! You're here already? Come on over to my place for a minute or two. We gotta get you out of
this mess before it gets too hot and bothered by the whole shit-inducing crap we just dodged in our sleeps","",""
