"？？？","???","","","???"
"一同","Everyone","","",""
"全員","Everyone","","",""
"３人","The 3","","",""
"静香たち","Haruka's Group","","",""
"美希たち","Miki's Group","","",""
"心白・亜夜","Kohaku & Aya","","","Kohaku & Aya"
"杏・きらり","Anzu & Kirari","","","Anzu & Kirari"
"伊織・あずさ","Iori & Azusa","","","Iori & Azusa"
"静香・千早","Shizuka & Chihaya","","","Shizuka & Chihaya"
"杏・菜々","Anzu & Nana","","","Anzu & Nana"
"亜美・真美","Ami & Mami","","","Ami & Mami"
"真美＆亜美","Mami & Ami","","","Mami & Ami"
"亜美＆真美","Ami & Mami","","","Ami & Mami"
"蘭子＆P","Ranko & P","","","Ranko & P"
"P&蘭子","P & Ranko","","","P & Ranko"
"春香の声","Haruka's Voice","","","Haruka's Voice"
"真の声","Makoto's Voice","","","Makoto's Voice"
"菜々の声","Nana's Voice","","","Nana's Voice"
"翼の声","Tsubasa's Voice","","","Tsubasa's Voice"
"甘奈の声","Amana's Voice","","","Amana's Voice"
"きらりの声","Kirari's Voice","","","Kirari's Voice"
"歌織の声","Kaori's Voice","","","Kaori's Voice"
"伊織の声","Iori's Voice","","","Iori's Voice"
"Pログ","P (normalized)","","","P (normalized)"
"蘭子ログ","Ranko (normalized)","","","Ranko (normalized)"
"（蘭子ログ）","(Normal Ranko)","","","(Normal Ranko)"
"青羽","Aoba","","","Aoba"
"千川","Senkawa","","","Senkawa"
"七草","Nanakusa","","","Nanakusa"
"サウナ好きのオッサン","Sauna-loving Old Guy","","","Sauna-loving Old Guy"
"ペンギン","Penguin","","","Penguin"
"ハム蔵","Hamzou","","","Hamzou"
"子猫","Kitten","","","Kitten"
"猫の声","Cat's voice","","","Cat's voice"
"子犬","Puppy","","","Puppy"
"子犬の群れ","Puppies","","","Puppies"
"安楽木 ユミ","Yumi Yasuragi","","","Yumi Yasuragi"
"Mr.木間暮","Mr. Kimagure","","","Mr. Kimagure"
"織田 芽衣","Mei Oda","","","Mei Oda"
"トゥインクル・巌","Twinkle Iwao","","","Twinkle Iwao"
"将太・イムラ","Shouta Imura","","","Shouta Imura"
"ＴＶアナウンサー","TV Announcer","","","TV Announcer"
"アナウンサー","Announcer","","","Announcer"
"振付師","Choreographer","","","Choreographer"
"司会","Host","","","Host"
"ルミナス","Luminous","","","Luminous"
"ディレクター","Director","","","Director"
"番組司会","Show Host","","","Show Host"
"スタイリスト","Stylist","","","Stylist"
"ＴＶディレクター","TV Director","","","TV Director"
"カメラマン","Cameraman","","","Cameraman"
"現地調査員","Field Investigator","","","Field Investigator"
"司会者","Chairman","","","Chairman"
"ＡＤ","AD","","","AD"
"番組ディレクター","Program Director","","","Program Director"
"占い師","Fortune Teller","","","Fortune Teller"
"監督","Director","","","Director"
"パーソナリティー","Personality","","","Personality"
"デザイナー","Designer","","","Designer"
"店長","Manager","","","Manager"
"記者","Reporter","","","Reporter"
"記事","News","","","News"
"スタッフ","Staff","","","Staff"
"美術館オーナー","Museum Owner","","","Museum Owner"
"番組スタッフ","Program Staff","","","Program Staff"
"メインパーソナリティ","Main Personality","","","Main Personality"
"雑誌編集者","Magazine Editor","","","Magazine Editor"
"店員さん","Employee","","","Employee"
"芸人","Entertainer","","","Entertainer"
"編集者","Editor","","","Editor"
