"続きまして、
今週のプロデューサータスクをお伝えします","","Continued,
Here are this week's producer tasks","Next, I'll tell you about
this week's producer task","I'm going to continue with this week's
producer task.",""
"今週のプロデューサータスクをお伝えします","","Here are this week's producer tasks","I'll tell you this week's producer task","I'd like to share with you this week's
producer task.",""
"それでは、今週もよろしくお願いします","","Well, I wish you all the best for the rest of the week.","Well then, I look forward to working with you again this week","Well then, I look forward to working with
you again this week.",""
"週も折り返しです。
プロデューサータスクには気を付けてくださいね","","The week is turning around.
Be careful with producer tasks!","We're turning back the week.
Please watch out for the producer task","The week is turning around.
Please take care of your producer tasks.",""
"今日はプロデューサータスクの期限日です。
大丈夫ですか？","","Today is the due date of Producer task.
Are you okay?","Today is the deadline for the producer
task. Are you all right?","Today is the deadline for Producer task.
Are you all right?",""
"今月最後のプロデューサータスクをお伝えします","","Here is the last producer task of the month!","This is the last producer of the month, Tusk","Here is the last producer task of the month!",""
"もうすぐ月末です。目標ファン人数の
締切が近いので、気を付けてくださいね","","It's almost the end of the month, and we have a target number of fans.
The deadline is near, so please be careful!","It's almost the end of the month. The deadline for
the number of fans is near, so please be careful","The deadline to come up with targeted number
of fans is coming up, so please be careful.",""
"今日はファン人数の期限日です。
ご注意ください","","Today is the deadline day for the number of fans.
Please note","Today is the deadline for the number
of fans. Please be careful","Today is the deadline for the number of fans.
Please be careful.",""
"次は、今週のプロデューサータスクです！","","Next up is this week's producer task!","Next up is this week's producer task!","Next up, our Producer Task of the Week!",""
"今週のプロデューサータスクです！","","This week's producer task!","This week's producer task!","This week's producer task!",""
"今週も頑張っていきましょう！","","Let's keep up the good work this week!","Let's do our best again this week!","Let's do our best this week!",""
"週も、半分がすぎました。
プロデューサータスクは大丈夫ですか？","","The week is now half over.
Is Producer task ok?","It's been half a week. Are you
okay with the producer task?","Half a week has passed.
Are you okay with Producer task?",""
"今日はプロデューサータスクの期限日ですっ！
あの、大丈夫ですよね？","","Today is the due date of Producer task!
Um, it's okay, right?","Today's the deadline for the producer
task! Um, are you okay?","Today is the deadline for Producer task!
Um, are you okay?",""
"今月最後のプロデューサータスクは、こちらです！","","Here is the last producer task for this month!","This is the last producer task of the month!","This is the last producer task of the month!",""
"目標のファン人数の期日がいよいよ迫ってきました。
ドキドキします～。あの、気を付けてくださいね！","","The deadline for the target number of fans is finally approaching.
I'm very nervous~ Um, please be careful!","The time limit for the number of fans we're aiming for
is approaching. I'm so excited. Um, please be careful!","The deadline for the target number of fans is 
near. so exciting~... Um, please be careful!",""
"今日はファン人数の期限日です。
注意してくださいね","","Today is the deadline day for the number of fans.
Caution.","Today is the deadline for the number
of fans. Please be careful","Today is the deadline for the number of fans.
Please be careful.",""
"続いては、
今週のプロデューサータスクになります","","Followed by,
This will be this week's producer task","Next up is this week's
producer task","Next up,
is this week's producer task.",""
"では、プロデューサータスクをお伝えいたします","","Now, let me tell you about Producer task","Well then, I'll tell you about the producer task","Well then, I'll tell you Producer task.",""
"みんな期待していますよ。
頑張ってくださいね！","","Everyone is looking forward to it.
Good luck!","Everyone's looking
forward to it. Good luck!","Everyone's looking forward to it.
Good luck!",""
