"いらっしゃいませ～！
癒しを求めるあなたへ『ラッキーオーラ』です♪","Welcome~!
The Lucky Aura is for those who seek healing ♪","","","Welcome~!
The Lucky Aura is for those who seek healing ♪",""
"あ、初めてのお客さんですね！
では、簡単にご説明させていただきま～す！","Ah, you must be a first-time customer!
Then I'll go ahead and briefly explain every~thing!","","","Ah, you must be a first-time customer!
Then I'll go ahead and briefly explain every~thing!",""
"当店は心と体への癒しをメインとした、
多くの商品を取り揃えております♪","We have a lot of products, but our shop focuses
on products that heal the mind and body ♪","","","We have a lot of products, but our shop focuses
on products that heal the mind and body ♪",""
"リラックスする事で、いつも以上に力が出ちゃう！
な～んて事もあるようです！！","By relaxing with our products, you'll feel
powerful! Err~ or something along that line!!","","","By relaxing with our products, you'll feel
powerful! Err~ or something along that line!!",""
"お試しということで、今日は特別に、
こちらをプレゼントしちゃいますね！","I'll also give you a special gift today
for something we're putting on trial!","","","I'll also give you a special gift today
for something we're putting on trial!",""
"そうそう、こちらもどうぞ～！
当店のメンバーズカードです♪","Oh yea, take this too!
This is our member's card ♪","","","Oh yea, take this too!
This is our member's card ♪",""
"『<pop_G>ラッキーオーラのメンバーズカード</>』を入手した！","Received a <pop_G>Lucky Aura member's card</>!","","","Received a <pop_G>Lucky Aura member's card</>!",""
"お買い物をして頂くと特典が付きますので、
ぜひご利用くださいね♪","If you keep shopping here, you will get special
benefits, so please make the most of it ♪","","","If you keep shopping here, you will get special
benefits, so please make the most of it ♪",""
"さ～て、今日はどのような商品をお探しです？","Now then,
what kind of products are you looking for today?","","","Now then,
what kind of products are you looking for today?",""
"いらっしゃいませ～！
どうぞお手にとってご覧ください♪","Welcome in~!
Please take a look at what's available ♪","","","Welcome in~!
Please take a look at what's available ♪",""
"あ、いらっしゃいませ～！
いつもご来店ありがとうございます♪","Ah, welcome in~!
Thank you for always stopping by our store ♪","","","Ah, welcome in~!
Thank you for always stopping by our store ♪",""
"ありがとうございました～！
またのご利用をお待ちしております♪","Thank you very much!
We will be looking forward to your next visit ♪","","","Thank you very much!
We will be looking forward to your next visit ♪",""
"ありがとうございました～！
お気をつけてお帰りくださいね♪","Thank you very much!
Please be careful on your way back ♪","","","Thank you very much!
Please be careful on your way back ♪",""
"おめでとうございま～す！　
メンバーズクラスが上がりましたよ♪","Congratula~tions!
You just advanced to the next member's class ♪ ","","","Congratula~tions!
You just advanced to the next member's class ♪ ",""
"これからも、どんどんよろしくお願いします！
それでは、またのご来店お待ちしておりま～す♪","Thank you for your continued support!
Well then, we look forward to your next visit~ ♪","","","Thank you for your continued support!
Well then, we look forward to your next visit~ ♪",""
"こ、これは……おめでどうございま～す！！
メンバーズカードのクラスが最高になりましたよ♪","T-this is...congratula~tions! Your members
card class is now at the highest tier ♪","","","T-this is...congratula~tions! Your members
card class is now at the highest tier ♪",""
"いつも当店をご利用いただき、
本当に、本当にありがとうございます！！","Thank you very, very much
for always visiting our shop!!","","","Thank you very, very much
for always visiting our shop!!",""
"これからも、いっぱいよろしくお願いしますね！
それでは、またのご来店お待ちしておりま～す♪","I look forward to working with you in the future!
Well, we will look forward to your next visit~ ♪","","","I look forward to working with you in the future!
Well, we will look forward to your next visit~ ♪",""
"新しい商品を入荷しましたよ～！
どうぞお手にとってご覧ください♪","Our new products have arrived~!
Please go ahead and take a look ♪","","","Our new products have arrived~!
Please go ahead and take a look ♪",""
"おお？　ブラザーよく来たなぁ！
ウチは『ＵＰ & ＤＯＷＮ』だ！！","Oh? Bro, you're here!
This is my UP & DOWN!!","","","Oh? Bro, you're here!
This is my UP & DOWN!!",""
"色んな珍しい物を取り扱ってるぜぇ！？
どれも他じゃ扱ってないような一級品だ！！","Looking for a dealer of all kinds of rare stuff!?
I got top tier goods you won't find anywhere else!!","","","Looking for a dealer of all kinds of rare stuff!?
I got top tier goods you won't find anywhere else!!",""
"よし、今日はブラザーの初来店ってことで、
こいつをやろう！","Ok, since today is Bro's first visit,
I'll give ya this!","","","Ok, since today is Bro's first visit,
I'll give ya this!",""
"それと、こいつはウチのカードだ！","Also, here is our card!","","","Also, here is our card!",""
"『<pop_G>ＵＰ & DOWNのメンバーズカード</>』を入手した！","Received an <pop_G>UP & DOWN member's card</>!","","","Received an <pop_G>UP & DOWN member's card</>!",""
"ウチの商品を買っていくと、
そのうち特典が付くぜ！","If you keep buying my stuff, I can hook you
up with special deals!","","","If you keep buying my stuff, I can hook you
up with special deals!",""
"それじゃあ、思う存分買っていってくれよなぁ！","Alright, go ahead and buy whatever you want!","","","Alright, go ahead and buy whatever you want!",""
"ブラザー、よく来たな！
思う存分買っていってくれよなぁ！！","Good seeing you here, bro!
Go ahead and buy as much as you want!","","","Good seeing you here, bro!
Go ahead and buy as much as you want!",""
"おう、ブラザー！
買ってけドロボー！！","Oh, Bro!
Buy for a steal!!","","","Oh, Bro!
Buy for a steal!!",""
"おう、毎度ありぃ！","Ah, thanks again!","","","Ah, thanks again!",""
"ええっ、もう帰んのかよ！？
まぁいい、また来いよなぁ！！","Ehhh, you're leaving already!?
It's alright, come back soon!!","","","Ehhh, you're leaving already!?
It's alright, come back soon!!",""
"おっ、ブラザーのクラスが上がったぜぇ！","Oh, Bro you're in the next class!","","","Oh, Bro you're in the next class!",""
"これからも、じゃんじゃん買ってくれよなぁ！","As always, please continue to buy from us!","","","As always, please continue to buy from us!",""
"ブラザー！　ちょっと待ちなぁ！
今日でアンタのクラスがＭＡＸになったぜぇ！","Wait a sec, Bro!
Your class is now at the MAX!","","","Wait a sec, Bro!
Your class is now at the MAX!",""
"ヒューッ！　やるじゃあねえか！
今後ともウチをよろしく頼むぜぇ！！","Whew! Not bad!
I'll be counting on you in the future!","","","Whew! Not bad!
I'll be counting on you in the future!",""
"おう、新しい商品を仕入れたぜぇ！
だから、じゃんじゃん買っていってくれよなぁ！！","Oh, I got some new goods in stock!
So, please buy it!!","","","Oh, I got some new goods in stock!
So, please buy it!!",""
"よお、アンタか。
元気そうじゃねえか","Yo, you there.
Aren't you looking lively.","","","Yo, you there.
Aren't you looking lively.",""
"あれ、今日はなんだか、
いつもと雰囲気が違いますね？","Huh, is the atmosphere here different
today?","","","Huh, is the atmosphere here different
today?",""
"ん、そうか？
まあそういう日なんだよ、今日は","Hmm, you sure?
Well today is just one of those days.","","","Hmm, you sure?
Well today is just one of those days.",""
"こういう日には、値段を変えるのがルールでな。
さぁ、今日は何を買っていくんだ？","On these kinds of days, I make it a rule to
change some of the prices. So, what'll it be today?","","","On these kinds of days, I make it a rule to
change some of the prices. So, what'll it be today?",""
"よお、よく来たな。
今日は何を買っていくんだ？","Yo, you're back.
What are you going to buy today?","","","Yo, you're back.
What are you going to buy today?",""
"よお、元気そうで何よりだ。
今日は何を買っていくんだ？","Yo, you look fine above everything else.
What are you going to buy today?","","","Yo, you look fine above everything else.
What are you going to buy today?",""
"毎度あり","Thanks again.","","","Thanks again.",""
"もう帰るのか？
じゃ、気をつけてな！","Are you leaving already?
Take care out there!","","","Are you leaving already?
Take care out there!",""
"おう、さっきの買い物で
アンタのクラスが上がったぜ！","Oh, your class was promoted from
that last purchase!","","","Oh, your class was promoted from
that last purchase!",""
"また買いに来てくれよ","Come back and buy from us again.","","","Come back and buy from us again.",""
"すげぇな！　さっきの買い物で
クラスがＭＡＸになったぜ！","Nice! That last purchase raised your
class to the MAX!","","","Nice! That last purchase raised your
class to the MAX!",""
