"（今日の挑戦は、春香、千早、美希の３人だ……）","","(Today's challenge is Haruka, Chihaya, and Miki. ......)","(Today's challenge is Haruka, Chihaya, and Miki...)","Today's Haruka, Chihaya, and Miki will go
on the climax challenge..."
"うう、緊張してきた……。
千早ちゃんと美希は大丈夫？","","Ugh, I'm getting nervous. ......
Are Chihaya and Miki okay?","Ugh, I'm getting nervous...
Are Chihaya-chan and Miki okay?","Ugh, I'm getting nervous...
Are Chihaya-chan and Miki okay?"
"ええ、問題ないわ","","Yeah, no problem.","Yeah, no problem","Yeah, no problem."
"ミキもへーきだよ。
春香はもっと肩の力を抜けばいいって思うな","","Miki is also a heck of a lot better.
Don't think Haruka should relax her shoulders more.","Miki's fine too. Haruka, don't think
you should relax your shoulders more","Miki is fine too. Miki thinks you should
relax your shoulders more Haruka."
"……よし、そろそろ出番だな。
みんなよろしく頼むぞ","","...... Okay, it's time to get going.
Take care of them all.","...Okay, it's about time.
I'm counting on you guys","...Okay, it's about time for your turn.
I'm counting on you guys."
"は、はいっ！　頑張ります！","","Yes, yes! I will do my best!","Y-Yes! I'll do my best!","Y-Yes! I'll do my best!"
"私たちの全力、存分に発揮してきます","","We will show our best to the fullest!","We're going to give it our all","We're going to give it our all."
"プロデューサー！　
ミキたちの活躍、バッチリ見ててね♪","","Producer!
Watch Miki and her friends in action!","Producer! Keep an eye on
Miki and the others♪","Producer! Make sure you watch what
Miki and the others are doing♪"
"ああ！
それじゃあ、行ってこい！","","Oh!
Well, go on then!","Yeah!
Then go!","Yeah!
Then go!"
"はいっ！","Yes!","","Yes, sir!","Yes!"
"はいなのっ！","","Yes!","Yes, it is!","Yes!"
"みんな、よくやったな！
とても良かったぞ！","","Well done, everyone!
That was very good!","Well done, everyone!
That was very good!","Well done, everyone!
That was very good!"
"プロデューサーさん、ありがとうございます！
えへへ、うまくできました♪","","Thank you, producer!
Ehehe, well done♪","Thank you very much, producer!
Ehehe, it went well♪","Thank you very much, producer!
Ehehe, that felt good♪"
"はい。今の自分たちにできる、
最高のパフォーマンスが発揮できたかと","","Yes, we can do it now,
I thought we performed at our best.","Yes. We were able to put on the
best performance we could","Yes. We were able to put on the best
performance we could right now."
"ミキもすっごく楽しかったの！
ねぇ、プロデューサー。ミキ可愛かった？","","Miki had a lot of fun too!
Hey, producer, was Miki cute?","Miki had a lot of fun too!
Hey, producer. Was Miki cute?","Miki had a lot of fun too! Hey, producer.
Did you think miki looked cute?"
"ああ！
美希もみんなもすごく輝いていたぞ！","","Oh!
Miki and everyone else were shining so brightly!","Yeah! Miki and everyone
else were really shining!","Yeah!
Miki and everyone else were really shining!"
"あはっ☆
ありがと、プロデューサー♪","","ahaha*
Thanks, producer.","Aha☆ Thanks,
producer♪","Aha☆
Thanks, producer♪"
"それにしてもステージの途中の
パフォーマンス、本当にすごかったな","","But still, in the middle of the stage.
Performance, that was really amazing.","Still, the performance halfway through
the stage was really amazing","Anyway, the performance in the middle
of the stage was really amazing."
