"（今日は春香の提案で、
映画を見に行くことになった……）","","(Haruka's suggestion today,
(We're going to the movies: ......)","","(Today was Haruka's suggestion, so they went to go 
see a movie...)",""
"わぁ、色々な映画があって、迷っちゃうな～。
みんなは見たい映画ってあるかな？","","Wow, so many different movies, I'm lost!
Do you guys have any movies you want to see?","","Wow, there are so many movies. I'm at al loss~,
Is there a movie everyone wants to watch?",""
"春香さん、あのドキュメンタリー映画にしませんか？
今、ＳＮＳですごく流行ってるんですよ","","Haruka, why don't we make that documentary film?
It's very popular on social media right now.","","Haruka-san, what about this documentary film?
Currently, it's very popular on social networking sites.",""
"あ！　あのアクション映画、
すっごく面白そうですよ！　あれにしませんか？","","Ah! That action movie,
It looks really interesting!","","Ah! That action movie looks really interesting!
Should we go see it?",""
"このミュージカル映画、話題になっているのよね。
ねぇ、春香ちゃん、よかったらこれにしない？","","There's a lot of talk about this musical film.
Hey, Haruka-chan, if you want, we can do this.","","This musical movie is the one that became a hot topic
recently. Haruka-chan, would you like to see this?",""
"杏は別に何でもいーよ。……ん？
あのゲーム、映画化したんだー。へぇ～","","Apricots are fine with anything. ...... hmm?
I didn't know that game was made into a movie.","","Anzu is fine with anything. ...Hmm?
That game was adapted into a movie. Heh~",""
"フフ……私はどの映画でも。
今日はみんなが見たいものを一緒に楽しみたいよ","","Huff ...... me in any movie.
I hope we can all enjoy what we want to see today together.","","Hehe...I am fine with any movie. Today I want to enjoy
something we all wanted to see together.",""
"（映画を見終えたみんなは、口々に感想を言い合って
いる。どうやら楽しい時間を過ごせたようだ！）","","(After watching the movie, everyone was talking to each other about their impressions.
(I'm here; apparently we had a good time!)","","(Once the movie finished, everyone talked about their
impressions. Looks like they all had a good time!)",""
"春香さん！　あのアクション映画、
すっごく面白そうですよ！","","Haruka! That action movie,
It looks very interesting!","","Ah! That action movie looks really interesting!","Ah! That action movie
looks really interesting!"
"ええと、『ビッグバンスペースドライブ』？
なんだか、すごそうなタイトルだね……","","Uh, ""Big Bang Space Drive""?
That sounds like an awesome title: ......","","Uhh... ""Big Bang Space Drive""?
Somehow, that title sounds great...",""
"それ、人気のゲームが映画化したやつだよ。
へぇ～、公開されてたんだ","","That's a popular game that's been made into a movie.
Wow, it was published.","","Oh that. It's a movie adaption of a popular game.
Heh~, it's finally released.",""
"えっと……ゲームの再現度が半端ないって感じで、
好評みたいだね。特に爆発のシーンがすごいって","","Let's see, it's like ...... game reproduction is halfway done,
I heard it was well received, especially the explosion scene.","","Hmm... I feel like you can't reproduce the gaming itself, but 
I can see why it's popular. That explosion scene looks amazing.",""
"爆発シーン？　それ、ＣＭで見たことあるかも！
かっこいい車で宇宙を駆け巡るやつですよね？","","Explosion scene? I might have seen that in a commercial!
You know, the one where you drive around the universe in a cool car?","","Explosion scene? I think I saw it in a commercial. Wasn't
the car that goes around the universe really cool?",""
"そうそう。もともとは普通のレースゲームだったん
だけど、気が付いたら宇宙進出してたんだよね","","Yes, yes, it was originally a regular racing game.
But then I realized we were expanding into space.","","Yeah yeah. It was originally a plain old racing game, but 
I noticed the setting was somehow in space.",""
"さすが杏さん、詳しいです！　あの……
私、この映画、すっごく見たいです！","","You're right, Anne, you know a lot about it! That ......
I want to see this movie so badly!","","As expected Anzu-san. You know all the details! Uh...
I...really...am interesting in seeing it!",""
"うん、いいよ♪
杏ちゃんはどうかな？","","Yeah, okay. ♪
What about Anzu?","","Mm. Alright ♪
How about you, Anzu-chan?",""
"杏も興味あるし、さんせーい","","Anzu is interested, too, and sansei!","","Anzu is also interested.
All 3 agree~",""
"春香さん、杏さん、ありがとうございます！
それじゃ、さっそく見に行きましょう♪","","Thank you, Haruka and Anzu!
Well then, let's get on with it... ♪","","Haruka-san, Anzu-san, thank you very much!
Alright, let's go see it then ♪",""
"み、未来ちゃん、そんなに急いだら転んじゃうよ！","","Mirai, you'll fall down if you hurry so much!","","M-Mirai-chan, you might fall over if you rush ahead!",""
"（その後、アクション映画を堪能した３人は、カフェ
で映画の感想を言い合い、大いに盛り上がった）","","(Afterwards, after enjoying the action movie, the three of them went to a café
(They had a lot of fun discussing their impressions of the film at the)","","(Afterwards, they headed to a cafe. There they talked about their 
impressions of the movie and there was lots of excitement.)",""
"（今日は美希の提案で、
おにぎりを作ることになった……）","","(Miki's suggestion today,
(I'm supposed to make onigiri (rice balls) ......)","","(Today, by Miki's suggestion, 
They went to make onigiri...)",""
"ねぇねぇ、どんなおにぎりを作ろっか？","","Hey, hey, what kind of rice balls shall we make?","","Hey, what kind of onigiri will you guys make?",""
"私は、みんなで食べれるように、小さいおにぎりを
たくさん作りたいです！　","","I have a small onigiri for everyone to eat.
I want to make a lot of them!","","I want make lots of small onigiri, so everyone can have some!","I want make lots of small
onigiri, so everyone can have some!"
"私は、カラフルなおにぎりを作りたいな。
美希先輩、どうですか～？","","I would love to make some colorful rice balls.
How about you, Miki-senpai~?","","I want to make a colorful onigiri.
Miki-senpai, what do you think~?",""
"そうですね……私は、
鮭とか昆布などが良いかと……","","Yes, ...... I am,
I was thinking salmon, kelp, etc. ......","","Let's see... I think 
Salmon or Kombu would be good...",""
"我が求めるは、純白に抱かれし禁断の果実！
ククク……まさに神と悪魔の出会いね","","I seek the forbidden fruit embraced in pure white!
Kukuku...... is truly the meeting of God and the Devil.","","What I desire, is the Forbidden Fruit wrapped in pure white! 
Kukuku... truly the pairing of God and the Devil",""
"（ハンバーグが入ったおにぎりが食べたいです！
絶対美味しいと思いまーす♪）","","(I want to eat a rice ball with a hamburger steak in it!
I'm sure it will be delicious!)","","(I want to eat an onigiri with hamburg in it!
It will definitely be delicious♪)",""
"色んなおにぎりができそうだね☆
えへへ、食べるの楽しみ～","","I'm sure you can make all kinds of onigiri.
I'm looking forward to eating it!","","Looks like there will be lots of varieties of onigiri☆
Ehehe, I'm looking forward to tasting them~",""
"（みんな、楽しくオフを過ごしたようだな。
これでさらに団結力が養われたはずだ！）","","(Looks like everyone had a good time off.
(This should have fostered even more unity!)","","(Looks like everyone had a good time off.
Now we'll be able to unite even more!)",""
"はーい！
わたし、カラフルなおにぎりが作りたいでーす！","","Hai!
I want to make colorful rice balls!","","Alright!
I would like to make color onigiri!",""
"カラフル？　……あ、いろんな味の
おにぎりを作れば、カラフルになるかも！","","Colorful? ...... Oh, all kinds of flavors.
If you make rice balls, they could be colorful!","","Colorful? ...Oh, if you make a variety of 
onigiri, it should become colorful!",""
"ミキ的には、美味しくて、たくさん食べられるなら、
大歓迎ってカンジかな☆","","Miki's way, if it's tasty and you can eat a lot of it,
I guess you're more than welcome.","","For Miki, as long as it's tasty and there's lots of it,
She'll welcome the idea☆",""
"はい！　それじゃあ、
みんなでどんな味がいいか考えましょー！","","Okay, then,
Let's think about what kind of flavor we all want!","","Okay! Then, let's come up with some flavor ideas together!","Okay! Then, let's come up with
some flavor ideas together!"
"定番どころは外せないよね？
ツナに梅干しに、昆布、鮭、明太子も必要なの！","","You can't miss the classic ones, can you?
I need tuna, pickled plums, kelp, salmon, and cod roe!","","You can't do without the classics, right?
Tuna, Umeboshi, Kombu, Salmon and Mentaiko are must-haves!",""
"あ、天かすをいれたおにぎりって、知ってますか？
安くって、とってもおいしいんですよ～","","Oh, you know those rice balls with Tenkau in them?
It's cheap and very tasty!","","Ah, have you heard of Tempura scrap onigiri?
It's cheap and delicious~",""
"わたしは、もっと面白いおにぎりも欲しいな～。
お肉入りとか、すっごく辛いやつなんか、楽しそう！","","I want more interesting rice balls, too!
Something with meat or very spicy would be fun!","","I'd like a more interesting onigiri~
One with meat or a really spicy one sounds fun!",""
"はわっ、お肉が入ってるなんて、贅沢です！
辛いのは、苦手な人には大変かもです……","","Hah, what a luxury to have meat in it!
Spicy can be hard for those who don't like it. ......","","Wow, putting meat in, how luxurious!
But some of us can't handle spicy...",""
"そうだ、具に合わせて形を変えませんか？
中身を間違えなくっていいかなーって！","","Yes, why not change the shape to match the ingredients?
I thought it would be nice not to make a mistake on what's inside!","","Then, how about we change their shapes according to fillings?
That way people know which is which!",""
"それいいかも。
やよいちゃん、ナイスアイディアだね！","","That might be good.
Yayoi, nice idea!","","That sounds good.
Nice idea, Yayoi-chan!",""
"……あ！　わたし、全部の具を入れた、
特大おにぎりを作ろっかな～♪","","I put all the ingredients in,
Let's make extra large onigiri!","","...Ah! I'll put in all the fillings 
and make a super big onigiri♪",""
"ミキもすっごいおにぎりを作るの！
翼、勝負しよっ！","","Miki also makes amazing rice balls!
Wings, let's play!","","Miki's gonna make an amazing onigiri!
Tsubasa, it's a match!",""
"わかりました！
美希先輩、負けませんよ～！","","I understand!
Miki-senpai, I won't lose!","","Alright then!
I won't lose, Miki-senpai~!",""
"（その後、３人はたくさんのおにぎりを作った。
みんなにも好評で、すごく喜んでもらえたようだ）","","(The three then made many rice balls.
(Everyone seemed to like it and be very pleased with it.)","","(Afterwards, the 3 made lots of onigiri.
They were happy everyone liked them.)",""
"（今日は千早の提案で、
ＣＤショップに行くことになった……）","","(Chihaya's suggestion today,
(I'm going to the CD store: ......)","","(Today, by Chihaya's suggestion,
They went to a CD shop...)",""
"そういえば、
みんなはどんな音楽を聴くのかしら？","","Speaking of which,
What kind of music do people listen to?","","By the way,
What kind of music does everyone listen to?",""
"最近は、『らっぷ』なるものを聴いています。
音楽とは真、奥深きものですね","","Recently, I have been listening to something called ""Rappu"".
Music is a true and profound thing.","","Recently, I've been listening to ""Rap"".
Music is truly a deep subject",""
"アイドルの曲全般を聴いています。
研究のため、ですね","","I listen to idol music in general.
For research, yes.","","I listen to all kinds of Idol songs.
For the sake of research.",""
"私は子どもたち向けの曲や、合唱曲かしら。
つい、昔と同じように聴いちゃうのよね","","I think I'd like to play songs for children and choral music.
I just end up listening to it the same way I used to.","","Children's songs and choirs for me.
Just like what I did in the past.",""
"最近の曲は、一通り聴くかな。アイドルたるもの、
やっぱ流行にはしっかり乗らないとね★","","I'll listen to all the recent songs,
We have to keep up with the latest fads.","","The latest hits in general. An idol has to 
follow the trends after all★",""
"きらりんは、みーんなの曲を聴いてるにぃ♪
とってもハピハピな気持ちになるんだぁ～","","Kirarin is listening to everyone's music.
I feel so happy-happy!","","Kirarin listens to everyone's songs♪
It makes her all happy happy~",""
"私はアイドル全般の曲を聴きますね。
歌織さんはどうですか？","","I listen to idols in general.
How about you, Mr. Utaori?","","I listen to all kinds of Idol songs.
How about you, Kaori-san?",""
"私は、子どもたち向けの曲や、合唱曲かしら。
みんなで一緒に歌える歌が好きなの","","I think I'd like to play songs for children and choral music.
I like songs we can all sing together.","","Children's songs and choirs for me.
I like songs where everyone can sing together.",""
"……そうだ！　今度３人で一緒に歌いましょう？
みんなと一緒なら、きっと楽しいと思うわ","","...... Yes! The three of us should sing together sometime.
I'm sure it'll be fun with you guys.","","...Right! How about the 3 of us sing together?
I think it'll be fun if we're all together",""
"歌織さんと千早さんと……はい、是非お願いします！
あの、千早さんはどうですか？","","Utaori and Chihaya and ...... Yes, please do!
Um, how about Chihaya-san?","","With Kaori-san and Chihaya-san... Yes, please!
Uhm, what do you think, Chihaya-san?",""
"そうね……とてもいいと思う。
二人とのセッション、楽しみです","","Yes. ...... I think it's very good.
I'm looking forward to the session with you two!","","Well... I think it's a good idea.
I'm looking forward to a session with you two",""
"私もです。ふふっ、早く歌いたいですね。
今から待ちきれないです！","","Me too...phew, I can't wait to sing.
I can't wait to see it now!","","Me too. Fufu, I want to sing already.
I can't wait!",""
"よかった♪　それじゃあ、ふたりに
迷惑をかけないように、しっかり準備しなきゃ","","Good... then I'll leave you two to it.
I have to make sure I'm prepared so I don't cause any trouble.","","Excellent♪ Well then, I have to prepare thoroughly
not to trouble you two",""
"あの……レッスンでもご一緒してますから、
そこまで大げさにしなくても","","I'm also with you on that ...... lesson,
You don't have to make such a big deal about it.","","Uh... We're already doing lessons together, 
It's not going to be that big of a deal",""
"（今度セッションをする約束をした３人。その後も、
充実したオフを過ごしたようでなによりだ！）","","(The three of us promised to have another session,
Glad to see you had a good time off!)","","(The 3 promised to have a session. After that, they seemed to 
have had a good off-day!)",""
"（今日はやよいの提案で、
特売セールに行くことになった……）","","(Today, at Yayoi's suggestion,
(I'm going to a special sale: ......)","","(Today, by Yayoi's suggestion,
they went to a special sale...)",""
"たくさんのお客さんで、すごく盛り上がってますね！
私、なんだかウズウズしてきちゃいましたー！","","So many customers, so much excitement!
I'm kind of itching to get started!","","It's so crowded and lively!
I'm getting kind of antsy!",""
