"Original Text","Initial","Machine translation","Better translation","Best translation"
"第１話","Episode 1","","",""
"第２話","Episode 2","","",""
"第３話","Episode 3","","",""
"第４話","Episode 4","","",""
"最終話","Final Episode","","",""
"第５話","Episode 5","","",""
"第６話","Episode 6","","",""
"第７話","Episode 7","","",""
"第８話","Episode 8","","",""
"第９話","Episode 9","","",""
"あの頃から成長した姿","How I've Grown Since Then","","",""
"先輩としてのアドバイス","Advice as a Senior","","",""
"ふたりで進む","Moving Forward Together","","",""
"ご褒美をちょっとだけ","A Little Reward","","",""
"ポテンシャルで導いて","Leading to Potential","","",""
"おにぎりクッションチャレンジ！","Rice Ball Cushion Challenge!","","",""
"レッツ☆事務所探検","Let's ☆ Explore The Office!","","",""
"迷子の子猫","Lost Kitten","","",""
"ふれあい　出かけるなら？","Get to know each other","","",""
"宝物","Treasures","","",""
"仲間が教えてくれたこと","What My Friends Taught Me","","",""
"同窓会をしよう！","Let's have a reunion!","","",""
"もやしが届ける笑顔","Smiles Brought by Bean Sprouts","","",""
"笑顔のために","For a Smile","","",""
"未来を託して","Entrusting the Future to Us","","",""
"ずっと手を繋いで","Hand in hand Forever","","",""
"インフルエンサー！！","Influencer!!","","",""
"ちょっとだけ、ひとり占め","Just a Little, All to Myself","","",""
"一緒に月を眺めながら","As We Gaze at the Moon Together","","",""
"これからも一緒に","From Now On Together","","",""
"世界のステージへ","To the World Stage","","",""
"等身大のミリキ","Life-Sized Miriki","","",""
"変わらないミリキ","Unpeculiar Miriki","","",""
"支え合えるように","So that we can support each other","","",""
"最高の舞台を作るために","To create the best stage","","",""
"アメリカでの挑戦","Challenge in the U.S.A","","",""
"闇の言葉で","Words in the Darkness","","",""
"ルミナスの展望","Luminous Mindset","","",""
"『楽してアイドル』","""Have Fun, Idols!""","","",""
"先見の明","Foresight","","",""
"ウサギソファでひと休み♪","Unwinding on the Bunny Sofa","","",""
"やる気を出す方法","How to Get Motivated","","",""
"不労所得の味","A Nibble of Unemployment","","",""
"それぞれの夢","Each Dream","","",""
