"Original Text","Initial","Machine translation","Better translation","Best translation"
"今日もノッてくぜー！！","","I'm going to get into it again today!!","",""
"ええー、もう終わりー？","Ehh, it's already over?","","",""
"全然ユレがたんないよ！！","","I can't relax at all!!","",""
"もっとノッてこー！","","Go get more into it!","",""
"ノッてきた！","","I'm getting into it!","",""
"チケットとれて良かったー！","I'm glad I got tickets!","","",""
"テンション上がってきたー！","The tension is rising!","","",""
"ユレてきた！！","","I'm starting to lose heart!!","",""
"やっぱ、歌は生できかないとね！","","I knew it! Songs have to be made alive, don't they?","",""
"この歌声を待ってたんだ！","I've been waiting for this singing!","","",""
"キャー！今のステップステキー！！","Kyaa! That move just now was wonderful!!","","",""
"踊りがカッコイイよね！！","That dance was so cool!!","","",""
"あ、今こっち見て笑ったよね！！","Ah, I just noticed this and laughed!!","","",""
"あの笑顔に、いやされるんだよなあ！","That smile has healed me!","","",""
"合格できるのは上位{CLEAR_RANK}組までですよ","","You can only pass the top {CLEAR_RANK} class","",""
"ふー……。お疲れ様です","","Phew... Thank you for your hard work","",""
"私の指示通りの順番でアピールしてください","Please appeal in the order of my instructions.","","",""
"そうです！素晴らしいですね","Yes! This is wonderful.","","",""
"…ちょっと難しかったでしょうか？","...was that too difficult?","","",""
"元気がいいアイドル、ポイント高いですよ！","Extra points for the energetic idol!","","",""
"あなたの歌声、魅力的です！","Your singing is fascinating!","","",""
"あなたのダンス、目が離せません！","","I can't take my eyes off your dance!","",""
"あなたの笑顔、素敵ですね！","","Your smile is wonderful!","",""
"センターの子に注目ね！","Focus on the girl at the center!","","",""
"あなたアピールが少ないわ、見せてくれる","You haven't made many appeals, show me what you've got.","","",""
"私のジンクス２番の位置の子に注目よ！","","Watch out for the girl at my jinx number two!","",""
"私のジンクス３番の位置の子に注目よ！","","Watch out for the girl at my jinx number three!","",""
"私のジンクス４番の位置の子に注目よ！","","Watch out for the girl at my jinx number four!","",""
"私のジンクス５番の位置の子に注目よ！","","Watch out for the girl at my jinx number five!","",""
"俺の番組に出演できるのは上位{CLEAR_RANK}組まで！","","Only the top {CLEAR_RANK} groups can appear on my show!","",""
"そこまで！みんな、お疲れ！","That's a wrap! Good work, everyone!","","",""
"指示した順番通りにアピールしてみろ！","","Try to appeal in the order I instructed you!","",""
"やるじゃないか！そうこなくっちゃな！","","Not bad! That's how it has to be","",""
"おいおい…がっかりさせないでくれよ","","Hey, hey... Don't disappoint me","",""
"元気が１番！キミに注目だ！","","Cheerful is the best! I'll focus on you","",""
"そこのキミ、いい声出てるじゃないか！","","You there, you're making a nice sound!","",""
"そこのキミ、キレのいい動きしてるな！","","You there, you're moving so fast!","",""
"そこのキミ、輝いてるな！","","You there, you're shining!","",""
"センターが気になるよね","","You're worried about the center","",""
"キミはアピールできてないな、みせてくれ！","","You didn't show off, did you? Show me!","",""
"俺のジンクス２番の子はどうかな","","How about my jinx number two?","",""
"俺のジンクス３番の子はどうかな","","How about my jinx number three?","",""
"俺のジンクス４番の子はどうかな","","How about my jinx number four?","",""
"俺のジンクス５番の子はどうかな","","How about my jinx number five?","",""
"上位{CLEAR_RANK}組まで合格だ、力を見せてくれ","","You pass up to the top {CLEAR_RANK} class. Show me your strength!","",""
"審査は終了だ、ご苦労","","The review is complete. Thank you for your hard work","",""
"指示した順にアピールできるか、チェックだ","","Check to see if you can appeal in order of instructions","",""
"ふむ、そうこなくてはな","","Hmm, that's how it has to be","",""
"…期待しすぎたか？","","...Did I get my hopes up too high?","",""
"あんたの元気の良さ、評価に値するな","","Your energy is worthy of praise","",""
"いい声を持っているな、あんた","","You've got a good voice","",""
"あんたの身のこなし、ただものじゃないな","","The way you move, it's no ordinary thing","",""
"あんた、なかなか華があるじゃないか","","You're quite the flower","",""
"センターは大丈夫か？","Is the center OK?","","",""
"あんたアピールが少ないな、できるのか？","","You don't have much appeal. Can you do it?","",""
"ジンクスでいけば２番の子が気になるな","","If it's a jinx, I wonder about the second girl","",""
"ジンクスでいけば３番の子が気になるな","","If it's a jinx, I wonder about the third girl","",""
"ジンクスでいけば４番の子が気になるな","","If it's a jinx, I wonder about the fourth girl","",""
"ジンクスでいけば５番の子が気になるな","","If it's a jinx, I wonder about the fifth girl","",""
"私が認めるのは上位{CLEAR_RANK}組までです","","I'll only acknowledge the higher-ranking members of CLEAR_RANK","",""
"そこまで。あなたたちの実力はわかりました","","That's enough. I understand what you guys are capable of","",""
"私の指示通り、動いてもらいましょうか","","Let's have them move as I instructed","",""
"なるほど……悪くありませんね","","I see... That's not bad","",""
"あなたには失望しました","","I'm disappointed in you","",""
"あなたの活発さ……目を引きますね","","You're so lively... It really catches my eye","",""
"あなたの歌声……耳に残りますね","","I can still hear your singing","",""
"あなたのダンス……もっと見せなさい","","Show me more of your dance","",""
"あなたの輝き……見過ごせませんね","","I can't overlook your brilliance","",""
"センターはどうですか？","","How's the center?","",""
"あなた、アピールが足りていませんよ？","","You don't have enough appeal, do you?","",""
"２番のあなた……チャンスをあげましょう","","Number two... I'll give you a chance","",""
"３番のあなた……チャンスをあげましょう","","Number three... I'll give you a chance","",""
"４番のあなた……チャンスをあげましょう","","Number four... I'll give you a chance","",""
"５番のあなた……チャンスをあげましょう","","Number five... I'll give you a chance","",""
"さあ、はじめましょう！上位{CLEAR_RANK}組まで合格よ","","Now, let's begin! Try to pass the top {CLEAR_RANK} class","",""
"審査はここまで！……素晴らしい競演だったわ","","That's it for the judging! ...That was a wonderful performance","",""
"わたしの指示通りに動いてみせて！","","Let's see you move according to my instructions!","",""
"あら、アナタ、とてもいいわ！","","Oh, you're so nice!","",""
"どうやら見込み違いだったようね……","","Looks like I was wrong..","",""
"アナタの情熱……もっと燃やしてみなさい！","","Your passion... Try burning it more!","",""
"アナタ、いい歌声を持っているのね","","You have a nice singing voice, don't you?","",""
"そこのアナタ！なんて機敏なダンスなの！","","You there! What a nimble dance","",""
"アナタの美しさ……目が離せないわ","","Your beauty... I can't take my eyes off you","",""
"アナタの時間よ、センター！","","It's your time, Center!","",""
"そこのアナタ、もっとアピールなさい","","You there, appeal to me more","",""
"わたしの勘は２番に注目と言っているわ！","","My intuition tells me to focus on number two!","",""
"わたしの勘は３番に注目と言っているわ！","","My intuition tells me to focus on number three!","",""
"わたしの勘は４番に注目と言っているわ！","","My intuition tells me to focus on number four!","",""
"わたしの勘は５番に注目と言っているわ！","","My intuition tells me to focus on number five!","",""
"上位{CLEAR_RANK}組まで合格ね！アゲていこっ♪","","You even passed the top {CLEAR_RANK} class! Let's get out of here♪","Congratulations on making it to the top {CLEAR_RANK}! ♪",""
"はい、そこまで～！いい感じだったょ","","Okay, that's enough! It was good","",""
"あたしのお願い、聞いてくれるよね？","","You'll listen to my request, right?","",""
"うんうん！いい感じ♪","","Yes, yes! It feels good♪","",""
"普通そこで失敗するぅ？","","Normally, you'd fail there?","",""
"あの子、テンションぶちアゲだね！","","She's so excited!","",""
"ちょっと、あの子見て！歌うまっ！","","Hey, look at that girl! She's going to sing","",""
"あの子のダンス見た！？マジヤバっ！","","Did you see her dance? Seriously, this is bad!","",""
"あの子、すっごいキレイ……","","She's so pretty..","",""
"センターはどう？盛り上がってるぅ？","","How's the center doing? Are you guys having a good time","",""
"あの子、もしかして恥ずかしがり屋さん？","","Could it be that she's shy?","",""
"２番の子！あたしが見てるょ！","2nd girl! I'm watching you!","","",""
"３番の子！あたしが見てるょ！","3rd girl! I'm watching you!","","",""
"４番の子！あたしが見てるょ！","4th girl! I'm watching you!","","",""
"５番の子！あたしが見てるょ！","5th girl! I'm watching you!","","",""
"いきますよ！上位{CLEAR_RANK}組までが合格です","","Let's go! Up to the top {CLEAR_RANK} class will pass","",""
"そこまで！みなさん、よござんした","","That's enough! Everyone, thank you","",""
"私の指導に、ついてこれますかな？","","Will you be able to keep up with my instruction?","",""
"あっぱれ！お見事です","","Oh, my! Well done","",""
"少し期待が過ぎましたか……","","Looks like I got my hopes up a little too high..","",""
"あなた、いい気迫ですね！すんばらしい","","You've got some spirit! How wonderful","",""
