"Original Text","Initial","Machine translation","Better translation","Best translation"
"新しい季節","A New Season","","",""
"春のうららの始まりの","The Start of Springtime","","",""
"ごーいんぐまいうぇー","Going My Way","","",""
"激闘、超密着生取材！","Up Close and Personal!","","",""
"絡まる想い","Tangled Thoughts","","",""
"真夏の翳","Midsummer Shadow","","",""
"みんなといっしょにみる夢は","Our Shared Dream","","",""
"白と黒の譚詩曲","A Ballad in Black and White","","",""
"最終選考会","Final Audition","","",""
"輝跡","Luminous","","",""
"エピローグ","Epilogue","","",""
"CATALOG Vol.01配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.01 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.","","",""
"CATALOG Vol.02配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.02 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.","","",""
"CATALOG Vol.03配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.03 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.","","",""
"CATALOG Vol.04配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.04 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.","","",""
"CATALOG Vol.05配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.05 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.","","",""
"CATALOG Vol.06配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.06 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.","","",""
"無料DLC『るみなすじゃぱん47　北東エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Northern Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.","","",""
"無料DLC『るみなすじゃぱん47　南エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Southern Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.","","",""
"無料DLC『るみなすじゃぱん47　上方エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Kansai Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.","","",""
"無料DLC『るみなすじゃぱん47　西エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Western Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.","","",""
"無料DLC『るみなすじゃぱん47　中央エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Central Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.","","",""
"無料DLC『るみなすじゃぱん47　首都エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Capital Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.","","",""
"※※このテキストは多分、使用しないが、念のため用意しておく","※※This text probably won't be needed, but it is here just in case.","","",""
"・「春香」の絆9と10がアルバムに登録されない場合がある不具合を修正（例文です）
・一部楽曲において、スコアが適切ではない大きな値となる不具合を修正（例文です）
※詳細は、ホームページをご覧ください","・A bug where Haruka's Bond Lv.9 & 10 conversations would not properly register
in the album. (example sentence)
・Fixed a bug where scores for some songs had very large values and were not
accurate. (example sentence)
※Please see the home page for more details.","","・A bug where Haruka's Bond Lv.9 & 10 conversations would not properly register in the
album. (example sentence) ・Fixed a bug where scores for some songs had very large values
and were not accurate. (example sentence) ※Please see the home page for more details.",""
"その都度、記述する","Each time it is described","","",""
"ストアで、新しいDLCを配信開始！
アイドルからメールを受信できるメールアドレスや
STAGE FOR YOU!（S4U!）で使用できる舞台演出やフォトフレームなど、
魅力的なセットやアイテムを多数配信！！　","New DLC is now available in the store!
You can have access to your idol's email adresses and receive messages 
from them, acquire stage production effects and photo frames that can be 
used in STAGE FOR YOU! (S4U!), and other sets and items can now be purchased!","","",""
"ストアで、新しいDLCを配信開始！
DLCストーリー『スマイルフェスタ編』、新楽曲『なんどでも笑おう』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Smile Festa Ep"", the song ""Nandemo Waraou"", new outfits,
and other sets and items can now be purchased!!","","",""
"ストアで、新しいDLCを配信開始！
DLCストーリー『ルミナス・アズール編』、新楽曲『ダンス・ダンス・ダンス』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Luminous Azul Ep"", the song ""Dance, Dance, Dance"", 
new outfits, and other sets and items can now be purchased!!","","",""
"ストアで、新しいDLCを配信開始！
DLCストーリー『ルミナス・ルーフス編』、新楽曲『KAWAII ウォーズ』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Luminous Rufus Ep"", the song ""KAWAII Wars"", 
new outfits, and other sets and items can now be purchased!!","","",""
"ストアで、新しいDLCを配信開始！
DLCストーリー『ルミナス・ジャッロ編』、新楽曲『全力★ドリーミングガールズ』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Luminous Giallo Ep"", the song ""Zenryoku★Dreaming Girls"", 
new outfits, and other sets and items can now be purchased!!","","",""
"ストアで、新しいDLCを配信開始！
DLCストーリー『スターリットレインボー編』、新楽曲『IDOL☆HEART』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Starlit Rainbow Ep"", the song ""IDOL☆HEART"", 
new outfits, and other sets and items can now be purchased!!","","",""
"・「千早」の絆9と10がアルバムに登録されない場合がある不具合を修正（例文です）
・一部楽曲において、スコアが適切ではない大きな値となる不具合を修正（例文です）
※詳細は、ホームページをご覧ください","・A bug where Chihaya's Bond Lv.9 & 10 conversations would not properly register
in the album. (example sentence)
・Fixed a bug where scores for some songs had very large values and were not
accurate. (example sentence)
※Please see the home page for more details.","","",""
"NEW DLC","NEW DLC","","",""
"日本全国凱旋ステージ『るみなすじゃぱん47』","Triumphant Return to the Japanese Stage: Luminous Japan 47","","",""
"不具合の修正について","Bug Fixes","","",""
"アップデートデータVer1.03配信のお知らせ","Notice of updated data Ver. 1.03 release","","",""
"アップデートデータVer1.10配信のお知らせ","Notice of updated data Ver. 1.10 release","","",""
"アップデートデータVer1.21配信のお知らせ","Notice of updated data Ver. 1.21 release","","",""
"アップデートデータVer1.30配信のお知らせ","Notice of updated data Ver. 1.30 release","","",""
"アップデートデータVer1.40配信のお知らせ","Notice of updated data Ver. 1.40 release","","",""
"アップデートデータVer1.50配信のお知らせ","Notice of updated data Ver. 1.50 release","","",""
"アップデートデータVer1.60配信のお知らせ","Notice of updated data Ver. 1.60 release","","",""
"15歳","15","","",""
"18歳","18","","",""
"16歳","16","","",""
"14歳","14","","",""
"17歳","17","","",""
"12歳","12","","",""
"不明","??","","",""
"19歳","19","","",""
"21歳","21","","",""
"13歳","13","","",""
"永遠の17歳","Forever 17","","",""
"25歳","25","","",""
"23歳","23","","",""
"86/55/83","","","",""
"90/62/92","","","",""
"83/56/80","","","",""
"81/57/80","","","",""
"?/?/?","","","",""
"80/56/82","","","",""
"78/54/77","","","",""
"76/53/77","","","",""
"85/52/82","","","",""
"81/58/83","","","",""
"91/58/87","","","",""
"80/57/83","","","",""
"88/56/82","","","",""
"74/53/78","","","",""
"82/53/80","","","",""
"83/56/82","","","",""
"72/55/78","","","",""
"81/56/81","","","",""
"74/54/78","","","",""
"85/57/85","","","",""
"91/59/86","","","",""
"77/54/79","","","",""
"75/57/78","","","",""
"78/55/77","","","",""
"92/65/87","","","",""
"84/57/84","","","",""
"81/57/83","","","",""
"82/56/83","","","",""
"88/58/85","","","",""
"79/55/78","","","",""
"80/56/80","","","",""
"70/54/78","","","",""
"81/56/83","","","",""
"神奈川","Kanagawa","","",""
"京都？","Kyoto?","","",""
"沖縄","Okinawa","","",""
"熊本","Kumamoto","","",""
"北海道","Hokkaido","","",""
"埼玉","Saitama","","",""
"東京","Tokyo","","",""
"富山","Toyama","","",""
"高知","Kochi","","",""
"オーストリア","Austria","","",""
"千葉","Chiba","","",""
"静岡","Shizuoka","","",""
"ウサミン星","Planet Usamin","","",""
"和歌山","Wakayama","","",""
"石川","Ishikawa","","",""
"鳥取","Tottori","","",""
"11/23","","","",""
"1/21","","","",""
"10/10","","","",""
"4/8","","","",""
"9/2","","","",""
"11/12","","","",""
"6/28","","","",""
"9/14","","","",""
"7/30","","","",""
"12/25","","","",""
"6/27","","","",""
"7/29","","","",""
"7/26","","","",""
"9/6","","","",""
"9/16","","","",""
"4/3","","","",""
"2/25","","","",""
"12/24","","","",""
"3/25","","","",""
"6/23","","","",""
"7/19","","","",""
"5/5","","","",""
"8/29","","","",""
"5/22","","","",""
"9/1","","","",""
"5/15","","","",""
"6/14","","","",""
"5/29","","","",""
"3/27","","","",""
"10/5","","","",""
"10/19","","","",""
"5/24","","","",""
"B型","B","","",""
"A型","A","","",""
"AB型","AB","","",""
"O型","O","","",""
"春香の誕生日","Haruka's Birthday","","",""
"蘭子の誕生日","Ranko's Birthday","","",""
"お花見パーティー","Flower Viewing Party","","",""
"伊織の誕生日","Iori's Birthday","","",""
"菜々の誕生日","Nana's Birthday","","",""
"亜美・真美の誕生日","Ami & Mami's Birthday","","",""
"カラオケ","Karaoke","","",""
"紬の誕生日","Tsumugi's Birthday","","",""
"オフショットの撮影①","Candid Photoshoot ①","","",""
"オフショットの撮影②","Candid Photoshoot ②","","",""
"オフショットの撮影③","Candid Photoshoot ③","","",""
"律子の誕生日","Ritsuko's Birthday","","",""
"咲耶の誕生日","Sakuya's Birthday","","",""
"未来の誕生日","Mirai's Birthday","","",""
"あずさの誕生日","Azusa's Birthday","","",""
"夏祭り","Summer Festival","","",""
"心白の誕生日","Kohaku's Birthday","","",""
"果穂の誕生日","Kaho's Birthday","","",""
"翼の誕生日","Tsubasa's Birthday","","",""
"合宿","Training Camp","","",""
"盆踊りのミニライブ","Bon-Dance Mini Concert","","",""
"海での休暇","Vacation at the Beach","","",""
"真の誕生日","Makoto's Birthday","","",""
"きらりの誕生日","Kirari's Birthday","","",""
"杏の誕生日","Anzu's Birthday","","",""
"静香の誕生日","Shizuka's Birthday","","",""
"地方イベント①","Local Event ①","","",""
"地方イベント②","Local Event ②","","",""
"お月見パーティー","Moon Viewing Party","","",""
"響の誕生日","Hibiki's Birthday","","",""
"凛世の誕生日","Rinze's Birthday","","",""
"ハロウィンイベント","Halloween Event","","",""
"中間ライブ１日目","Midterm Live - Day 1","","",""
"美嘉の誕生日","Mika's Birthday","","",""
"シークレットライブ","Secret Live","","",""
"中間ライブ２日目","Midterm Live - Day 2","","",""
"美希の誕生日","Miki's Birthday","","",""
"雪歩の誕生日","Yukiho's Birthday","","",""
"クリスマスパーティー","Christmas Party","","",""
"甜花・甘奈の誕生日","Tenka & Amana's Birthday","","",""
"クリスマス配信ライブ","Christmas Live Broadcast","","",""
"温泉","Hot Spring","","",""
"平日ステージ","Weekday Stage","","",""
"週末ステージ","Weekend Stage","","",""
"月末ステージ","Monthly Stage","","",""
"プロデューサータスク期限","Producer Task Deadline","","",""
"スターリットオーダー期限","Starlit Order Deadline","","",""
"団結コミュ","Unity COMMU","","",""
"レッスン","Lesson","","",""
"営業","Work","","",""
"レッスン/営業","Lesson / Work","","",""
"関係者","Networking","","",""
"選考ステージ","Selection Stage","","",""
"最終ステージ","Final Stage","","",""
"オーダー&タスク期限","Order & Task Deadline","","",""
"カタログ創刊号の配信開始です！
アイドルからメールを受信できるメールアドレスや
STAGE FOR YOU!（S4U!）で使用できる舞台演出やフォトフレームなど
盛りだくさんの内容でお届けします！","The first issue of the catalog is now available!
You can access new content such as having idol's email adresses and receiving 
messages from them, stage production effects and photo frames that can be 
used in STAGE FOR YOU! (S4U!), etc.!","","",""
"カタログ２号の配信開始です！
DLCストーリー『スマイルフェスタ編』、
新楽曲『なんどでも笑おう』、新衣装など、盛りだくさんの内容でお届けします！","Catalog Vol.2 is now available!
You can access the DLC Story ""Smile Festa Ep"", the song ""Nandemo Waraou"", 
new outfits, and etc.!","","",""
"カタログ３号の配信開始です！
DLCストーリー『ルミナス・アズール編』、
新楽曲『ダンス・ダンス・ダンス』、新衣装など、盛りだくさんの内容でお届けします！","Catalog Vol.3 is now available!
You can access the DLC Story ""Luminous Azul Ep"", the song ""Dance, Dance, Dance"", 
new outfits, and etc.!","","",""
"カタログ４号の配信開始です！
DLCストーリー『ルミナス・ルーフス編』、
新楽曲『KAWAII ウォーズ』、新衣装など、盛りだくさんの内容でお届けします！","Catalog Vol.4 is now available!
You can access the DLC Story ""Luminous Rufus Ep"", the song ""KAWAII Wars"", 
new outfits, and etc.!","","",""
"カタログ５号の配信開始です！
DLCストーリー『ルミナス・ジャッロ編』、
新楽曲『全力★ドリーミングガールズ』、新衣装など、
盛りだくさんの内容でお届けします！","Catalog Vol.4 is now available!
You can access the DLC Story ""Luminous Giallo Ep"", the song ""Zenryoku★Dreaming Girls"", 
new outfits, and etc.!","","Catalog Vol.4 is now available! You can access 
the DLC Story ""Luminous Giallo Ep"", the song
""Zenryoku★Dreaming Girls"", new outfits, and etc.!",""
"カタログ６号の配信開始です！
DLCストーリー『スターリットレインボー編』、
新楽曲『IDOL☆HEART』、新衣装など、盛りだくさんの内容でお届けします！","Catalog Vol.4 is now available!
You can access the DLC Story ""Starlit Rainbow Ep"", the song ""IDOL☆HEART"", 
new outfits, and etc.!","","",""
"カタログＭＡＩＬ特集号","MAIL Catalog - Special Issue","","",""
"カタログ創刊号","Catalog Issue 1","","",""
"カタログ２号","Catalog Issue 2","","",""
"カタログ３号","Catalog Issue 3","","",""
"カタログ４号","Catalog Issue 4","","",""
"カタログ５号","Catalog Issue 5","","",""
"カタログ６号","Catalog Issue 6","","",""
"カタログ７号","Catalog Issue 7","","",""
"カタログ８号","Catalog Issue 8","","",""
"カタログ９号","Catalog Issue 9","","",""
"カタログ１０号","Catalog Issue 10","","",""
"カタログ１１号","Catalog Issue 11","","",""
"マネキン","Mannequin","","",""
"春香","Haruka","","",""
"美希","Miki","","",""
"千早","Chihaya","","",""
"やよい","Yayoi","","",""
"雪歩","Yukiho","","",""
"真","Makoto","","",""
"真美","Mami","","",""
"貴音","Takane","","",""
"響","Hibiki","","",""
"伊織","Iori","","",""
"亜美","Ami","","",""
"あずさ","Azusa","","",""
"律子","Ritsuko","","",""
"蘭子","Ranko","","",""
"杏","Anzu","","",""
"美嘉","Mika","","",""
"きらり","Kirari","","",""
"菜々","Nana","","",""
"楓","Kaede","","",""
"未来","Mirai","","",""
"静香","Shizuka","","",""
"翼","Tsubasa","","",""
"紬","Tsumugi","","",""
"歌織","Kaori","","",""
"琴葉","Kotoha","","",""
"甜花","Tenka","","",""
"咲耶","Sakuya","","",""
"果穂","Kaho","","",""
"甘奈","Amana","","",""
"凛世","Rinze","","",""
"摩美々","Mamimi","","",""
"玲音","Leon","","",""
"詩花","Shika","","",""
"心白","Kohaku","","",""
"亜夜","Aya","","",""
"事務員4人組","Four Clerks","","",""
"小鳥","Kotori","","",""
"美咲","Misaki","","",""
"ちひろ","Chihiro","","",""
"はづき","Hazuki","","",""
"高木","Takagi","","",""
"黒井","Kuroi","","",""
"天井","Amai","","",""
"眞弓","Mayumi","","",""
"ラッキーオーラ","Lucky Aura","","",""
"ユニゾンアカデミー","Unison Academy","","",""
"トライアルゲート","Trial Gate","","",""
"取枡 和雄","Kazuo Torimasu","","",""
"盛上 泰菜","Yasuna Morigami","","",""
"北江 輝也","Teruya Kitae","","",""
"金成 大蔵","Taizo Kanenari","","",""
"川原","Kawara","","",""
"ヴィーナスヒロイン","Venus Heroine","","",""
"UP ＆ DOWN","UP & DOWN","","",""
"ボイストレーナー","Voice Trainer","","",""
"ポーズトレーナー","Pose Trainer","","",""
"フェイストレーナー","Face Trainer","","",""
"プロジェクトルミナス","Project Luminous","","",""
"繪里子","Eriko","","",""
"明子","Akiko","","",""
"麻美","Asami","","",""
"杏美","Azumi","","",""
"真耶子","Mayako","","",""
"宏美","Hiromi","","",""
"由美","Yumi","","",""
"愛美","Manami","","",""
"理恵","Rie","","",""
"智秋","Chiaki","","",""
"直美","Naomi","","",""
"真礼","Maaya","","",""
"裕美","Hiromi","","",""
"はるか","Haruka","","",""
"麗","Rei","","",""
"麻理恵","Marie","","",""
"沙織","Saori","","",""
"Machico","Machico","","",""
"早紀","Saki","","",""
"有佐","Arisa","","",""
"梨沙","Risa","","",""
"涼子","Ryoko","","",""
"アンナ","Anna","","",""
"ひより","Hiyori","","",""
"ほの香","Honoka","","",""
"和佳奈","Wakana","","",""
"千紗","Chisa","","",""
"実里","Minori","","",""
"李依","Rie","","",""
"樹里","Juri","","",""
"知佳","Chika","","",""
"利奈","Rina","","",""
"芳忠","Hochu","","",""
"武人","Takehito","","",""
"健次郎","Kenjiro","","",""
"中村","Nakamura","","",""
"長谷川","Hasegawa","","",""
"今井","Imai","","",""
"浅倉","Asakura","","",""
"仁後","Nigo","","",""
"平田","Hirata","","",""
"下田","Shimoda","","",""
"原","Hara","","",""
"沼倉","Numakura","","",""
"釘宮","Kugimiya","","",""
"たかはし","Takahashi","","",""
"若林","Wakabayashi","","",""
"内田","Uchida","","",""
"五十嵐","Igarashi","","",""
"佳村","Yoshimura","","",""
"松嵜","Matsuzaki","","",""
"三宅","Miyake","","",""
"早見","Hayami","","",""
"山崎","Yamazaki","","",""
"田所","Tadokoro","","",""
"南","Minami","","",""
"香里","Kori","","",""
"種田","Taneda","","",""
"前川","Maekawa","","",""
"八巻","Yamaki","","",""
"河野","Kono","","",""
"黒木","Kuroki","","",""
"丸岡","Maruoka","","",""
"菅沼","Suganuma","","",""
"茅原","Chihara","","",""
"高橋","Takahashi","","",""
"滝田","Takita","","",""
"安済","Anzai","","",""
"佐藤","Sato","","",""
"山村","Yamamura","","",""
"大塚","Otsuka","","",""
"子安","Koyasu","","",""
"津田","Tsuda","","",""
"順二朗","Junjirou","","",""
"崇男","Takao","","",""
"努","Tsutomu","","",""
"和雄","Kazuo","","",""
"泰菜","Yasuna","","",""
"輝也","Teruya","","",""
"大蔵","Taizo","","",""
"ディアマントチャレンジ","Diamant Challenge","","",""
"天海","Amami","","",""
"星井","Hoshii","","",""
"如月","Kisaragi","","",""
"高槻","Takatsuki","","",""
"萩原","Hagiwara","","",""
"菊地","Kikuchi","","",""
"双海","Futami","","",""
"四条","Shijou","","",""
"我那覇","Ganaha","","",""
"水瀬","Minase","","",""
"三浦","Miura","","",""
"秋月","Akizuki","","",""
"神崎","Kanzaki","","",""
"双葉","Futaba","","",""
"城ヶ崎","Jougasaki","","",""
"諸星","Moroboshi","","",""
"安部","Abe","","",""
"高垣","Takagaki","","",""
"春日","Kasuga","","",""
"最上","Mogami","","",""
"伊吹","Ibuki","","",""
"白石","Shiraishi","","",""
"桜守","Sakuramori","","",""
"田中","Tanaka","","",""
"大崎","Osaki","","",""
"白瀬","Shirase","","",""
"小宮","Komiya","","",""
"杜野","Morino","","",""
"奥空","Okuzora","","",""
"音無","Otonashi","","",""
"青羽","Aoba","","",""
"千川","Senkawa","","",""
"七草","Nanakusa","","",""
"取枡","Tomasu","","",""
"盛上","Morigami","","",""
"北江","Kitae","","",""
"金成","Kanenari","","",""
"ヒーリングショップ","Healing Shop","","",""
"アピールスクール","Appeal School","","",""
"ライブハウス","Live House","","",""
"TV局のディレクター","TV Station Director","","",""
"新進気鋭のプロモーター","Up-and-Coming Promoter","","",""
"フィットネスジムのトレーナー","Fitness Gym Trainer","","",""
"多様な事業を行うプロデューサー","Busy Producer","","",""
"川原にいる男","Man by the river","","",""
"ドレスオーダー","Dress Order","","",""
"灰色ハウス","Gray house","","",""
"ルミナス","Luminous","","",""
"コミュをスキップしますか？","Do you want to skip this scene?","","",""
"このコミュは、まだ観ていません","No scenes have been unlocked.","","",""
"「スターリットシーズン」大会ルールに関して","Starlit Season Tournament Rules","","",""
"審査は毎月行われます。
その基準となる目標を運営本部より送らせていただきます。","Reviews will be conducted monthly.
Operations H.Q. will send you a list of goals and criteria to fulfill.","","",""
"月次目標","Monthly Goal","","",""
"スターリットオーダー","Starlit Order","","",""
"獲得ファン人数","Acquired Fans","","",""
"期日","Deadline","","",""
"毎月設定される「獲得ファン人数」を「期日」までに達成してください。
未達成の場合は、翌月に進むことは出来ません。","You must gain a certain threshold of new fans each month before the deadline.
If that is not accomplished, you cannot proceed to the next month.","","",""
"スターリットシーズン運営本部","Starlit Season Management Headquarters","","",""
"「スターリットシーズン」選考方法①","Starlit Season Selection Process ①","","",""
"「スターリットシーズン」選考方法②","Starlit Season Selection Process ②","","",""
"「スターリットシーズン」選考方法③","Starlit Season Selection Process ③","","",""
"大会運営主催の選考ステージは４つ。","There will be four selection stages sponsored by the tournament's management.","","",""
"最終","Last","","",""
"選考","Sel.","","",""
"12月開催","December","","",""
"クリスタルウィンター","Crystal Winter","","",""
"11月開催","November","","",""
"10月開催","October","","",""
"ハロウィンオータム","Halloween Autumn","","",""
"7月開催","July","","",""
"サマードルフィン","Summer Dolphin","","",""
"4月開催","Apr.","","",""
"スプリングナイト","Spring Night","","",""
"選考ステージを通過すると、翌月へと進むことができます。","Passing the preliminary selection stages will allow you to move on to the next month.","","",""
"４つの選考ステージに出演するためには
『スターリットオーダー』をクリアしてください。","In order to appear in the four selection stages,
you must complete the Starlit Order.","","",""
"次月へ","Next Month","","",""
"クリア","Clear","","",""
"月末の手前","Before the End of the Month","","",""
"月末","End of the Month","","",""
"月末の手前に設定された「期日」までに「獲得ファン人数」を達成してください。","Please reach a certain threshold of new fans by the deadline before the end of each month. ","","",""
"選考ステージの無い月は、","Months without Selection Stages","","",""
"『月末ステージ』は各ユニット自ら選択する、より多くのファンを獲得するためのステージです。
月末の手前に設定された「期日」 までに「獲得ファン人数」を達成してください。","The ""Monthly Stage"" is a stage that each unit selects on their own to gain more fans.
You need to reach a certain threshold of fans gained by the deadline before the end of the month.","","",""
"「スターリットシーズン」に参加する皆様へ","To all participants in the Starlit Season","","",""
"『スターリットシーズン』は４つの季節を越える大会です。","The ""Starlit Season"" is a competition that spans four seasons.","","",""
"季節を通し、多くのファンを獲得して
11月の『最終選考会』通過を目指してください。","Throughout the season, you will gain a lot of fans.
Please aim to pass the final audition in November.","","",""
"アイドルユニットの頂点が決定する場、
『スターリットドーム』にてお待ちしております。","We look forward to seeing you at the Starlit Dome
where the top the idol unit will be decided.","","",""
"プロデューサー心得","Producer Tips","","",""
"成　功
の秘訣","Pro
Tips","","",""
"ファン人数を増やしていくこと","Increasing the number of fans.","","",""
"営業やステージなど、
日々の活動でファンを魅了することで
ファン人数は増えていく","Gain fans by attracting new fans 
through your daily activities such 
as jobs, stage performances, etc.","","",""
"心得①『ステージ』","Tip ① - On Stage","","",""
"『ステージ』はファン人数を大きく増やしていく活動","Activities involving performing on stage will greatly increase the number of fans.","","",""
"『ステージ』を成功に導くのはアイドルのパフォーマンス","Success on stage greatly relies on the idol's performance.","","",""
"心得②『レッスン』","Tip ② - Lessons","","",""
"『レッスン』はアイドルのパフォーマンスを成長させていく活動","Lessons are activities that increases the performance of the idols.","","",""
"『レッスン』を受け『ステージ』に出演するには『マニー』が必要","To take lessons and perform on stage, you will need money.","","",""
"心得③『営業』","Tip ③ - Working","","",""
"『営業』は『マニー』を受け取ることが出来る活動","Activities that involve working and taking on jobs can earn money.","","",""
"『マニー』は、サポートアイテム・衣装購入など様々なことに使用","Money can be spent on supporting items and new outfits.","","",""
"アイドルを育てることで、ファンは増えていく。
そのためにはマニーが大切","Fans will natually come to your idols as you raise them.
Money will be very important for investment.","","",""
"＋α","Also","","",""
