"Original Text","Initial","Machine translation","Better translation","Best translation"
"SPECIAL","","SPECIAL","",""
"DLC 1","","DLC 1","",""
"DLC 2","","DLC 2","",""
"DLC 3","","DLC 3","",""
"DLC 4","","DLC 4","",""
"DLC 5","","DLC 5","",""
"MAIN
STORY","","MAIN
STORY","",""
"CROSSOVER","","CROSSOVER","",""
"CLIMAX
CHALLENGE","","CLIMAX
CHALLENGE","",""
"DLC
STORY","","DLC
STORY","",""
"OTHER","","OTHER","",""
"GROUP COMMU","","GROUP COMMU","",""
"IDOL COMMU","","IDOL COMMU","",""
"CLIMAX CHALLENGE","","CLIMAX CHALLENGE","",""
"MAIN STORY","","MAIN STORY","",""
"開幕","INTRO","","",""
"北東","NORTH","","",""
"南","SOUTH","","",""
"上方","KANSAI","","",""
"西","WEST","","",""
"中央","CENTRAL","","",""
"首都","CAPITAL","","",""
"終幕","END","","",""
"対象","Target","","",""
"APPEAL LEARNED!","","APPEAL LEARNED!","",""
"APPEAL AWAKENED!","","APPEAL AWAKENED!","",""
"自分１人","Single","","",""
"ユニット","Unit","","",""
"ライバル","Rival","","",""
"KIZUNA MISSION","BOND MISSION","","",""
"APPOINT MISSION","","APPOINT MISSION","",""
"絆Lv","Bond Lv.","","",""
"信頼Lv","Trust Lv.","","",""
"PARAMETER UP","","PARAMETER UP","",""
"GET PRODUCER SKILL","","GET PRODUCER SKILL","",""
"OMOIDE UP","MEMORY UP","","",""
"このゲームはオートセーブ機能に対応しています。
オートセーブ中には、このアイコンが表示されますので
その際はPlayStation®４本体の電源を切らないでください。","This game supports auto-saving.
Please do not turn off your PlayStation® 4 console when this icon is displayed.","","This game supports auto-saving.
Please do not turn off your
PlayStation® 4 console when this icon is displayed.",""
"ご注意","WARNING","","",""
"ゲームソフトを権利者の許諾なく、
インターネットを通じて配信、配布する行為、
 また、違法なインターネット配信と知りながら 
ダウンロードする行為は法律で固く禁じられております。

みなさまのご理解とご協力をお願いいたします。","Distributing game software through the internet without permission from the rights holder,
or downloading illegally distributed software through the internet is strictly prohibited.

The English translation patch is currently a work in progress and there will be
inaccuracies and potential bugs.

We ask for your understanding and cooperation.","","Distributing game software through the internet without permission
from the rights holder, or downloading illegally
distributed software through the internet is strictly prohibited.
 The English translation patch is currently a work in progress
and there will be inaccuracies and potential bugs.  We
ask for your understanding and cooperation.",""
"LANGUAGE","","LANGUAGE","",""
